Coding System (Read),Codes,Description,Entity type,Category
Read,E278100,Tension headache,res41: Anxiety,diagnostic
Read,E264z00,Psychogenic gastrointestinal tract symptom NOS,res41: Anxiety,diagnostic
Read,E262000,Cardiac neurosis,res41: Anxiety,diagnostic
Read,E29z.00,Adjustment reaction NOS,res41: Anxiety,diagnostic
Read,2258.00,O/E - anxious,res41: Anxiety,diagnostic
Read,Eu93000,[X]Separation anxiety disorder of childhood,res41: Anxiety,diagnostic
Read,E262.00,Psychogenic cardiovascular symptoms,res41: Anxiety,diagnostic
Read,E264.11,Globus abdominalis,res41: Anxiety,diagnostic
Read,E262200,Neurocirculatory asthenia,res41: Anxiety,diagnostic
Read,E264.00,Psychogenic gastrointestinal tract symptoms,res41: Anxiety,diagnostic
Read,E264500,Psychogenic constipation,res41: Anxiety,diagnostic
Read,E262z00,Psychogenic cardiovascular symptom NOS,res41: Anxiety,diagnostic
Read,E262300,Psychogenic cardiovascular disorder,res41: Anxiety,diagnostic
Read,E263z00,Psychogenic skin symptoms NOS,res41: Anxiety,diagnostic
Read,E263000,Psychogenic pruritus,res41: Anxiety,diagnostic
Read,E263.00,Psychogenic skin symptoms,res41: Anxiety,diagnostic
Read,8G52.00,Antiphobic therapy,res41: Anxiety,diagnostic
Read,E264400,Psychogenic dyspepsia,res41: Anxiety,diagnostic
Read,E264000,Psychogenic aerophagy,res41: Anxiety,diagnostic
Read,E264311,Spurious diarrhoea,res41: Anxiety,diagnostic
Read,E264200,Cyclical vomiting - psychogenic,res41: Anxiety,diagnostic
Read,E264300,Psychogenic diarrhoea,res41: Anxiety,diagnostic
Read,E264011,Air swallowing - excessive,res41: Anxiety,diagnostic
Read,Eu45414,[X]Somatoform pain disorder,res41: Anxiety,diagnostic
Read,E278000,Psychogenic pain unspecified,res41: Anxiety,diagnostic
Read,E267.00,Psychogenic symptom of special sense organ,res41: Anxiety,diagnostic
Read,E265.00,Psychogenic genitourinary tract symptoms,res41: Anxiety,diagnostic
Read,E265200,Psychogenic dysmenorrhea,res41: Anxiety,diagnostic
Read,E265z00,Psychogenic genitourinary tract symptom NOS,res41: Anxiety,diagnostic
Read,E265100,Psychogenic vaginismus,res41: Anxiety,diagnostic
Read,E265300,Psychogenic dysuria,res41: Anxiety,diagnostic
Read,E278.00,Psychalgia,res41: Anxiety,diagnostic
Read,E28..00,Acute reaction to stress,res41: Anxiety,diagnostic
Read,E26z.00,Psychosomatic disorder NOS,res41: Anxiety,diagnostic
Read,E26y000,Bruxism (teeth grinding),res41: Anxiety,diagnostic
Read,E26y.00,Other psychogenic malfunction,res41: Anxiety,diagnostic
Read,E26yz00,Other psychogenic malfunction NOS,res41: Anxiety,diagnostic
Read,E278111,Muscular headache,res41: Anxiety,diagnostic
Read,E280.00,Acute panic state due to acute stress reaction,res41: Anxiety,diagnostic
Read,E29yz00,Other adjustment reactions NOS,res41: Anxiety,diagnostic
Read,E261z00,Psychogenic respiratory symptom NOS,res41: Anxiety,diagnostic
Read,E278200,Psychogenic backache,res41: Anxiety,diagnostic
Read,E278z00,Psychalgia NOS,res41: Anxiety,diagnostic
Read,E28..11,Combat fatigue,res41: Anxiety,diagnostic
Read,E28z.11,Examination fear,res41: Anxiety,diagnostic
Read,E203000,Compulsive neurosis,res41: Anxiety,diagnostic
Read,E281.00,Acute fugue state due to acute stress reaction,res41: Anxiety,diagnostic
Read,E29y500,Other adjustment reaction with withdrawal,res41: Anxiety,diagnostic
Read,E201100,Hysterical blindness,res41: Anxiety,diagnostic
Read,E201200,Hysterical deafness,res41: Anxiety,diagnostic
Read,E200000,Anxiety state unspecified,res41: Anxiety,diagnostic
Read,E200.00,Anxiety states,res41: Anxiety,diagnostic
Read,8HHp.00,Referral for guided self-help for anxiety,res41: Anxiety,diagnostic
Read,8G94.00,Anxiety management training,res41: Anxiety,diagnostic
Read,E20..00,Neurotic disorders,res41: Anxiety,diagnostic
Read,E2...00,"Neurotic, personality and other nonpsychotic disorders",res41: Anxiety,diagnostic
Read,E201000,Hysteria unspecified,res41: Anxiety,diagnostic
Read,E200200,Generalised anxiety disorder,res41: Anxiety,diagnostic
Read,E201.00,Hysteria,res41: Anxiety,diagnostic
Read,E200111,Panic attack,res41: Anxiety,diagnostic
Read,E200100,Panic disorder,res41: Anxiety,diagnostic
Read,E200300,Anxiety with depression,res41: Anxiety,diagnostic
Read,E200z00,Anxiety state NOS,res41: Anxiety,diagnostic
Read,E200500,Recurrent anxiety,res41: Anxiety,diagnostic
Read,E200400,Chronic anxiety,res41: Anxiety,diagnostic
Read,E261500,Psychogenic aphonia,res41: Anxiety,diagnostic
Read,E203.11,Anancastic neurosis,res41: Anxiety,diagnostic
Read,E201800,Hysterical fugue,res41: Anxiety,diagnostic
Read,E28z.00,Acute stress reaction NOS,res41: Anxiety,diagnostic
Read,E201700,Hysterical amnesia,res41: Anxiety,diagnostic
Read,E201612,Globus hystericus,res41: Anxiety,diagnostic
Read,E201611,"Astasia - abasia, hysterical",res41: Anxiety,diagnostic
Read,E201600,Other conversion disorder,res41: Anxiety,diagnostic
Read,E201511,Fit - hysterical,res41: Anxiety,diagnostic
Read,E202.12,Phobic anxiety,res41: Anxiety,diagnostic
Read,E201400,Hysterical paralysis,res41: Anxiety,diagnostic
Read,E203.00,Obsessive-compulsive disorders,res41: Anxiety,diagnostic
Read,E284.00,Stress reaction causing mixed disturbance of emotion/conduct,res41: Anxiety,diagnostic
Read,E202.11,Social phobic disorders,res41: Anxiety,diagnostic
Read,E201A00,Dissociative reaction unspecified,res41: Anxiety,diagnostic
Read,E201900,Multiple personality,res41: Anxiety,diagnostic
Read,E201300,Hysterical tremor,res41: Anxiety,diagnostic
Read,E201500,Hysterical seizures,res41: Anxiety,diagnostic
Read,E202.00,Phobic disorders,res41: Anxiety,diagnostic
Read,E201z00,Hysteria NOS,res41: Anxiety,diagnostic
Read,E201B00,Compensation neurosis,res41: Anxiety,diagnostic
Read,E201C00,Phantom pregnancy,res41: Anxiety,diagnostic
Read,E201z13,Ganser's syndrome - hysterical,res41: Anxiety,diagnostic
Read,E201z11,Aphonia - hysterical,res41: Anxiety,diagnostic
Read,E201z12,Ataxia - hysterical,res41: Anxiety,diagnostic
Read,E202z11,Weight fixation,res41: Anxiety,diagnostic
Read,E202100,Agoraphobia with panic attacks,res41: Anxiety,diagnostic
Read,E202900,Fear of crowds,res41: Anxiety,diagnostic
Read,E202000,Phobia unspecified,res41: Anxiety,diagnostic
Read,E283z00,Other acute stress reaction NOS,res41: Anxiety,diagnostic
Read,E202800,Claustrophobia,res41: Anxiety,diagnostic
Read,E202400,"Social phobia, fear of public speaking",res41: Anxiety,diagnostic
Read,E202200,Agoraphobia without mention of panic attacks,res41: Anxiety,diagnostic
Read,E202300,"Social phobia, fear of eating in public",res41: Anxiety,diagnostic
Read,E202700,Animal phobia,res41: Anxiety,diagnostic
Read,E202500,"Social phobia, fear of public washing",res41: Anxiety,diagnostic
Read,E202600,Acrophobia,res41: Anxiety,diagnostic
Read,E202C00,Dental phobia,res41: Anxiety,diagnostic
