Coding System (Read),Codes,Description,Entity type,Category
Read,Eu34y00,[X]Other persistent mood affective disorders,res41: Bipolar disorder,diagnostic
Read,E116500,"Mixed bipolar affective disorder, partial/unspec remission",res41: Bipolar disorder,diagnostic
Read,Eu30.00,[X]Manic episode,res41: Bipolar disorder,diagnostic
Read,E116100,"Mixed bipolar affective disorder, mild",res41: Bipolar disorder,diagnostic
Read,E117400,"Unspecified bipolar affective disorder,severe with psychosis",res41: Bipolar disorder,diagnostic
Read,E116400,"Mixed bipolar affective disorder, severe, with psychosis",res41: Bipolar disorder,diagnostic
Read,E116300,"Mixed bipolar affective disorder, severe, without psychosis",res41: Bipolar disorder,diagnostic
Read,E116200,"Mixed bipolar affective disorder, moderate",res41: Bipolar disorder,diagnostic
Read,E116z00,"Mixed bipolar affective disorder, NOS",res41: Bipolar disorder,diagnostic
Read,E117300,"Unspecified bipolar affective disorder, severe, no psychosis",res41: Bipolar disorder,diagnostic
Read,E116600,"Mixed bipolar affective disorder, in full remission",res41: Bipolar disorder,diagnostic
Read,E117000,"Unspecified bipolar affective disorder, unspecified",res41: Bipolar disorder,diagnostic
Read,E117200,"Unspecified bipolar affective disorder, moderate",res41: Bipolar disorder,diagnostic
Read,E117.00,Unspecified bipolar affective disorder,res41: Bipolar disorder,diagnostic
Read,E117100,"Unspecified bipolar affective disorder, mild",res41: Bipolar disorder,diagnostic
Read,E117500,"Unspecified bipolar affect disord, partial/unspec remission",res41: Bipolar disorder,diagnostic
Read,Eu3..00,[X]Mood - affective disorders,res41: Bipolar disorder,diagnostic
Read,E117z00,"Unspecified bipolar affective disorder, NOS",res41: Bipolar disorder,diagnostic
Read,E117600,"Unspecified bipolar affective disorder, in full remission",res41: Bipolar disorder,diagnostic
Read,E11yz00,Other and unspecified manic-depressive psychoses NOS,res41: Bipolar disorder,diagnostic
Read,E11y300,Other mixed manic-depressive psychoses,res41: Bipolar disorder,diagnostic
Read,E11y.00,Other and unspecified manic-depressive psychoses,res41: Bipolar disorder,diagnostic
Read,E11y100,Atypical manic disorder,res41: Bipolar disorder,diagnostic
Read,E11y000,Unspecified manic-depressive psychoses,res41: Bipolar disorder,diagnostic
Read,Eu30200,[X]Mania with psychotic symptoms,res41: Bipolar disorder,diagnostic
Read,Eu31.13,[X]Manic-depressive reaction,res41: Bipolar disorder,diagnostic
Read,Eu34000,[X]Cyclothymia,res41: Bipolar disorder,diagnostic
Read,Eu30100,[X]Mania without psychotic symptoms,res41: Bipolar disorder,diagnostic
Read,Eu30.11,"[X]Bipolar disorder, single manic episode",res41: Bipolar disorder,diagnostic
Read,Eu30000,[X]Hypomania,res41: Bipolar disorder,diagnostic
Read,Eu30y00,[X]Other manic episodes,res41: Bipolar disorder,diagnostic
Read,Eu31.11,[X]Manic-depressive illness,res41: Bipolar disorder,diagnostic
Read,Eu30212,[X]Mania with mood-incongruent psychotic symptoms,res41: Bipolar disorder,diagnostic
Read,Eu30211,[X]Mania with mood-congruent psychotic symptoms,res41: Bipolar disorder,diagnostic
Read,Eu31.00,[X]Bipolar affective disorder,res41: Bipolar disorder,diagnostic
Read,Eu30z11,[X]Mania NOS,res41: Bipolar disorder,diagnostic
Read,Eu30z00,"[X]Manic episode, unspecified",res41: Bipolar disorder,diagnostic
Read,Eu31.12,[X]Manic-depressive psychosis,res41: Bipolar disorder,diagnostic
Read,Eu31200,[X]Bipolar affect disorder cur epi manic with psychotic symp,res41: Bipolar disorder,diagnostic
Read,Eu34.00,[X]Persistent mood affective disorders,res41: Bipolar disorder,diagnostic
Read,Eu31100,[X]Bipolar affect disorder cur epi manic wout psychotic symp,res41: Bipolar disorder,diagnostic
Read,Eu31000,"[X]Bipolar affective disorder, current episode hypomanic",res41: Bipolar disorder,diagnostic
Read,Eu33312,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",res41: Bipolar disorder,diagnostic
Read,Eu31300,[X]Bipolar affect disorder cur epi mild or moderate depressn,res41: Bipolar disorder,diagnostic
Read,Eu33213,"[X]Manic-depress psychosis,depressd,no psychotic symptoms",res41: Bipolar disorder,diagnostic
Read,Eu31700,"[X]Bipolar affective disorder, currently in remission",res41: Bipolar disorder,diagnostic
Read,Eu31600,"[X]Bipolar affective disorder, current episode mixed",res41: Bipolar disorder,diagnostic
Read,Eu31400,"[X]Bipol aff disord, curr epis sev depress, no psychot symp",res41: Bipolar disorder,diagnostic
Read,Eu31500,[X]Bipolar affect dis cur epi severe depres with psyc symp,res41: Bipolar disorder,diagnostic
Read,Eu31z00,"[X]Bipolar affective disorder, unspecified",res41: Bipolar disorder,diagnostic
Read,Eu31y11,[X]Bipolar II disorder,res41: Bipolar disorder,diagnostic
Read,Eu31y00,[X]Other bipolar affective disorders,res41: Bipolar disorder,diagnostic
Read,Eu31y12,[X]Recurrent manic episodes,res41: Bipolar disorder,diagnostic
Read,Eu3y000,[X]Other single mood affective disorders,res41: Bipolar disorder,diagnostic
