Coding System (Multilex),Codes,Description,Entity type,Category
Multilex,99843020,Paliperidone 75mg/0.75ml suspension for injection pre-filled syringes,res41: Depot APDs,drug
Multilex,53053020,Modecate concentrate 100mg/ml Injection (Sanofi-Synthelabo Ltd),res41: Depot APDs,drug
Multilex,53586020,Piportil 50mg/ml Depot injection (JHC Healthcare Ltd),res41: Depot APDs,drug
Multilex,53031020,Depixol 40mg/2ml solution for injection ampoules (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,53030020,Depixol 20mg/ml Injection (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,53027020,Clopixol 200mg/ml Oily injection (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,50445020,Modecate 25mg/ml Injection (Sanofi-Synthelabo Ltd),res41: Depot APDs,drug
Multilex,48900020,Depixol -conc 100mg/ml Injection (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,57938020,Depixol Low Volume 200mg/1ml solution for injection ampoules (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,58510020,Haldol decanoate 100mg/1ml solution for injection ampoules (Janssen-Cilag Ltd),res41: Depot APDs,drug
Multilex,62034020,Flupentixol 200mg/1ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,58509020,Haldol decanoate 50mg/1ml solution for injection ampoules (Janssen-Cilag Ltd),res41: Depot APDs,drug
Multilex,61027020,Fluphenazine decanoate 25mg/1ml solution for injection ampoules (Hospira UK Ltd),res41: Depot APDs,drug
Multilex,62032020,Flupentixol decanoate 20mg/ml Injection,res41: Depot APDs,drug
Multilex,61512020,Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,61511020,Zuclopenthixol decanoate 200mg/ml oily injection,res41: Depot APDs,drug
Multilex,99841020,Paliperidone 50mg/0.5ml suspension for injection pre-filled syringes,res41: Depot APDs,drug
Multilex,62033020,Flupentixol decanoate 100mg/ml Injection,res41: Depot APDs,drug
Multilex,91582020,Flupentixol 20mg/1ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,98329020,Olanzapine embonate 300mg powder and solvent for suspension for injection vials,res41: Depot APDs,drug
Multilex,62049020,Fluphenazine decanoate 100mg/ml Injection,res41: Depot APDs,drug
Multilex,62048020,Fluphenazine decanoate 25mg/ml Injection,res41: Depot APDs,drug
Multilex,89976020,Depixol Conc 100mg/1ml solution for injection ampoules (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,89974020,Depixol Conc 50mg/0.5ml solution for injection ampoules (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,65842020,Pipotiazine palmitate 50mg/ml depot injection,res41: Depot APDs,drug
Multilex,63124020,Haloperidol decanoate 100mg/1ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,62954020,Fluphenazine decanoate 25mg/ml Injection (Antigen Pharmaceuticals),res41: Depot APDs,drug
Multilex,63123020,Haloperidol decanoate 50mg/1ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,67405020,Clopixol Conc 500mg/1ml solution for injection ampoules (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,89972020,Flupentixol 100mg/1ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,89970020,Flupentixol 50mg/0.5ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,68096020,Flupentixol 40mg/2ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,92214020,Fluphenazine decanoate 100mg/1ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,91987020,Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi),res41: Depot APDs,drug
Multilex,98278020,Olanzapine embonate 210mg powder and solvent for suspension for injection vials,res41: Depot APDs,drug
Multilex,91584020,Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd),res41: Depot APDs,drug
Multilex,91985020,Pipotiazine 100mg/2ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,91981020,Pipotiazine 50mg/1ml solution for injection ampoules,res41: Depot APDs,drug
Multilex,91592020,Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules,res41: Depot APDs,drug
