Coding System (Read),Codes,Description,Entity type,Category
Read,9Nk9.00,Seen in eating disorder clinic,res41: Eating disorder,diagnostic
Read,8HTN.00,Referral to eating disorders clinic,res41: Eating disorder,diagnostic
Read,Eu50z00,"[X]Eating disorder, unspecified",res41: Eating disorder,diagnostic
Read,1614.12,Polyphagia symptom,res41: Eating disorder,diagnostic
Read,1612.00,Appetite loss - anorexia,res41: Eating disorder,diagnostic
Read,1614.11,Hyperalimentation - symptom,res41: Eating disorder,diagnostic
Read,1612.11,Anorexia symptom,res41: Eating disorder,diagnostic
Read,1614.00,Excessive eating - polyphagia,res41: Eating disorder,diagnostic
Read,Eu50y11,[X]Pica in adults,res41: Eating disorder,diagnostic
Read,E275100,Bulimia (non-organic overeating),res41: Eating disorder,diagnostic
Read,Eu50211,[X]Bulimia NOS,res41: Eating disorder,diagnostic
Read,E275000,Unspecified non-organic eating disorder,res41: Eating disorder,diagnostic
Read,E271.00,Anorexia nervosa,res41: Eating disorder,diagnostic
Read,E275.00,Other and unspecified non-organic eating disorders,res41: Eating disorder,diagnostic
Read,Eu50200,[X]Bulimia nervosa,res41: Eating disorder,diagnostic
Read,E275z00,Non-organic eating disorder NOS,res41: Eating disorder,diagnostic
Read,E275111,Compulsive eating disorder,res41: Eating disorder,diagnostic
Read,E275y00,Other specified non-organic eating disorder,res41: Eating disorder,diagnostic
Read,Eu50100,[X]Atypical anorexia nervosa,res41: Eating disorder,diagnostic
Read,Eu50.00,[X]Eating disorders,res41: Eating disorder,diagnostic
Read,Eu50000,[X]Anorexia nervosa,res41: Eating disorder,diagnostic
Read,Eu50y00,[X]Other eating disorders,res41: Eating disorder,diagnostic
Read,Eu50300,[X]Atypical bulimia nervosa,res41: Eating disorder,diagnostic
Read,Eu50212,[X]Hyperorexia nervosa,res41: Eating disorder,diagnostic
Read,Eu50411,[X]Psychogenic overeating,res41: Eating disorder,diagnostic
Read,Eu50400,[X]Overeating associated with other psychological disturbncs,res41: Eating disorder,diagnostic
Read,Z4B5.00,Eating disorder counselling,res41: Eating disorder,diagnostic
Read,Fy05.00,Nocturnal sleep-related eating disorder,res41: Eating disorder,diagnostic
Read,R030.00,[D]Anorexia,res41: Eating disorder,diagnostic
Read,U1B3.11,[X]Starvation,res41: Eating disorder,diagnostic
Read,R036000,[D]Excessive eating,res41: Eating disorder,diagnostic
Read,R036.00,[D]Polyphagia,res41: Eating disorder,diagnostic
Read,R030z00,[D]Anorexia NOS,res41: Eating disorder,diagnostic
Read,R036011,[D]Bulimia NOS,res41: Eating disorder,diagnostic
Read,SN42100,Starvation,res41: Eating disorder,diagnostic
Read,R036z00,[D]Polyphagia NOS,res41: Eating disorder,diagnostic
Read,R036100,[D]Hyperalimentation,res41: Eating disorder,diagnostic
Read,ZC2CD00,Dietary advice for eating disorder,res41: Eating disorder,diagnostic
