Coding System (Multilex),Codes,Description,Entity type,Category
Multilex,48377020,Efexor 75mg tablets (Wyeth Pharmaceuticals),res36: Other ADDs,drug
Multilex,96473020,Politid XL 75mg capsules (Actavis UK Ltd),res36: Other ADDs,drug
Multilex,03977020,Alventa XL 150mg capsules (Consilient Health Ltd),res36: Other ADDs,drug
Multilex,41254020,Mirtazapine 45mg orodispersible tablets sugar free,res36: Other ADDs,drug
Multilex,03976020,Venlablue XL 150mg capsules (Bluefish Pharmaceuticals AB),res36: Other ADDs,drug
Multilex,03942020,Venlafaxine 37.5mg tablets (Ranbaxy (UK) Ltd),res36: Other ADDs,drug
Multilex,03818020,Fluanxol 1mg tablets (Sigma Pharmaceuticals Plc),res36: Other ADDs,drug
Multilex,03970020,Efexor XL 150mg capsules (Waymade Healthcare Plc),res36: Other ADDs,drug
Multilex,03965020,Venlablue XL 75mg capsules (Bluefish Pharmaceuticals AB),res36: Other ADDs,drug
Multilex,03966020,Alventa XL 75mg capsules (Consilient Health Ltd),res36: Other ADDs,drug
Multilex,48376020,Efexor 37.5mg tablets (Wyeth Pharmaceuticals),res36: Other ADDs,drug
Multilex,10967020,Duloxetine 60mg gastro-resistant capsules (Sigma Pharmaceuticals Plc),res36: Other ADDs,drug
Multilex,41253020,Mirtazapine 15mg orodispersible tablets sugar free (Sandoz Ltd),res36: Other ADDs,drug
Multilex,09905020,Zispin SolTab 30mg orodispersible tablets (Necessity Supplies Ltd),res36: Other ADDs,drug
Multilex,09892020,Zispin SolTab 15mg orodispersible tablets (Necessity Supplies Ltd),res36: Other ADDs,drug
Multilex,41252020,Mirtazapine 15mg orodispersible tablets sugar free,res36: Other ADDs,drug
Multilex,35355020,Venlafaxine 150mg/5ml oral solution,res36: Other ADDs,drug
Multilex,21206020,Mirtazapine 15mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd),res36: Other ADDs,drug
Multilex,38595020,Mirtazapine 15mg tablets (Medreich Plc),res36: Other ADDs,drug
Multilex,35357020,Venlafaxine 37.5mg/5ml oral solution,res36: Other ADDs,drug
