Coding System (Read),Codes,Description,Entity type,Category
Read,E21..11,Neurotic personality disorder,res36: Personality disorder,diagnostic
Read,E216.00,Inadequate personality disorder,res36: Personality disorder,diagnostic
Read,E215z00,Histrionic personality disorder NOS,res36: Personality disorder,diagnostic
Read,E211.00,Affective personality disorder,res36: Personality disorder,diagnostic
Read,E212.00,Schizoid personality disorder,res36: Personality disorder,diagnostic
Read,E210.00,Paranoid personality disorder,res36: Personality disorder,diagnostic
Read,E211z00,Affective personality disorder NOS,res36: Personality disorder,diagnostic
Read,E211000,Unspecified affective personality disorder,res36: Personality disorder,diagnostic
Read,E211100,Hypomanic personality disorder,res36: Personality disorder,diagnostic
Read,E211300,Cyclothymic personality disorder,res36: Personality disorder,diagnostic
Read,E211200,Depressive personality disorder,res36: Personality disorder,diagnostic
Read,E215000,Unspecified histrionic personality disorder,res36: Personality disorder,diagnostic
Read,E212000,Unspecified schizoid personality disorder,res36: Personality disorder,diagnostic
Read,E214.00,Compulsive personality disorders,res36: Personality disorder,diagnostic
Read,E213.00,Explosive personality disorder,res36: Personality disorder,diagnostic
Read,E212z00,Schizoid personality disorder NOS,res36: Personality disorder,diagnostic
Read,E215.11,Hysterical personality disorders,res36: Personality disorder,diagnostic
Read,E214.11,Anancastic personality,res36: Personality disorder,diagnostic
Read,E214000,Anankastic personality,res36: Personality disorder,diagnostic
Read,E215.00,Histrionic personality disorders,res36: Personality disorder,diagnostic
Read,E214z00,Compulsive personality disorder NOS,res36: Personality disorder,diagnostic
Read,E21y600,Masochistic personality disorder,res36: Personality disorder,diagnostic
Read,Eu60215,[X]Sociopathic personality disorder,res36: Personality disorder,diagnostic
Read,E21y500,Immature personality disorder,res36: Personality disorder,diagnostic
Read,E217.00,Antisocial or sociopathic personality disorder,res36: Personality disorder,diagnostic
Read,Eu21.18,[X]Schizotypal personality disorder,res36: Personality disorder,diagnostic
Read,E21y400,Eccentric personality disorder,res36: Personality disorder,diagnostic
Read,E21y000,Narcissistic personality disorder,res36: Personality disorder,diagnostic
Read,E21y.00,Other personality disorders,res36: Personality disorder,diagnostic
Read,E21y300,Passive-aggressive personality disorder,res36: Personality disorder,diagnostic
Read,E21y100,Avoidant personality disorder,res36: Personality disorder,diagnostic
Read,E21y200,Borderline personality disorder,res36: Personality disorder,diagnostic
Read,Eu21.17,[X]Pseudopsychopathic schizophrenia,res36: Personality disorder,diagnostic
Read,E21z.00,Personality disorder NOS,res36: Personality disorder,diagnostic
Read,Eu60y12,[X]Haltlose type personality disorder,res36: Personality disorder,diagnostic
