Coding System (GPRD_product_code),Codes,Description,Entity type,Category
GPRD_product_code,03723009,BISOPROLOL tabs 5mg [RANBAXY],ACE_inhibitors,drug
GPRD_product_code,06114009,PROPRANOLOL tabs 40mg [ALMUS],ACE_inhibitors,drug
GPRD_product_code,05164002,NA,ACE_inhibitors,drug
GPRD_product_code,05164001,NA,ACE_inhibitors,drug
GPRD_product_code,04840009,NA,ACE_inhibitors,drug
GPRD_product_code,04838009,NA,ACE_inhibitors,drug
GPRD_product_code,02859010,NA,ACE_inhibitors,drug
GPRD_product_code,01449001,NA,ACE_inhibitors,drug
GPRD_product_code,02859009,NA,ACE_inhibitors,drug
GPRD_product_code,00878009,NA,ACE_inhibitors,drug
GPRD_product_code,00877010,NA,ACE_inhibitors,drug
GPRD_product_code,11576003,NA,ACE_inhibitors,drug
GPRD_product_code,00878010,NA,ACE_inhibitors,drug
GPRD_product_code,02485002,NA,ACE_inhibitors,drug
GPRD_product_code,02263002,NA,ACE_inhibitors,drug
GPRD_product_code,02263001,NA,ACE_inhibitors,drug
GPRD_product_code,04813009,NA,ACE_inhibitors,drug
GPRD_product_code,02871009,NA,ACE_inhibitors,drug
GPRD_product_code,03553009,NA,ACE_inhibitors,drug
GPRD_product_code,03463010,NA,ACE_inhibitors,drug
GPRD_product_code,02913001,NA,ACE_inhibitors,drug
GPRD_product_code,02871010,NA,ACE_inhibitors,drug
GPRD_product_code,03114001,NA,ACE_inhibitors,drug
GPRD_product_code,03021009,NA,ACE_inhibitors,drug
GPRD_product_code,04812009,NA,ACE_inhibitors,drug
GPRD_product_code,04467001,NA,ACE_inhibitors,drug
GPRD_product_code,04466003,NA,ACE_inhibitors,drug
GPRD_product_code,03553010,NA,ACE_inhibitors,drug
GPRD_product_code,04811009,NA,ACE_inhibitors,drug
GPRD_product_code,04467003,NA,ACE_inhibitors,drug
GPRD_product_code,04810009,NA,ACE_inhibitors,drug
GPRD_product_code,04809009,NA,ACE_inhibitors,drug
GPRD_product_code,06307003,CARVEDILOL tabs 3.125mg,ACE_inhibitors,drug
GPRD_product_code,05165003,NA,ACE_inhibitors,drug
GPRD_product_code,02804001,NA,ACE_inhibitors,drug
GPRD_product_code,04842009,NA,ACE_inhibitors,drug
