Coding System (GPRD_product_code),Codes,Description,Entity type,Category
GPRD_product_code,06698009,NA,Asthma drugs,drug
GPRD_product_code,11904001,NA,Asthma drugs,drug
GPRD_product_code,01827007,NA,Asthma drugs,drug
GPRD_product_code,01287002,NA,Asthma drugs,drug
GPRD_product_code,05274001,NA,Asthma drugs,drug
GPRD_product_code,05363001,NA,Asthma drugs,drug
GPRD_product_code,05395001,NA,Asthma drugs,drug
GPRD_product_code,04927001,NA,Asthma drugs,drug
GPRD_product_code,04926001,NA,Asthma drugs,drug
GPRD_product_code,04787002,NA,Asthma drugs,drug
GPRD_product_code,04324001,NA,Asthma drugs,drug
GPRD_product_code,04015002,NA,Asthma drugs,drug
GPRD_product_code,04324002,NA,Asthma drugs,drug
GPRD_product_code,04670005,NA,Asthma drugs,drug
GPRD_product_code,04013002,NA,Asthma drugs,drug
GPRD_product_code,04015001,NA,Asthma drugs,drug
GPRD_product_code,03414009,NA,Asthma drugs,drug
GPRD_product_code,04014001,NA,Asthma drugs,drug
GPRD_product_code,04787001,NA,Asthma drugs,drug
GPRD_product_code,03264001,NA,Asthma drugs,drug
GPRD_product_code,03446007,NA,Asthma drugs,drug
GPRD_product_code,03438009,NA,Asthma drugs,drug
GPRD_product_code,03394009,NA,Asthma drugs,drug
GPRD_product_code,03342002,NA,Asthma drugs,drug
GPRD_product_code,03209009,NA,Asthma drugs,drug
GPRD_product_code,03966003,NA,Asthma drugs,drug
GPRD_product_code,01791009,NA,Asthma drugs,drug
GPRD_product_code,02286001,NA,Asthma drugs,drug
GPRD_product_code,02809009,NA,Asthma drugs,drug
GPRD_product_code,08062001,NA,Asthma drugs,drug
GPRD_product_code,04013001,NA,Asthma drugs,drug
GPRD_product_code,01409001,NA,Asthma drugs,drug
GPRD_product_code,05508002,NA,Asthma drugs,drug
GPRD_product_code,01780009,NA,Asthma drugs,drug
GPRD_product_code,01404002,NA,Asthma drugs,drug
GPRD_product_code,12398001,NA,Asthma drugs,drug
GPRD_product_code,01403002,NA,Asthma drugs,drug
GPRD_product_code,00170007,NA,Asthma drugs,drug
GPRD_product_code,02703005,NA,Asthma drugs,drug
GPRD_product_code,02701005,NA,Asthma drugs,drug
GPRD_product_code,00172007,NA,Asthma drugs,drug
GPRD_product_code,00171007,NA,Asthma drugs,drug
GPRD_product_code,02730005,NA,Asthma drugs,drug
GPRD_product_code,01561009,NA,Asthma drugs,drug
GPRD_product_code,01413001,NA,Asthma drugs,drug
GPRD_product_code,01411001,NA,Asthma drugs,drug
GPRD_product_code,02338001,NA,Asthma drugs,drug
GPRD_product_code,01409003,NA,Asthma drugs,drug
GPRD_product_code,00169007,NA,Asthma drugs,drug
GPRD_product_code,01409002,NA,Asthma drugs,drug
GPRD_product_code,01560009,NA,Asthma drugs,drug
GPRD_product_code,01558009,NA,Asthma drugs,drug
GPRD_product_code,01419001,NA,Asthma drugs,drug
GPRD_product_code,01559009,NA,Asthma drugs,drug
GPRD_product_code,01558011,NA,Asthma drugs,drug
GPRD_product_code,01558010,NA,Asthma drugs,drug
GPRD_product_code,01776003,NA,Asthma drugs,drug
GPRD_product_code,01776002,NA,Asthma drugs,drug
GPRD_product_code,01667003,NA,Asthma drugs,drug
GPRD_product_code,01666009,NA,Asthma drugs,drug
GPRD_product_code,00168007,NA,Asthma drugs,drug
GPRD_product_code,01667002,NA,Asthma drugs,drug
GPRD_product_code,01667001,NA,Asthma drugs,drug
GPRD_product_code,01776001,NA,Asthma drugs,drug
GPRD_product_code,01722001,NA,Asthma drugs,drug
GPRD_product_code,01711001,NA,Asthma drugs,drug
GPRD_product_code,00166003,NA,Asthma drugs,drug
GPRD_product_code,00126010,NA,Asthma drugs,drug
GPRD_product_code,00166002,NA,Asthma drugs,drug
GPRD_product_code,00166001,NA,Asthma drugs,drug
GPRD_product_code,02331005,NA,Asthma drugs,drug
GPRD_product_code,03342001,NA,Asthma drugs,drug
GPRD_product_code,00603009,NA,Asthma drugs,drug
GPRD_product_code,01024001,NA,Asthma drugs,drug
GPRD_product_code,01382001,NA,Asthma drugs,drug
GPRD_product_code,03966002,NA,Asthma drugs,drug
GPRD_product_code,02127002,NA,Asthma drugs,drug
GPRD_product_code,00865002,NA,Asthma drugs,drug
GPRD_product_code,00181007,NA,Asthma drugs,drug
GPRD_product_code,00602009,NA,Asthma drugs,drug
GPRD_product_code,00182007,NA,Asthma drugs,drug
GPRD_product_code,00468001,NA,Asthma drugs,drug
GPRD_product_code,05708009,NA,Asthma drugs,drug
GPRD_product_code,00375001,NA,Asthma drugs,drug
GPRD_product_code,00281001,NA,Asthma drugs,drug
GPRD_product_code,01828007,NA,Asthma drugs,drug
GPRD_product_code,00865001,NA,Asthma drugs,drug
