Coding System (GPRD_product_code),Codes,Description,Entity type,Category
GPRD_product_code,00635010,TAMOXIFEN tabs 40mg [CELLTECH],Bisphosphonates,drug
GPRD_product_code,00654001,NOLVADEX tabs 10mg,Bisphosphonates,drug
GPRD_product_code,06597002,SODIUM CLODRONATE inf 300mg/10ml,Bisphosphonates,drug
GPRD_product_code,06596002,LORON inf 300mg/10ml,Bisphosphonates,drug
GPRD_product_code,12393001,ZOLEDRONIC ACID conc soln inf 4mg/5ml,Bisphosphonates,drug
GPRD_product_code,07914001,BONDRONAT conc soln inf 2mg/2ml,Bisphosphonates,drug
GPRD_product_code,01354011,TAMOXIFEN tabs 20mg [IVAX],Bisphosphonates,drug
GPRD_product_code,13437001,IBANDRONIC ACID tabs 150mg,Bisphosphonates,drug
GPRD_product_code,01353009,TAMOXIFEN tabs 40mg [APS],Bisphosphonates,drug
GPRD_product_code,13401001,FOSAVANCE tabs,Bisphosphonates,drug
GPRD_product_code,13438001,BONVIVA FC tab 150mg,Bisphosphonates,drug
GPRD_product_code,00635011,TAMOXIFEN tabs 10mg [CELLTECH],Bisphosphonates,drug
GPRD_product_code,00636011,TAMOXIFEN tabs 40mg [HILLCROSS],Bisphosphonates,drug
GPRD_product_code,00636010,TAMOXIFEN tabs 20mg [HILLCROSS],Bisphosphonates,drug
GPRD_product_code,00137002,CALSYNAR inj 200 iu/ml,Bisphosphonates,drug
GPRD_product_code,01976009,TAMOXIFEN tabs 10mg [IVAX],Bisphosphonates,drug
GPRD_product_code,02627001,TAMOFEN -10 tabs 10mg,Bisphosphonates,drug
GPRD_product_code,02281009,TAMOXIFEN tabs 10mg [ALPHAR/COX],Bisphosphonates,drug
GPRD_product_code,02629001,TAMOFEN -40 tabs,Bisphosphonates,drug
GPRD_product_code,00137001,CALSYNAR inj 100 iu/ml,Bisphosphonates,drug
GPRD_product_code,03642010,TAMOXIFEN tabs 20mg [CO-PHARMA],Bisphosphonates,drug
GPRD_product_code,06771001,MIACALCIC inj 50 units/ml,Bisphosphonates,drug
GPRD_product_code,06771003,MIACALCIC inj 200 iu/ml,Bisphosphonates,drug
GPRD_product_code,04695002,CALCITONIN (SALMON) SYNTHETIC inj 200 iu/ml,Bisphosphonates,drug
GPRD_product_code,04695001,CALCITONIN (SALMON) SYNTHETIC inj 100 iu/ml,Bisphosphonates,drug
GPRD_product_code,10599001,ESTRADIOL HEMIHYDRATE + NORETHISTERONE tabs 1mg + 0.5mg,Bisphosphonates,drug
GPRD_product_code,06218001,ETHINYLESTRADIOL + LEVONORGESTREL tabs,Bisphosphonates,drug
GPRD_product_code,06736001,FEMODENE ED tabs,Bisphosphonates,drug
GPRD_product_code,08886001,CONJUGATED OESTROGENS EQUINE + MEDROXYPROGESTERONE ACETATE (continuous combined) tabs 625micrograms ,Bisphosphonates,drug
GPRD_product_code,09443001,ETHINYLESTRADIOL + NORETHISTERONE - TRIPHASIC & PLACEBO tabs 7 x 35+500mcg; 7 x 35+750mcg; 7 x 35mcg,Bisphosphonates,drug
GPRD_product_code,08379001,MENOREST patch 37.5micrograms/24 hours (3.29mg/unit),Bisphosphonates,drug
GPRD_product_code,06680001,LIVIAL tabs 2.5mg,Bisphosphonates,drug
GPRD_product_code,05527002,CONJUGATED OESTROGENS EQUINE & NORGESTREL tabs 1.25mg + 150micrograms,Bisphosphonates,drug
GPRD_product_code,06926001,EVOREL -50 patch 50mcg/24 hours (3.2mg/unit),Bisphosphonates,drug
GPRD_product_code,06926002,EVOREL -25 patch 25mcg/24 hours (1.6mg/unit),Bisphosphonates,drug
GPRD_product_code,07037001,ESTRADIOL TWICE WEEKLY patch 100mcg/24 hours (6.4mg/unit),Bisphosphonates,drug
GPRD_product_code,06926003,EVOREL -75 patch 75micrograms/24 hours(4.8mg/unit),Bisphosphonates,drug
GPRD_product_code,05837001,ESTRADIOL VALERATE & (ESTRADIOL VALERATE + NORGESTREL) tabs 2mg + (2mg + 500micrograms),Bisphosphonates,drug
