Coding System (OXMIS Read),Codes,Description,Entity type,Category
OXMIS,2901A,PRESENILE DEMENTIA,dementia,diagnostic
OXMIS,Y0601JS,DEMENTIA CLINIC ATTENDANCE,dementia,diagnostic
OXMIS,2901D,JACOB- CREUZFELDT DISEASE WITH DEMENTIA,dementia,diagnostic
OXMIS,2901B,ALZHEIMER'S DISEASE,dementia,diagnostic
OXMIS,2900,SENILE DEMENTIA,dementia,diagnostic
OXMIS,2930,DEMENTIA ARTERIOSCLEROTIC,dementia,diagnostic
OXMIS,2919,DEMENTIA ALCOHOLIC,dementia,diagnostic
OXMIS,299 B,DEMENTIA,dementia,diagnostic
OXMIS,299 G,DEMENTIA AGGRESSIVE,dementia,diagnostic
OXMIS,Y060 JS,DEMENTIA CLINIC,dementia,diagnostic
Read,ZR1K.00,Alzheimer's disease assessment scale,dementia,diagnostic
Read,E002100,Senile dementia with depression,dementia,diagnostic
Read,E002000,Senile dementia with paranoia,dementia,diagnostic
Read,E00..12,Senile/presenile dementia,dementia,diagnostic
Read,E002.00,Senile dementia with depressive or paranoid features,dementia,diagnostic
Read,E00..11,Senile dementia,dementia,diagnostic
Read,E00..00,Senile and presenile organic psychotic conditions,dementia,diagnostic
Read,E001z00,Presenile dementia NOS,dementia,diagnostic
Read,E001.00,Presenile dementia,dementia,diagnostic
Read,e000.00,Uncomplicated senile dementia,dementia,diagnostic
Read,E000.00,Uncomplicated senile dementia,dementia,diagnostic
Read,E001000,Uncomplicated presenile dementia,dementia,diagnostic
Read,E001300,Presenile dementia with depression,dementia,diagnostic
Read,E001200,Presenile dementia with paranoia,dementia,diagnostic
Read,E001100,Presenile dementia with delirium,dementia,diagnostic
Read,E004000,Uncomplicated arteriosclerotic dementia,dementia,diagnostic
Read,Eu01000,[X]Vascular dementia of acute onset,dementia,diagnostic
Read,E012.11,Alcoholic dementia NOS,dementia,diagnostic
Read,E002z00,Senile dementia with depressive or paranoid features NOS,dementia,diagnostic
Read,E004.11,Multi infarct dementia,dementia,diagnostic
Read,E004.00,Arteriosclerotic dementia,dementia,diagnostic
Read,E003.00,Senile dementia with delirium,dementia,diagnostic
Read,E012.00,Other alcoholic dementia,dementia,diagnostic
Read,E004300,Arteriosclerotic dementia with depression,dementia,diagnostic
Read,E004200,Arteriosclerotic dementia with paranoia,dementia,diagnostic
Read,E004100,Arteriosclerotic dementia with delirium,dementia,diagnostic
Read,E004z00,Arteriosclerotic dementia NOS,dementia,diagnostic
