Coding System (GPRD_product_code),Codes,Description,Entity type,Category
GPRD_product_code,06235009,INFLUENZA INACTIVATED SPLIT VIRION paed vac [SAN PAST],Influenza immunisation drugs,drug
GPRD_product_code,06092009,INFLUENZA INACTIVATED SPLIT VIRION vaccine [CHIRON],Influenza immunisation drugs,drug
GPRD_product_code,05882001,MFV-JECT vaccine,Influenza immunisation drugs,drug
GPRD_product_code,05380001,INFLUENZA INACTIVATED SURFACE ANTIGEN vaccine,Influenza immunisation drugs,drug
GPRD_product_code,01401001,MASTAFLU vaccine,Influenza immunisation drugs,drug
GPRD_product_code,00465001,INFLUVAC SUB-UNIT vaccine,Influenza immunisation drugs,drug
GPRD_product_code,03431009,INFLUENZA INACTIVATED SPLIT VIRION vaccine [EVANS VAC],Influenza immunisation drugs,drug
GPRD_product_code,02699001,FLUVIRIN vaccine,Influenza immunisation drugs,drug
GPRD_product_code,02187001,FLUZONE vaccine,Influenza immunisation drugs,drug
GPRD_product_code,03861009,INFLUENZA INACTIVATED SURFACE ANTIGEN vaccine [EVANS VAC],Influenza immunisation drugs,drug
GPRD_product_code,03789009,INFLUENZA INACTIVATED SPLIT VIRION vaccine [SAN PAST],Influenza immunisation drugs,drug
GPRD_product_code,08968001,AGRIPPAL vaccine,Influenza immunisation drugs,drug
GPRD_product_code,14264001,IMUVAC vaccine,Influenza immunisation drugs,drug
GPRD_product_code,07313001,FLUARIX vaccine,Influenza immunisation drugs,drug
GPRD_product_code,10905001,BEGRIVAC vaccine,Influenza immunisation drugs,drug
GPRD_product_code,14256001,VIROFLU vaccine,Influenza immunisation drugs,drug
GPRD_product_code,10433001,INFLUENZA INACTIVATED SPLIT VIRION vaccine,Influenza immunisation drugs,drug
GPRD_product_code,10431001,INFLUENZA INACTIVATED SPLIT VIRION vaccine,Influenza immunisation drugs,drug
GPRD_product_code,11288001,INFLEXAL V vaccine,Influenza immunisation drugs,drug
GPRD_product_code,13457001,INFLUENZA INACTIVATED SPLIT VIRION paed vac,Influenza immunisation drugs,drug
GPRD_product_code,13403001,ENZIRA vaccine,Influenza immunisation drugs,drug
GPRD_product_code,12770001,INVIVAC vaccine,Influenza immunisation drugs,drug
