Coding System (GPRD_product_code),Codes,Description,Entity type,Category
GPRD_product_code,13895001,NA,Strong analgesics,drug
GPRD_product_code,01918001,NA,Strong analgesics,drug
GPRD_product_code,09262003,NA,Strong analgesics,drug
GPRD_product_code,04795009,NA,Strong analgesics,drug
GPRD_product_code,09262002,NA,Strong analgesics,drug
GPRD_product_code,06572001,NA,Strong analgesics,drug
GPRD_product_code,01422009,NA,Strong analgesics,drug
GPRD_product_code,00720009,NA,Strong analgesics,drug
GPRD_product_code,05227001,NA,Strong analgesics,drug
GPRD_product_code,01446001,NA,Strong analgesics,drug
GPRD_product_code,09240001,NA,Strong analgesics,drug
GPRD_product_code,06649007,NA,Strong analgesics,drug
GPRD_product_code,11271001,NA,Strong analgesics,drug
GPRD_product_code,10320002,NA,Strong analgesics,drug
GPRD_product_code,10320003,NA,Strong analgesics,drug
GPRD_product_code,01446002,NA,Strong analgesics,drug
GPRD_product_code,10804001,NA,Strong analgesics,drug
GPRD_product_code,10320001,NA,Strong analgesics,drug
GPRD_product_code,06650007,NA,Strong analgesics,drug
GPRD_product_code,07475001,NA,Strong analgesics,drug
GPRD_product_code,07463001,NA,Strong analgesics,drug
GPRD_product_code,01556001,NA,Strong analgesics,drug
GPRD_product_code,03654007,NA,Strong analgesics,drug
GPRD_product_code,07006001,NA,Strong analgesics,drug
GPRD_product_code,00851001,NA,Strong analgesics,drug
GPRD_product_code,04208001,NA,Strong analgesics,drug
GPRD_product_code,03652007,NA,Strong analgesics,drug
GPRD_product_code,03383003,NA,Strong analgesics,drug
GPRD_product_code,03255010,NA,Strong analgesics,drug
GPRD_product_code,03759009,NA,Strong analgesics,drug
GPRD_product_code,01279011,NA,Strong analgesics,drug
GPRD_product_code,04207002,NA,Strong analgesics,drug
GPRD_product_code,01581001,NA,Strong analgesics,drug
GPRD_product_code,10931001,NA,Strong analgesics,drug
GPRD_product_code,00193011,NA,Strong analgesics,drug
GPRD_product_code,01520009,NA,Strong analgesics,drug
GPRD_product_code,00193010,NA,Strong analgesics,drug
GPRD_product_code,01918002,NA,Strong analgesics,drug
GPRD_product_code,03940009,NA,Strong analgesics,drug
GPRD_product_code,06182001,NA,Strong analgesics,drug
GPRD_product_code,05493007,NA,Strong analgesics,drug
GPRD_product_code,04207003,NA,Strong analgesics,drug
GPRD_product_code,05141007,NA,Strong analgesics,drug
GPRD_product_code,14319001,NA,Strong analgesics,drug
GPRD_product_code,06390001,NA,Strong analgesics,drug
GPRD_product_code,06183001,NA,Strong analgesics,drug
GPRD_product_code,13796001,NA,Strong analgesics,drug
GPRD_product_code,03180010,NA,Strong analgesics,drug
GPRD_product_code,00852011,NA,Strong analgesics,drug
GPRD_product_code,01905001,NA,Strong analgesics,drug
GPRD_product_code,00852010,NA,Strong analgesics,drug
GPRD_product_code,06543001,NA,Strong analgesics,drug
GPRD_product_code,01279010,NA,Strong analgesics,drug
GPRD_product_code,00851009,NA,Strong analgesics,drug
GPRD_product_code,02955001,NA,Strong analgesics,drug
GPRD_product_code,06552009,NA,Strong analgesics,drug
GPRD_product_code,02955002,NA,Strong analgesics,drug
GPRD_product_code,00511009,NA,Strong analgesics,drug
GPRD_product_code,08365001,NA,Strong analgesics,drug
GPRD_product_code,03215009,NA,Strong analgesics,drug
GPRD_product_code,00511010,NA,Strong analgesics,drug
GPRD_product_code,03089009,NA,Strong analgesics,drug
GPRD_product_code,06554009,NA,Strong analgesics,drug
GPRD_product_code,08365003,NA,Strong analgesics,drug
GPRD_product_code,04798009,NA,Strong analgesics,drug
GPRD_product_code,02789009,NA,Strong analgesics,drug
GPRD_product_code,04289009,NA,Strong analgesics,drug
GPRD_product_code,03255009,NA,Strong analgesics,drug
GPRD_product_code,08840002,NA,Strong analgesics,drug
GPRD_product_code,13896001,NA,Strong analgesics,drug
GPRD_product_code,05720001,NA,Strong analgesics,drug
GPRD_product_code,02304009,NA,Strong analgesics,drug
GPRD_product_code,07226001,NA,Strong analgesics,drug
GPRD_product_code,00361009,NA,Strong analgesics,drug
GPRD_product_code,03180009,NA,Strong analgesics,drug
GPRD_product_code,00853009,NA,Strong analgesics,drug
GPRD_product_code,06447009,NA,Strong analgesics,drug
GPRD_product_code,06446009,NA,Strong analgesics,drug
GPRD_product_code,03759010,NA,Strong analgesics,drug
GPRD_product_code,00569010,NA,Strong analgesics,drug
GPRD_product_code,02955003,NA,Strong analgesics,drug
GPRD_product_code,08798001,NA,Strong analgesics,drug
GPRD_product_code,09645003,NA,Strong analgesics,drug
GPRD_product_code,02206003,NA,Strong analgesics,drug
GPRD_product_code,10321003,NA,Strong analgesics,drug
GPRD_product_code,06448009,NA,Strong analgesics,drug
GPRD_product_code,06449009,NA,Strong analgesics,drug
GPRD_product_code,08812001,NA,Strong analgesics,drug
GPRD_product_code,02206002,NA,Strong analgesics,drug
GPRD_product_code,10321002,NA,Strong analgesics,drug
GPRD_product_code,08798002,NA,Strong analgesics,drug
GPRD_product_code,08812002,NA,Strong analgesics,drug
GPRD_product_code,10321001,NA,Strong analgesics,drug
GPRD_product_code,08798003,NA,Strong analgesics,drug
GPRD_product_code,07226003,NA,Strong analgesics,drug
GPRD_product_code,07226002,NA,Strong analgesics,drug
GPRD_product_code,04209001,NA,Strong analgesics,drug
GPRD_product_code,08840001,NA,Strong analgesics,drug
GPRD_product_code,03141009,NA,Strong analgesics,drug
GPRD_product_code,02900009,NA,Strong analgesics,drug
GPRD_product_code,09645002,NA,Strong analgesics,drug
GPRD_product_code,04210001,NA,Strong analgesics,drug
GPRD_product_code,09646003,NA,Strong analgesics,drug
GPRD_product_code,09646002,NA,Strong analgesics,drug
GPRD_product_code,04209002,NA,Strong analgesics,drug
GPRD_product_code,04210002,NA,Strong analgesics,drug
GPRD_product_code,02206001,NA,Strong analgesics,drug
GPRD_product_code,09646001,NA,Strong analgesics,drug
GPRD_product_code,04209003,NA,Strong analgesics,drug
GPRD_product_code,04210003,NA,Strong analgesics,drug
GPRD_product_code,05808009,NA,Strong analgesics,drug
GPRD_product_code,08849002,NA,Strong analgesics,drug
GPRD_product_code,09645001,NA,Strong analgesics,drug
GPRD_product_code,08841001,NA,Strong analgesics,drug
GPRD_product_code,12383001,NA,Strong analgesics,drug
GPRD_product_code,14595001,NA,Strong analgesics,drug
GPRD_product_code,02968009,NA,Strong analgesics,drug
GPRD_product_code,09913003,NA,Strong analgesics,drug
GPRD_product_code,09913002,NA,Strong analgesics,drug
GPRD_product_code,14692001,NA,Strong analgesics,drug
GPRD_product_code,09913001,NA,Strong analgesics,drug
GPRD_product_code,09914001,NA,Strong analgesics,drug
GPRD_product_code,02286009,NA,Strong analgesics,drug
GPRD_product_code,05339009,NA,Strong analgesics,drug
GPRD_product_code,07322001,NA,Strong analgesics,drug
GPRD_product_code,02810007,NA,Strong analgesics,drug
GPRD_product_code,14371001,NA,Strong analgesics,drug
GPRD_product_code,11023001,NA,Strong analgesics,drug
GPRD_product_code,03908009,NA,Strong analgesics,drug
GPRD_product_code,05718009,NA,Strong analgesics,drug
GPRD_product_code,03046010,NA,Strong analgesics,drug
GPRD_product_code,03046011,NA,Strong analgesics,drug
GPRD_product_code,00359011,NA,Strong analgesics,drug
GPRD_product_code,03915009,NA,Strong analgesics,drug
GPRD_product_code,03398009,NA,Strong analgesics,drug
GPRD_product_code,00181001,NA,Strong analgesics,drug
GPRD_product_code,04100007,NA,Strong analgesics,drug
GPRD_product_code,03276009,NA,Strong analgesics,drug
GPRD_product_code,00929001,NA,Strong analgesics,drug
GPRD_product_code,02136009,NA,Strong analgesics,drug
GPRD_product_code,07322002,NA,Strong analgesics,drug
GPRD_product_code,03728009,NA,Strong analgesics,drug
GPRD_product_code,08764001,NA,Strong analgesics,drug
GPRD_product_code,03050009,NA,Strong analgesics,drug
GPRD_product_code,04631009,NA,Strong analgesics,drug
GPRD_product_code,00328009,NA,Strong analgesics,drug
GPRD_product_code,13927001,NA,Strong analgesics,drug
