Coding System (Read),Codes,Description,Entity type,Category
Read,1282,fh: alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,1366,Very heavy drinker - >9u/day,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,136Q.00,Very heavy drinker,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,136T.00,harmful alcohol use,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,1462,h/o: alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,1B1c.00,alcohol induced hallucinations,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,66e0.00,alcohol abuse monitoring,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,7P22100,delivery of rehabilitation for alcohol addiction,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,8BA8.00,alcohol detoxification,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,8CAv.00,advised to contact primary care alcohol worker,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,8G32.00,aversion therapy - alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,8H35.00,admitted to alcohol detoxification centre,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,8HkG.00,referral to specialist alcohol treatment service,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,8IAF.00,brief intervention for excessive alcohol consumptn declined,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,8IAJ.00,declined referral to specialist alcohol treatment service,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,8IAt.00,extended interven for excessive alcohol consumption declined,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,9k1B.00,extended intervention for excessive alcohol consumptn complt,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,9NN2.00,under care of community alcohol team,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,C150500,alcohol-induced pseudo-cushing's syndrome,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E01..00,alcoholic psychoses,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E010.00,alcohol withdrawal delirium,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E011000,korsakov's alcoholic psychosis,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E011100,korsakov's alcoholic psychosis with peripheral neuritis,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E011200,Wernicke-Korsakov syndrome,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E011z00,alcohol amnestic syndrome nos,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E012.00,other alcoholic dementia,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E012000,chronic alcoholic brain syndrome,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E012.11,alcoholic dementia nos,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E013.00,alcohol withdrawal hallucinosis,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E014.00,pathological alcohol intoxication,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E015.00,alcoholic paranoia,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E01y.00,other alcoholic psychosis,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E01y000,alcohol withdrawal syndrome,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E01yz00,other alcoholic psychosis nos,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E01z.00,alcoholic psychosis nos,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E23..00,alcohol dependence syndrome,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E230.00,acute alcoholic intoxication in alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E230000,acute alcoholic intoxication; unspecified; in alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E230100,continuous acute alcoholic intoxication in alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E230.11,alcohol dependence with acute alcoholic intoxication,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E230200,episodic acute alcoholic intoxication in alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E230300,acute alcoholic intoxication in remission; in alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E230z00,acute alcoholic intoxication in alcoholism nos,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E231.00,chronic alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E231000,unspecified chronic alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E23..11,alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E231100,continuous chronic alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E231200,episodic chronic alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E231300,chronic alcoholism in remission,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E231z00,chronic alcoholism nos,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E23z.00,alcohol dependence syndrome nos,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,E250300,nondependent alcohol abuse in remission,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10.00,[x]mental and behavioural disorders due to use of alcohol,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10100,[x]mental and behav dis due to use of alcohol: harmful use,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10200,[x]mental and behav dis due to use alcohol: dependence syndr,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10211,[x]alcohol addiction,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10212,[x]chronic alcoholism,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10300,[x]mental and behav dis due to use alcohol: withdrawal state,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10400,[X]Men & behav dis due alcohl: withdrawl state with delirium,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10411,[x]delirium tremens; alcohol induced,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10500,[x]mental & behav dis due to use alcohol: psychotic disorder,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10511,[x]alcoholic hallucinosis,res32: Clinically Significant Alcohol Misuse,diagnostic
Read,Eu10512,[x]alcoholic jealousy,res32: Clinically Significant Alcohol Misuse,diagnostic
