Coding System (Read),Codes,Description,Entity type,Category
Read,Fyu6D00,[X]Other mononeuropathies in diseases classified elsewhere,res47: Comorbidities,diagnostic
Read,29HB.00,O/E - Vibration sense of left foot absent,res47: Comorbidities,diagnostic
Read,7L1H100,External cardioversion NEC,res47: Comorbidities,diagnostic
Read,29H6.00,O/E - Vibration sense of left foot abnormal,res47: Comorbidities,diagnostic
Read,F250100,Pykno-epilepsy,res47: Comorbidities,diagnostic
Read,C10E212,Insulin-dependent diabetes mellitus with neurological comps,res47: Comorbidities,diagnostic
Read,C106.00,Diabetes mellitus with neurological manifestation,res47: Comorbidities,diagnostic
Read,2G51000,Foot abnormality - diabetes related,res47: Comorbidities,diagnostic
Read,F373.00,Polyneuropathy in malignant disease,res47: Comorbidities,diagnostic
Read,29B3.00,O/E - hypoaesthesia present,res47: Comorbidities,diagnostic
Read,C106.13,Diabetes mellitus with polyneuropathy,res47: Comorbidities,diagnostic
Read,29B2.00,O/E - anaesthesia present,res47: Comorbidities,diagnostic
Read,29B2000,O/E - anaesthesia in legs,res47: Comorbidities,diagnostic
Read,3282.00,ECG: ventricular tachycardia,res47: Comorbidities,diagnostic
Read,G572.00,Paroxysmal tachycardia unspecified,res47: Comorbidities,diagnostic
Read,29H7.00,O/E - Vibration sense of left foot normal,res47: Comorbidities,diagnostic
Read,G57y.14,Heart beats irregular,res47: Comorbidities,diagnostic
Read,3272.00,ECG: atrial fibrillation,res47: Comorbidities,diagnostic
Read,F255311,Partial epilepsy with autonomic symptoms,res47: Comorbidities,diagnostic
Read,G570100,Paroxysmal atrioventricular tachycardia,res47: Comorbidities,diagnostic
Read,G574000,Ventricular fibrillation,res47: Comorbidities,diagnostic
Read,G571.00,Paroxysmal ventricular tachycardia,res47: Comorbidities,diagnostic
Read,7L1H000,Direct current cardioversion,res47: Comorbidities,diagnostic
Read,7936000,Implantation of intravenous cardiac pacemaker system,res47: Comorbidities,diagnostic
Read,G57..00,Cardiac dysrhythmias,res47: Comorbidities,diagnostic
Read,G574.00,Ventricular fibrillation and flutter,res47: Comorbidities,diagnostic
Read,G57y000,Persistent sinus bradycardia,res47: Comorbidities,diagnostic
Read,29B2100,O/E - anaesthesia of extremities,res47: Comorbidities,diagnostic
Read,G57y400,Sinoatrial node dysfunction NOS,res47: Comorbidities,diagnostic
Read,G570.00,Paroxysmal supraventricular tachycardia,res47: Comorbidities,diagnostic
Read,G575300,Electromechanical dissociation,res47: Comorbidities,diagnostic
Read,F25y500,Panayiotopoulos syndrome,res47: Comorbidities,diagnostic
Read,14AN.00,H/O: atrial fibrillation,res47: Comorbidities,diagnostic
Read,G574100,Ventricular flutter,res47: Comorbidities,diagnostic
Read,7L1H200,Internal electrode cardioversion,res47: Comorbidities,diagnostic
Read,G57..11,Cardiac arrhythmias,res47: Comorbidities,diagnostic
Read,7936.00,Introduction of cardiac pacemaker system via vein,res47: Comorbidities,diagnostic
Read,G57y300,Sick sinus syndrome,res47: Comorbidities,diagnostic
Read,7L1H.11,Cardioversion and stimulation,res47: Comorbidities,diagnostic
Read,3273.00,ECG: atrial flutter,res47: Comorbidities,diagnostic
Read,14S4.00,H/O: heart valve recipient,res47: Comorbidities,diagnostic
Read,14AD.00,H/O ventricular fibrillation,res47: Comorbidities,diagnostic
Read,G573z00,Atrial fibrillation and flutter NOS,res47: Comorbidities,diagnostic
Read,329..00,ECG: heart block,res47: Comorbidities,diagnostic
Read,662J000,Digoxin monitoring,res47: Comorbidities,diagnostic
Read,14AQ.00,History of supraventricular tachycardia,res47: Comorbidities,diagnostic
Read,F2510,,res47: Comorbidities,diagnostic
Read,7936.11,Introduction of intravenous cardiac pacemaker system,res47: Comorbidities,diagnostic
Read,G57y.00,Other cardiac dysrhythmias,res47: Comorbidities,diagnostic
Read,G571.11,Ventricular tachycardia,res47: Comorbidities,diagnostic
Read,662D.11,Digitalised,res47: Comorbidities,diagnostic
Read,7936A00,Implant intravenous pacemaker for atrial fibrillation,res47: Comorbidities,diagnostic
