Coding System (Read),Codes,Description,Entity type,Category
Read,48182,Lamotrigine,res47: Drugs,drug
Read,28824,Lidocaine hydrochloride,res47: Drugs,drug
Read,14855,Lidocaine,res47: Drugs,drug
Read,4502,Sodium valproate,res47: Drugs,drug
Read,2357,Chlorhexidine gluconate/Lidocaine hydrochloride,res47: Drugs,drug
Read,1291,Quinidine Bisulphate,res47: Drugs,drug
Read,584,Sodium valproate,res47: Drugs,drug
Read,432,Carbamazepine,res47: Drugs,drug
Read,188,Amiodarone hydrochloride,res47: Drugs,drug
Read,107,Phenytoin Sodium,res47: Drugs,drug
Read,118,Lidocaine Hydrochloride,res47: Drugs,drug
Read,263,Lidocaine/Prilocaine,res47: Drugs,drug
Read,502,Lidocaine hydrochloride,res47: Drugs,drug
Read,1158,Carbamazepine,res47: Drugs,drug
Read,652,Carbamazepine,res47: Drugs,drug
Read,596,Carbamazepine,res47: Drugs,drug
Read,608,Mexiletine hydrochloride,res47: Drugs,drug
Read,1119,Flecainide acetate,res47: Drugs,drug
Read,795,Topiramate,res47: Drugs,drug
Read,763,Amiodarone hydrochloride,res47: Drugs,drug
Read,1069,Adrenaline acid tartrate/Lidocaine hydrochloride,res47: Drugs,drug
Read,805,Flecainide acetate,res47: Drugs,drug
Read,979,Lidocaine hydrochloride/Adrenaline acid tartrate,res47: Drugs,drug
Read,2305,Lidocaine Hydrochloride,res47: Drugs,drug
Read,2079,Lamotrigine,res47: Drugs,drug
Read,1550,Sodium valproate,res47: Drugs,drug
Read,1370,Phenytoin Sodium,res47: Drugs,drug
Read,1398,Phenytoin sodium,res47: Drugs,drug
Read,2065,Lidocaine hydrochloride/Adrenaline acid tartrate,res47: Drugs,drug
Read,2062,Phenytoin sodium,res47: Drugs,drug
Read,1573,Propafenone hydrochloride,res47: Drugs,drug
Read,39615,Lacosamide,res47: Drugs,drug
Read,2128,Phenytoin Sodium,res47: Drugs,drug
Read,2085,Carbamazepine,res47: Drugs,drug
Read,2080,Lamotrigine,res47: Drugs,drug
Read,2082,Sodium valproate,res47: Drugs,drug
Read,2081,Lamotrigine,res47: Drugs,drug
Read,4495,Sodium valproate,res47: Drugs,drug
Read,2859,Lidocaine Hydrochloride,res47: Drugs,drug
Read,2716,Disopyramide phosphate,res47: Drugs,drug
Read,2388,Carbamazepine,res47: Drugs,drug
Read,2520,Lidocaine Hydrochloride,res47: Drugs,drug
Read,2824,Carbamazepine,res47: Drugs,drug
Read,2782,Phenytoin sodium,res47: Drugs,drug
Read,2717,Disopyramide,res47: Drugs,drug
Read,2823,Carbamazepine,res47: Drugs,drug
Read,2822,Sodium valproate,res47: Drugs,drug
Read,4490,Phenytoin,res47: Drugs,drug
Read,3731,Sodium valproate,res47: Drugs,drug
Read,3134,Lidocaine Hydrochloride,res47: Drugs,drug
Read,3058,Quinidine bisulphate,res47: Drugs,drug
Read,3030,Lidocaine hydrochloride,res47: Drugs,drug
Read,3107,Sodium valproate,res47: Drugs,drug
Read,3068,Phenytoin Sodium,res47: Drugs,drug
Read,3667,Lidocaine Hydrochloride,res47: Drugs,drug
Read,3569,Carbamazepine,res47: Drugs,drug
Read,3350,Sodium valproate,res47: Drugs,drug
Read,3576,Chlorhexidine gluconate/Lidocaine hydrochloride,res47: Drugs,drug
Read,4366,Lidocaine hydrochloride,res47: Drugs,drug
Read,3975,Riluzole,res47: Drugs,drug
Read,3734,Sodium valproate,res47: Drugs,drug
Read,3733,Sodium valproate,res47: Drugs,drug
Read,3886,Lamotrigine,res47: Drugs,drug
Read,3845,Sodium valproate,res47: Drugs,drug
Read,3881,Phenytoin sodium,res47: Drugs,drug
Read,4195,Sodium valproate,res47: Drugs,drug
Read,4026,Disopyramide phosphate,res47: Drugs,drug
Read,3987,Chlorhexidine gluconate/Lidocaine hydrochloride,res47: Drugs,drug
Read,4175,Phenytoin,res47: Drugs,drug
Read,4066,Carbamazepine,res47: Drugs,drug
Read,14510,Lidocaine Hydrochloride,res47: Drugs,drug
Read,9454,Adrenaline acid tartrate/Lidocaine hydrochloride,res47: Drugs,drug
Read,6552,Oxcarbazepine,res47: Drugs,drug
Read,5722,Lamotrigine,res47: Drugs,drug
Read,5076,Lamotrigine,res47: Drugs,drug
Read,4893,Lidocaine hydrochloride,res47: Drugs,drug
Read,4586,Lamotrigine,res47: Drugs,drug
Read,4786,Lidocaine/Prilocaine,res47: Drugs,drug
Read,4982,Carbamazepine,res47: Drugs,drug
Read,4913,Carbamazepine,res47: Drugs,drug
Read,5658,Lamotrigine,res47: Drugs,drug
Read,5441,Propafenone hydrochloride,res47: Drugs,drug
Read,5225,Lidocaine,res47: Drugs,drug
Read,5617,Valproic acid,res47: Drugs,drug
Read,5449,Oxcarbazepine,res47: Drugs,drug
Read,5587,Phenytoin sodium,res47: Drugs,drug
Read,6504,Phenytoin sodium,res47: Drugs,drug
Read,5848,Valproate semisodium,res47: Drugs,drug
Read,5796,Lidocaine Hydrochloride,res47: Drugs,drug
Read,5831,Lidocaine hydrochloride,res47: Drugs,drug
Read,5830,Topiramate,res47: Drugs,drug
Read,6436,Oxcarbazepine,res47: Drugs,drug
Read,5977,Carbamazepine,res47: Drugs,drug
Read,5874,Topiramate,res47: Drugs,drug
Read,5907,Lamotrigine,res47: Drugs,drug
Read,6409,Lamotrigine,res47: Drugs,drug
Read,5997,Valproic acid,res47: Drugs,drug
Read,6305,Valproate semisodium,res47: Drugs,drug
Read,9281,Sodium Valproate,res47: Drugs,drug
