Coding System (Read),Codes,Description,Entity type,Category
Read,137X.00,Cigarette consumption,res47: Smoking status,test
Read,137M.00,Rolls own cigarettes,res47: Smoking status,test
Read,137W.00,Chews tobacco,res47: Smoking status,test
Read,137H.00,Pipe smoker,res47: Smoking status,test
Read,1371.11,Non-smoker,res47: Smoking status,test
Read,137..11,Smoker - amount smoked,res47: Smoking status,test
Read,137D.00,Admitted tobacco cons untrue ?,res47: Smoking status,test
Read,137G.00,Trying to give up smoking,res47: Smoking status,test
Read,1372.11,Occasional smoker,res47: Smoking status,test
Read,137C.00,Keeps trying to stop smoking,res47: Smoking status,test
Read,137B.00,Ex-very heavy smoker (40+/day),res47: Smoking status,test
Read,137A.00,Ex-heavy smoker (20-39/day),res47: Smoking status,test
Read,137E.00,Tobacco consumption unknown,res47: Smoking status,test
Read,137F.00,Ex-smoker - amount unknown,res47: Smoking status,test
Read,137I000,Exposed to tobacco smoke at home,res47: Smoking status,test
Read,137L.00,Current non-smoker,res47: Smoking status,test
Read,137I.00,Passive smoker,res47: Smoking status,test
Read,137K000,Recently stopped smoking,res47: Smoking status,test
Read,137K.00,Stopped smoking,res47: Smoking status,test
Read,137J.00,Cigar smoker,res47: Smoking status,test
Read,137R.00,Current smoker,res47: Smoking status,test
Read,137P.00,Cigarette smoker,res47: Smoking status,test
Read,137O.00,Ex cigar smoker,res47: Smoking status,test
Read,137N.00,Ex pipe smoker,res47: Smoking status,test
Read,137V.00,Smoking reduced,res47: Smoking status,test
Read,137Q.11,Smoking restarted,res47: Smoking status,test
Read,137Q.00,Smoking started,res47: Smoking status,test
Read,137P.11,Smoker,res47: Smoking status,test
Read,137U.00,Not a passive smoker,res47: Smoking status,test
Read,137T.00,Date ceased smoking,res47: Smoking status,test
Read,137S.00,Ex smoker,res47: Smoking status,test
Read,13p1.00,Smoking status at 4 weeks,res47: Smoking status,test
Read,13p0.00,Negotiated date for cessation of smoking,res47: Smoking status,test
Read,137Y.00,Cigar consumption,res47: Smoking status,test
Read,13p..00,Smoking cessation milestones,res47: Smoking status,test
Read,137c.00,Thinking about stopping smoking,res47: Smoking status,test
Read,137b.00,Ready to stop smoking,res47: Smoking status,test
Read,137a.00,Pipe tobacco consumption,res47: Smoking status,test
Read,137Z.00,Tobacco consumption NOS,res47: Smoking status,test
Read,13WF.11,Smoker in the family,res47: Smoking status,test
Read,137d.00,Not interested in stopping smoking,res47: Smoking status,test
Read,137h.00,Minutes from waking to first tobacco consumption,res47: Smoking status,test
Read,137g.00,Cigarette pack-years,res47: Smoking status,test
Read,137e.00,Smoking restarted,res47: Smoking status,test
Read,137f.00,Reason for restarting smoking,res47: Smoking status,test
Read,137i.00,Ex-tobacco chewer,res47: Smoking status,test
Read,137o.00,Waterpipe tobacco consumption,res47: Smoking status,test
Read,137n.00,Total time smoked,res47: Smoking status,test
Read,137j.00,Ex-cigarette smoker,res47: Smoking status,test
Read,137m.00,Failed attempt to stop smoking,res47: Smoking status,test
Read,137k.00,Refusal to give smoking status,res47: Smoking status,test
Read,137l.00,Ex roll-up cigarette smoker,res47: Smoking status,test
Read,13p2.00,Smoking status between 4 and 52 weeks,res47: Smoking status,test
Read,13p3.00,Smoking status at 52 weeks,res47: Smoking status,test
Read,13p4.00,Smoking free weeks,res47: Smoking status,test
Read,9ko..00,Current smoker annual review - enhanced services admin,res47: Smoking status,test
Read,13p7.00,Smoking status at 12 weeks,res47: Smoking status,test
Read,13p5.00,Smoking cessation programme start date,res47: Smoking status,test
Read,9ko..11,Current smoker annual review,res47: Smoking status,test
