Coding System (Read),Codes,Description,Entity type,Category
Read,1T03.00,H/O infrequent heroin misuse,res55: substance_misuse,diagnostic
Read,1T10.00,H/O daily methadone misuse,res55: substance_misuse,diagnostic
Read,E24..11,Drug addiction,res55: substance_misuse,diagnostic
Read,1T0..00,H/O heroin misuse,res55: substance_misuse,diagnostic
Read,1T01.00,H/O weekly heroin misuse,res55: substance_misuse,diagnostic
Read,13cC.00,Continuous use of drugs,res55: substance_misuse,diagnostic
Read,146F.00,H/O: drug abuse,res55: substance_misuse,diagnostic
Read,13cM.00,Substance misuse,res55: substance_misuse,diagnostic
Read,13cH.00,Persistent substance misuse,res55: substance_misuse,diagnostic
Read,13cE.00,Prolonged high dose use of cannabis,res55: substance_misuse,diagnostic
Read,13c9.00,Subcutaneous drug user,res55: substance_misuse,diagnostic
Read,13c7.00,Current drug user,res55: substance_misuse,diagnostic
Read,13c4.00,Intranasal drug user,res55: substance_misuse,diagnostic
Read,13c..00,Drug user,res55: substance_misuse,diagnostic
Read,13c6.00,Substance misuse decreased,res55: substance_misuse,diagnostic
Read,13c3.00,Intramuscular drug user,res55: substance_misuse,diagnostic
Read,13c8.00,Reduced drugs misuse,res55: substance_misuse,diagnostic
Read,1T...00,History of substance misuse,res55: substance_misuse,diagnostic
Read,1T1..00,H/O methadone misuse,res55: substance_misuse,diagnostic
Read,1T02.00,Previous history of heroin misuse,res55: substance_misuse,diagnostic
Read,13cA.00,Smokes drugs,res55: substance_misuse,diagnostic
Read,13cB.00,Misuses drugs orally,res55: substance_misuse,diagnostic
Read,146C.00,Failed heroin detoxification,res55: substance_misuse,diagnostic
Read,13cJ.00,Previously injecting drug user,res55: substance_misuse,diagnostic
Read,13cD.00,Episodic use of drugs,res55: substance_misuse,diagnostic
Read,13cF.00,Preoccupied with substance misuse,res55: substance_misuse,diagnostic
Read,1T00.00,H/O daily heroin misuse,res55: substance_misuse,diagnostic
Read,1T5..00,H/O cocaine misuse,res55: substance_misuse,diagnostic
Read,9s...00,Drug misuse clinic administration,res55: substance_misuse,diagnostic
Read,1T60.00,H/O daily crack cocaine misuse,res55: substance_misuse,diagnostic
Read,9k51.11,Shared care drug misuse treatment,res55: substance_misuse,diagnostic
Read,1T53.00,Previous history of cocaine misuse,res55: substance_misuse,diagnostic
Read,1T52.00,H/O infrequent cocaine misuse,res55: substance_misuse,diagnostic
Read,1T22.00,H/O infrequent ecstasy misuse,res55: substance_misuse,diagnostic
Read,1T21.00,H/O weekly ecstasy misuse,res55: substance_misuse,diagnostic
Read,1T12.00,H/O infrequent methadone misuse,res55: substance_misuse,diagnostic
Read,1T2..00,H/O ecstasy misuse,res55: substance_misuse,diagnostic
Read,1T51.00,H/O weekly cocaine misuse,res55: substance_misuse,diagnostic
Read,1T3..00,H/O benzodiazepine misuse,res55: substance_misuse,diagnostic
Read,1T31.00,H/O weekly benzodiazepine misuse,res55: substance_misuse,diagnostic
Read,1T50.00,H/O daily cocaine misuse,res55: substance_misuse,diagnostic
Read,1T40.00,H/O daily amphetamine misuse,res55: substance_misuse,diagnostic
Read,9HC3.00,Substance misuse clinical management plan reviewed,res55: substance_misuse,diagnostic
Read,1T81.00,H/O weekly cannabis misuse,res55: substance_misuse,diagnostic
Read,1T61.00,H/O weekly crack cocaine misuse,res55: substance_misuse,diagnostic
Read,1T62.00,H/O infrequent crack cocaine misuse,res55: substance_misuse,diagnostic
Read,1T7..00,H/O hallucinogen misuse,res55: substance_misuse,diagnostic
Read,1TC0.00,H/O daily anti-depressant misuse,res55: substance_misuse,diagnostic
Read,1T90.00,H/O daily solvent misuse,res55: substance_misuse,diagnostic
Read,1TA..00,H/O barbiturate misuse,res55: substance_misuse,diagnostic
Read,1V6..00,Drug-related offending behaviour,res55: substance_misuse,diagnostic
Read,1TD1.00,H/O weekly opiate misuse,res55: substance_misuse,diagnostic
Read,1V00.00,Occasional drug user,res55: substance_misuse,diagnostic
Read,1V0..00,Misuses drugs,res55: substance_misuse,diagnostic
Read,1V38.00,Sharing of drug injecting equipment,res55: substance_misuse,diagnostic
Read,1V08.00,Smokes drugs in cigarette form,res55: substance_misuse,diagnostic
Read,1V0C.00,Drug addict,res55: substance_misuse,diagnostic
Read,1V0E.00,Health problem secondary to drug misuse,res55: substance_misuse,diagnostic
Read,9HC2.00,Substance misuse clinical management plan agreed,res55: substance_misuse,diagnostic
Read,8B23.11,Drug addictn therap-methadone,res55: substance_misuse,diagnostic
Read,8B23.00,Drug addiction therapy,res55: substance_misuse,diagnostic
Read,8BAX.00,Drug dependence home detoxification,res55: substance_misuse,diagnostic
Read,8B2R.00,Drug addiction detoxification therapy - buprenorphine,res55: substance_misuse,diagnostic
Read,9G2..00,Drug addiction notification,res55: substance_misuse,diagnostic
Read,8Hh1.00,Self referral to substance misuse service,res55: substance_misuse,diagnostic
Read,9G24.00,Drug addict-notify local SMR22,res55: substance_misuse,diagnostic
Read,9G21.00,Drug addict notific to CMO,res55: substance_misuse,diagnostic
Read,9G23.00,Drug addict re-notif to CMO,res55: substance_misuse,diagnostic
Read,9G22.00,Drug addict re-notific due,res55: substance_misuse,diagnostic
Read,9k51.00,Shared care drug misuse treatment - enhanced services admin,res55: substance_misuse,diagnostic
Read,9N1yJ00,Seen in drug misuse clinic,res55: substance_misuse,diagnostic
Read,9K4..00,SMR25a drug misuse initial assessment form,res55: substance_misuse,diagnostic
Read,9k5..00,Drug misuse - enhanced services administration,res55: substance_misuse,diagnostic
Read,9k52.00,Drug misuse treatment primary care - enhanced services admin,res55: substance_misuse,diagnostic
Read,13c5.00,Substance misuse increased,res55: substance_misuse,diagnostic
Read,13c0.00,Injecting drug user,res55: substance_misuse,diagnostic
Read,13c1.00,Intravenous drug user,res55: substance_misuse,diagnostic
Read,1T11.00,H/O weekly methadone misuse,res55: substance_misuse,diagnostic
Read,1T13.00,Previous history of methadone misuse,res55: substance_misuse,diagnostic
Read,1T20.00,H/O daily ecstasy misuse,res55: substance_misuse,diagnostic
Read,1T23.00,Previous history of ecstasy misuse,res55: substance_misuse,diagnostic
Read,1T30.00,H/O daily benzodiazepine misuse,res55: substance_misuse,diagnostic
Read,1T32.00,H/O infrequent benzodiazepine misuse,res55: substance_misuse,diagnostic
Read,1T33.00,Previous history of benzodiazepine misuse,res55: substance_misuse,diagnostic
Read,1T4..00,H/O amphetamine misuse,res55: substance_misuse,diagnostic
Read,1T41.00,H/O weekly amphetamine misuse,res55: substance_misuse,diagnostic
Read,1T42.00,H/O infrequent amphetamine misuse,res55: substance_misuse,diagnostic
Read,1T43.00,Previous history of amphetamine misuse,res55: substance_misuse,diagnostic
Read,1T6..00,H/O crack cocaine misuse,res55: substance_misuse,diagnostic
Read,1T63.00,Previous history of crack cocaine misuse,res55: substance_misuse,diagnostic
Read,1T73.00,Previous history of hallucinogen misuse,res55: substance_misuse,diagnostic
Read,1T8..00,H/O cannabis misuse,res55: substance_misuse,diagnostic
Read,1T80.00,H/O daily cannabis misuse,res55: substance_misuse,diagnostic
Read,1T82.00,H/O infrequent cannabis misuse,res55: substance_misuse,diagnostic
Read,1T83.00,Previous history of cannabis misuse,res55: substance_misuse,diagnostic
Read,1T9..00,H/O solvent misuse,res55: substance_misuse,diagnostic
Read,1T91.00,H/O weekly solvent misuse,res55: substance_misuse,diagnostic
Read,1T92.00,H/O infrequent solvent misuse,res55: substance_misuse,diagnostic
Read,1T93.00,Previous history of solvent misuse,res55: substance_misuse,diagnostic
Read,1TA3.00,Previous history of barbiturate misuse,res55: substance_misuse,diagnostic
