Coding System (Read),Codes,Description,Entity type,Category
Read,3775,Childhood hyperkinetic syndrome,res28: ADHD medcodes,diagnostic
Read,9972,Overactive child syndrome,res28: ADHD medcodes,diagnostic
Read,9715,Attention deficit with hyperactivity,res28: ADHD medcodes,diagnostic
Read,6512,[X]Disturbance of activity and attention,res28: ADHD medcodes,diagnostic
Read,34199,Attention deficit without hyperactivity,res28: ADHD medcodes,diagnostic
Read,5565,Child attention deficit disorder,res28: ADHD medcodes,diagnostic
Read,41769,Hyperkinetic syndrome NOS,res28: ADHD medcodes,diagnostic
Read,1458,[X]Hyperkinetic disorders,res28: ADHD medcodes,diagnostic
Read,20467,Child attention deficit disorder NOS,res28: ADHD medcodes,diagnostic
Read,58069,Hyperkinesis with developmental delay,res28: ADHD medcodes,diagnostic
Read,25469,Other hyperkinetic manifestation,res28: ADHD medcodes,diagnostic
Read,45263,Hyperkinetic conduct disorder,res28: ADHD medcodes,diagnostic
Read,33505,[X]Hyperkinetic conduct disorder,res28: ADHD medcodes,diagnostic
Read,26285,[X]Attention deficit disorder,res28: ADHD medcodes,diagnostic
Read,6519,[X]Attention deficit hyperactivity disorder,res28: ADHD medcodes,diagnostic
Read,96770,[X]Hyperkinetic syndrome NOS,res28: ADHD medcodes,diagnostic
Read,45799,[X]Hyperkinetic disorder associated with conduct disorder,res28: ADHD medcodes,diagnostic
Read,55322,[X]Deficits in attention motor control and perception,res28: ADHD medcodes,diagnostic
Read,6510,[X]Other hyperkinetic disorders,res28: ADHD medcodes,diagnostic
Read,97421,[X]Hyperkinetic reaction of childhood or adolescence NOS,res28: ADHD medcodes,diagnostic
Read,50015,[X]Hyperkinetic disorder unspecified,res28: ADHD medcodes,diagnostic
Read,37894,Minimal brain dysfunction,res28: ADHD medcodes,diagnostic
Read,37994,Disorders of attention and motor control,res28: ADHD medcodes,diagnostic
Read,28543,Attention deficit disorder,res28: ADHD medcodes,diagnostic
Read,24753,[X]Attention deficit disorder,res28: ADHD medcodes,diagnostic
Read,24808,ADD - Attention deficit disorder,res28: ADHD medcodes,diagnostic
Read,61701,MBD - Minimal brain dysfunction,res28: ADHD medcodes,diagnostic
Read,10918,Hyperactive behaviour,res28: ADHD medcodes,diagnostic
Read,35161,DAMP - Deficits in attention motor control and perception,res28: ADHD medcodes,diagnostic
Read,39920,Deficits in attention motor control and perception,res28: ADHD medcodes,diagnostic
