Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,35174,valsartan with amlodipine tablets 80mg + 5mg ,res9: ACE_inhibitors,drug
CPRD_product_code,35173,valsartan with amlodipine tablets 160mg + 5mg ,res9: ACE_inhibitors,drug
CPRD_product_code,35096,EXFORGE tablets 10mg + 160mg [NOVARTIS],res9: ACE_inhibitors,drug
CPRD_product_code,47006,LOSARTAN tablets 100mg [TEVA],res9: ACE_inhibitors,drug
CPRD_product_code,520,losartan tablets 25mg ,res9: ACE_inhibitors,drug
CPRD_product_code,45600,DIOVAN tablets 160mg [NOVARTIS],res9: ACE_inhibitors,drug
CPRD_product_code,14983,OLMETEC tablets 10mg [DAIIC-SANK],res9: ACE_inhibitors,drug
CPRD_product_code,14965,COZAAR tablets 100mg [M S D],res9: ACE_inhibitors,drug
CPRD_product_code,28438,TRIAPIN MITE modified release tablet 2.5mg + 2.5mg [SANOFI/AVE],res9: ACE_inhibitors,drug
CPRD_product_code,41232,COZAAR oral suspension 2.5mg/1ml [M S D],res9: ACE_inhibitors,drug
CPRD_product_code,40571,COZAAR tablets 12.5mg [M S D],res9: ACE_inhibitors,drug
CPRD_product_code,18910,OLMETEC tablets 20mg [DAIIC-SANK],res9: ACE_inhibitors,drug
CPRD_product_code,17686,MICARDIS tablets 20mg [BOEH INGL],res9: ACE_inhibitors,drug
CPRD_product_code,44778,valsartan tablets 160mg ,res9: ACE_inhibitors,drug
CPRD_product_code,17545,MICARDIS tablets 80mg [BOEH INGL],res9: ACE_inhibitors,drug
CPRD_product_code,16285,TEVETEN tablets 400mg [ABBOTT],res9: ACE_inhibitors,drug
CPRD_product_code,16371,TEVETEN tablets 600mg [ABBOTT],res9: ACE_inhibitors,drug
CPRD_product_code,39944,losartan tablets 12.5mg ,res9: ACE_inhibitors,drug
CPRD_product_code,37573,valsartan tablets 320mg ,res9: ACE_inhibitors,drug
CPRD_product_code,20117,OLMETEC tablets 40mg [DAIIC-SANK],res9: ACE_inhibitors,drug
CPRD_product_code,36939,irbesartan suspension sugar-free 300mg/5ml ,res9: ACE_inhibitors,drug
CPRD_product_code,24359,DIOVAN tablets 40mg [NOVARTIS],res9: ACE_inhibitors,drug
CPRD_product_code,31072,AMIAS tablets 32mg [TAKEDA],res9: ACE_inhibitors,drug
CPRD_product_code,39786,olmesartan medoxomil oral suspension 10mg/5ml ,res9: ACE_inhibitors,drug
CPRD_product_code,39199,DIOVAN tablets 320mg [NOVARTIS],res9: ACE_inhibitors,drug
CPRD_product_code,38395,valsartan tablets 80mg ,res9: ACE_inhibitors,drug
CPRD_product_code,40711,losartan oral suspension 2.5mg/1ml ,res9: ACE_inhibitors,drug
CPRD_product_code,35329,amlodipine with valsartan tablets 5mg + 80mg ,res9: ACE_inhibitors,drug
CPRD_product_code,12836,eprosartan tablets 600mg ,res9: ACE_inhibitors,drug
CPRD_product_code,4645,valsartan capsules 160mg ,res9: ACE_inhibitors,drug
CPRD_product_code,35317,EXFORGE tablets 5mg + 80mg [NOVARTIS],res9: ACE_inhibitors,drug
CPRD_product_code,11348,APROVEL tablets 300mg [SANOFI/AVE],res9: ACE_inhibitors,drug
CPRD_product_code,27520,OLMETEC PLUS tablets 20mg + 25mg [DAIIC-SANK],res9: ACE_inhibitors,drug
CPRD_product_code,1780,losartan tablets 50mg ,res9: ACE_inhibitors,drug
CPRD_product_code,1293,irbesartan tablets 150mg ,res9: ACE_inhibitors,drug
CPRD_product_code,531,candesartan tablets 4mg ,res9: ACE_inhibitors,drug
CPRD_product_code,21162,felodipine with ramipril modified release tablet 2.5mg + 2.5mg ,res9: ACE_inhibitors,drug
CPRD_product_code,529,candesartan tablets 2mg ,res9: ACE_inhibitors,drug
CPRD_product_code,828,irbesartan tablets 75mg ,res9: ACE_inhibitors,drug
CPRD_product_code,575,valsartan capsules 40mg ,res9: ACE_inhibitors,drug
