Coding System (Read),Codes,Description,Entity type,Category
Read,B62y100,Malignant lymphoma NOS of lymph nodes of head; face and neck,cancer,diagnostic
Read,B241z00,Malignant neoplasm of heart NOS,cancer,diagnostic
Read,B325200,Malignant melanoma of buttock,cancer,diagnostic
Read,B311000,Malignant neoplasm of connective and soft tissue of shoulder,cancer,diagnostic
Read,B6...00,Malignant neoplasm of lymphatic and haemopoietic tissue,cancer,diagnostic
Read,B1...11,Carcinoma of digestive organs and peritoneum,cancer,diagnostic
Read,B563.00,Secondary and unspec malig neop axilla and upper limb LN,cancer,diagnostic
Read,B306500,Malignant sacral teratoma,cancer,diagnostic
Read,8BAD000,Cancer chemotherapy,cancer,diagnostic
Read,B410z00,Malignant neoplasm of endocervix NOS,cancer,diagnostic
Read,ByuG000,[X]Benign neoplasm of other and unspecified parts of mouth,cancer,diagnostic
Read,Byu2500,[X]Malignant neoplasm of mediastinum; part unspecified,cancer,diagnostic
Read,B33..12,Epithelioma,cancer,diagnostic
Read,B627500,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma,cancer,diagnostic
Read,B6z0.00,Kaposi's sarcoma of lymph nodes,cancer,diagnostic
Read,B300900,Malignant neoplasm of zygomatic bone,cancer,diagnostic
Read,B411.00,Malignant neoplasm of exocervix,cancer,diagnostic
Read,B000100,Malignant neoplasm of upper lip; lipstick area,cancer,diagnostic
Read,B300500,Malignant neoplasm of orbital bone,cancer,diagnostic
Read,B480.00,Malignant neoplasm of prepuce (foreskin),cancer,diagnostic
Read,B02z.00,Malignant neoplasm of major salivary gland NOS,cancer,diagnostic
Read,9e00.00,GP out of hours service notified of cancer care plan,cancer,diagnostic
Read,B307100,Malignant neoplasm of fibula,cancer,diagnostic
Read,B627300,Diffuse non-Hodgkin's small cell (diffuse) lymphoma,cancer,diagnostic
Read,B214.00,Malignant neoplasm; overlapping lesion of larynx,cancer,diagnostic
Read,B326000,Malignant melanoma of shoulder,cancer,diagnostic
Read,B674.00,Acute panmyelosis,cancer,diagnostic
Read,ByuG100,[X]Benign neoplasm of other parts of oropharynx,cancer,diagnostic
Read,B103.00,Malignant neoplasm of upper third of oesophagus,cancer,diagnostic
Read,B300100,Malignant neoplasm of frontal bone,cancer,diagnostic
Read,B524600,Malignant neoplasm;overlap lesion periph nerve & auton ns,cancer,diagnostic
Read,B18y300,Malignant neoplasm of omentum,cancer,diagnostic
Read,B300000,Malignant neoplasm of ethmoid bone,cancer,diagnostic
Read,B117.00,Malignant neoplasm; overlapping lesion of stomach,cancer,diagnostic
Read,B563200,Secondary and unspec malig neop infraclavicular lymph nodes,cancer,diagnostic
Read,B1z1100,Fibrosarcoma of spleen,cancer,diagnostic
Read,B571.00,Secondary malignant neoplasm of mediastinum,cancer,diagnostic
Read,B522.00,Malignant neoplasm of spinal cord,cancer,diagnostic
Read,B14z.00,Malignant neoplasm rectum;rectosigmoid junction and anus NOS,cancer,diagnostic
Read,B624.11,Leukaemic reticuloendotheliosis,cancer,diagnostic
Read,B325800,Malignant melanoma of chest wall,cancer,diagnostic
Read,B592.00,Malignant neoplasms of independent (primary) multiple sites,cancer,diagnostic
Read,B1zz.00,Malignant neoplasm of digestive tract and peritoneum NOS,cancer,diagnostic
Read,B303z00,Malignant neoplasm of rib; sternum and clavicle NOS,cancer,diagnostic
Read,B561900,Secondary and unspec malig neop pulmonary lymph nodes,cancer,diagnostic
Read,B10y.00,Malignant neoplasm of other specified part of oesophagus,cancer,diagnostic
Read,B327100,Malignant melanoma of thigh,cancer,diagnostic
Read,B550300,Malignant neoplasm of jaw NOS,cancer,diagnostic
Read,B545000,Malignant neoplasm of glomus jugulare,cancer,diagnostic
Read,B021.00,Malignant neoplasm of submandibular gland,cancer,diagnostic
