Coding System (OXMIS Read),Codes,Description,Entity type,Category
OXMIS,4139C,CARDIAC ANGINA,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4129N,ISCHAEMIC HEART DISEASE ASYMPTOMATIC,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139U,UNSTABLE ANGINA,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4149,ASYMPTOMATIC ISCHAEMIC HEART DISEASE,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139N,ANGINA,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4120A,ISCHAEMIC HEART DISEASE HYPERTENSIVE,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139AT,ANGINA ATYPICAL,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139E,ANGINA EFFORT,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139,ANGINA PECTORIS,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4129AN,ISCHAEMIC HEART DISEASE,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139CO,ANGINA CRESCENDO,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139M,SYNDROME ANGINAL,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4130E,ANGINA EFFORT WITH HYPERTENSION,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4129,ISCHAEMIC HEART DISEASE CHRONIC,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4130,ANGINA PECTORIS WITH HYPERTENSION,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4119B,ISCHAEMIC HEART DISEASE SUBACUTE,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139PA,ANGINA INVERSA,res43: chd_kontopantelis_bmjqs2012,diagnostic
OXMIS,4139AA,ANGINA ATTACK,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G30X000,Acute ST segment elevation myocardial infarction,res43: chd_kontopantelis_bmjqs2012,symptom
Read,G311300,Refractory angina,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G30B.00,Acute posterolateral myocardial infarction,res43: chd_kontopantelis_bmjqs2012,symptom
Read,G33z500,Post infarct angina,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,Gyu3200,[X]Other forms of acute ischaemic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G311.12,Impending infarction,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G34..00,Other chronic ischaemic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G33z000,Status anginosus,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G33..00,Angina pectoris,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G31y.00,Other acute and subacute ischaemic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G33z400,Ischaemic chest pain,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G330.00,Angina decubitus,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G31yz00,Other acute and subacute ischaemic heart disease NOS,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G33z100,Stenocardia,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G32..00,Old myocardial infarction,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G3y..00,Other specified ischaemic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G3...00,Ischaemic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G34y100,Chronic myocardial ischaemia,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,Gyu3300,[X]Other forms of chronic ischaemic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G311.11,Crescendo angina,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G311.00,Preinfarction syndrome,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G342.00,Atherosclerotic cardiovascular disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G34y.00,Other specified chronic ischaemic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G33zz00,Angina pectoris NOS,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,Gyu3.00,[X]Ischaemic heart diseases,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G33z200,Syncope anginosa,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G34z.00,Other chronic ischaemic heart disease NOS,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G34y000,Chronic coronary insufficiency,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G330z00,Angina decubitus NOS,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G3...11,Arteriosclerotic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G3...12,Atherosclerotic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G330000,Nocturnal angina,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G3...13,IHD - Ischaemic heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G340100,Double coronary vessel disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G3z..00,Ischaemic heart disease NOS,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G311200,Angina at rest,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G311z00,Preinfarction syndrome NOS,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G311.14,Angina at rest,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G311.13,Unstable angina,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G310.11,Dressler's syndrome,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G33z.00,Angina pectoris NOS,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G340.00,Coronary atherosclerosis,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G32..12,Personal history of myocardial infarction,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G33z700,Stable angina,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G332.00,Coronary artery spasm,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G34z000,Asymptomatic coronary heart disease,res43: chd_kontopantelis_bmjqs2012,diagnostic
Read,G30..12,Coronary thrombosis,res43: chd_kontopantelis_bmjqs2012,symptom
Read,G30y.00,Other acute myocardial infarction,res43: chd_kontopantelis_bmjqs2012,symptom
Read,G30A.00,Mural thrombosis,res43: chd_kontopantelis_bmjqs2012,symptom
Read,662N.00,CHD monitoring,res43: chd_kontopantelis_bmjqs2012,test
Read,8B3k.00,Coronary heart disease medication review,res43: chd_kontopantelis_bmjqs2012,drug
Read,G365.00,Rupture papillary muscle/curr comp fol acute myocard infarct,res43: chd_kontopantelis_bmjqs2012,symptom
Read,662K300,Angina control - worsening,res43: chd_kontopantelis_bmjqs2012,test
