Coding System (OXMIS Read),Codes,Description,Entity type,Category
OXMIS,250 NT,UNSTABLE DIABETIC,res21: Diabetes,diagnostic
OXMIS,250 PG,DIABETES PREGNANCY,res21: Diabetes,diagnostic
OXMIS,250 AN,DIABETES,res21: Diabetes,diagnostic
OXMIS,250 AD,DIABETES MELLITUS INSULIN DEPENDANT,res21: Diabetes,diagnostic
OXMIS,250 AA,NIDDM (NON-INSULIN DEPENDENT DIABETES),res21: Diabetes,diagnostic
OXMIS,250 AK,MATURITY ONSET DIABETES MELLITUS INSULIN,res21: Diabetes,diagnostic
OXMIS,250 AL,MATURITY ONSET DIABETES(MELLITUS) NON-IN,res21: Diabetes,diagnostic
OXMIS,250 A,SUGAR DIABETES,res21: Diabetes,diagnostic
OXMIS,250 AM,MATURITY ONSET DIABETES (MELLITUS),res21: Diabetes,diagnostic
Read,C10z000,"Diabetes mellitus, juvenile type, + unspecified complication",res21: Diabetes,diagnostic
Read,C10FP00,Type 2 diabetes mellitus with ketoacidotic coma,res21: Diabetes,diagnostic
Read,C10G.00,Secondary pancreatic diabetes mellitus,res21: Diabetes,diagnostic
Read,C109100,Non-insulin-dependent diabetes mellitus with ophthalm comps,res21: Diabetes,diagnostic
Read,C10E.12,Insulin dependent diabetes mellitus,res21: Diabetes,diagnostic
Read,C10FB11,Type II diabetes mellitus with polyneuropathy,res21: Diabetes,diagnostic
Read,C100z00,Diabetes mellitus NOS with no mention of complication,res21: Diabetes,diagnostic
Read,L180500,"Pre-existing diabetes mellitus, insulin-dependent",res21: Diabetes,diagnostic
Read,L180600,"Pre-existing diabetes mellitus, non-insulin-dependent",res21: Diabetes,diagnostic
Read,C109A11,Type II diabetes mellitus with mononeuropathy,res21: Diabetes,diagnostic
Read,C108511,Type I diabetes mellitus with ulcer,res21: Diabetes,diagnostic
Read,C109000,Non-insulin-dependent diabetes mellitus with renal comps,res21: Diabetes,diagnostic
Read,C109C00,Non-insulin dependent diabetes mellitus with nephropathy,res21: Diabetes,diagnostic
Read,C108200,Insulin-dependent diabetes mellitus with neurological comps,res21: Diabetes,diagnostic
Read,Cyu2.00,[X]Diabetes mellitus,res21: Diabetes,diagnostic
Read,C108300,Insulin dependent diabetes mellitus with multiple complicatn,res21: Diabetes,diagnostic
Read,C10F911,Type II diabetes mellitus without complication,res21: Diabetes,diagnostic
Read,C10EQ00,Type 1 diabetes mellitus with gastroparesis,res21: Diabetes,diagnostic
Read,C101000,"Diabetes mellitus, juvenile type, with ketoacidosis",res21: Diabetes,diagnostic
Read,C109411,Type II diabetes mellitus with ulcer,res21: Diabetes,diagnostic
Read,C10EJ00,Type 1 diabetes mellitus with neuropathic arthropathy,res21: Diabetes,diagnostic
Read,C10E412,Unstable insulin dependent diabetes mellitus,res21: Diabetes,diagnostic
Read,C109F00,Non-insulin-dependent d m with peripheral angiopath,res21: Diabetes,diagnostic
Read,C109F11,Type II diabetes mellitus with peripheral angiopathy,res21: Diabetes,diagnostic
Read,C101100,"Diabetes mellitus, adult onset, with ketoacidosis",res21: Diabetes,diagnostic
Read,L180X00,"Pre-existing diabetes mellitus, unspecified",res21: Diabetes,diagnostic
Read,C103y00,Other specified diabetes mellitus with coma,res21: Diabetes,diagnostic
Read,C108A00,Insulin-dependent diabetes without complication,res21: Diabetes,diagnostic
Read,C109D11,Type II diabetes mellitus with hypoglycaemic coma,res21: Diabetes,diagnostic
Read,C109200,Non-insulin-dependent diabetes mellitus with neuro comps,res21: Diabetes,diagnostic
Read,C10FG00,Type 2 diabetes mellitus with arthropathy,res21: Diabetes,diagnostic
Read,C107400,NIDDM with peripheral circulatory disorder,res21: Diabetes,diagnostic
Read,C10F011,Type II diabetes mellitus with renal complications,res21: Diabetes,diagnostic
Read,C109611,Type II diabetes mellitus with retinopathy,res21: Diabetes,diagnostic
Read,C108D00,Insulin dependent diabetes mellitus with nephropathy,res21: Diabetes,diagnostic
Read,C109D12,Type 2 diabetes mellitus with hypoglycaemic coma,res21: Diabetes,diagnostic
Read,C10EB00,Type 1 diabetes mellitus with mononeuropathy,res21: Diabetes,diagnostic
Read,C108411,Unstable type I diabetes mellitus,res21: Diabetes,diagnostic
Read,C10z100,"Diabetes mellitus, adult onset, + unspecified complication",res21: Diabetes,diagnostic
Read,C10D.11,Maturity onset diabetes in youth type 2,res21: Diabetes,diagnostic
Read,C109111,Type II diabetes mellitus with ophthalmic complications,res21: Diabetes,diagnostic
Read,C109F12,Type 2 diabetes mellitus with peripheral angiopathy,res21: Diabetes,diagnostic
Read,C10FL11,Type II diabetes mellitus with persistent proteinuria,res21: Diabetes,diagnostic
Read,C108600,Insulin dependent diabetes mellitus with gangrene,res21: Diabetes,diagnostic
Read,C10EM11,Type I diabetes mellitus with ketoacidosis,res21: Diabetes,diagnostic
Read,C10FR00,Type 2 diabetes mellitus with gastroparesis,res21: Diabetes,diagnostic
Read,C108011,Type I diabetes mellitus with renal complications,res21: Diabetes,diagnostic
Read,C109300,Non-insulin-dependent diabetes mellitus with multiple comps,res21: Diabetes,diagnostic
Read,C109511,Type II diabetes mellitus with gangrene,res21: Diabetes,diagnostic
Read,C106y00,Other specified diabetes mellitus with neurological comps,res21: Diabetes,diagnostic
Read,C108212,Type 1 diabetes mellitus with neurological complications,res21: Diabetes,diagnostic
Read,C10y100,"Diabetes mellitus, adult, + other specified manifestation",res21: Diabetes,diagnostic
Read,C10EA11,Type I diabetes mellitus without complication,res21: Diabetes,diagnostic
Read,C108H11,Type I diabetes mellitus with arthropathy,res21: Diabetes,diagnostic
Read,C10FA00,Type 2 diabetes mellitus with mononeuropathy,res21: Diabetes,diagnostic
Read,C107100,"Diabetes mellitus, adult, + peripheral circulatory disorder",res21: Diabetes,diagnostic
Read,C108911,Type I diabetes mellitus maturity onset,res21: Diabetes,diagnostic
Read,C107z00,Diabetes mellitus NOS with peripheral circulatory disorder,res21: Diabetes,diagnostic
Read,C10zz00,Diabetes mellitus NOS with unspecified complication,res21: Diabetes,diagnostic
Read,C10zy00,Other specified diabetes mellitus with unspecified comps,res21: Diabetes,diagnostic
Read,C109211,Type II diabetes mellitus with neurological complications,res21: Diabetes,diagnostic
Read,C10FJ11,Insulin treated Type II diabetes mellitus,res21: Diabetes,diagnostic
Read,C109C11,Type II diabetes mellitus with nephropathy,res21: Diabetes,diagnostic
Read,C108G00,Insulin dependent diab mell with peripheral angiopathy,res21: Diabetes,diagnostic
Read,C108z00,Unspecified diabetes mellitus with multiple complications,res21: Diabetes,diagnostic
Read,C106000,"Diabetes mellitus, juvenile, + neurological manifestation",res21: Diabetes,diagnostic
Read,C10F300,Type 2 diabetes mellitus with multiple complications,res21: Diabetes,diagnostic
Read,C103z00,Diabetes mellitus NOS with ketoacidotic coma,res21: Diabetes,diagnostic
Read,C109H12,Type 2 diabetes mellitus with neuropathic arthropathy,res21: Diabetes,diagnostic
Read,C108D11,Type I diabetes mellitus with nephropathy,res21: Diabetes,diagnostic
Read,C108H00,Insulin dependent diabetes mellitus with arthropathy,res21: Diabetes,diagnostic
Read,C10EN11,Type I diabetes mellitus with ketoacidotic coma,res21: Diabetes,diagnostic
Read,C109412,Type 2 diabetes mellitus with ulcer,res21: Diabetes,diagnostic
Read,C103100,"Diabetes mellitus, adult onset, with ketoacidotic coma",res21: Diabetes,diagnostic
Read,C10E812,Insulin dependent diabetes mellitus - poor control,res21: Diabetes,diagnostic
Read,C102z00,Diabetes mellitus NOS with hyperosmolar coma,res21: Diabetes,diagnostic
