Coding System (OXMIS Read),Codes,Description,Entity type,Category
OXMIS,342 E,PARKINSONIAN EPILEPSY,Epilepsy_clinicals,diagnostic
Read,F250y00,Other specified generalised nonconvulsive epilepsy,Epilepsy_clinicals,diagnostic
Read,2126000,Epilepsy resolved,Epilepsy_clinicals,diagnostic
Read,212J.00,Epilepsy resolved,Epilepsy_clinicals,diagnostic
Read,1B1W.00,Transient epileptic amnesia,Epilepsy_clinicals,diagnostic
Read,667F.00,Seizure free >12 months,Epilepsy_clinicals,diagnostic
Read,3451,GRAND MAL EPILEPSY,Epilepsy_clinicals,diagnostic
Read,2932,PSYCHOSIS EPILEPTIC,Epilepsy_clinicals,diagnostic
Read,3450,EPILEPSY NONCONVULSIVE GENERALIZED,Epilepsy_clinicals,diagnostic
Read,3032EP,EPILEPSY ALCOHOLIC,Epilepsy_clinicals,diagnostic
Read,3459CL,EPILEPSY CLIMACTERIC,Epilepsy_clinicals,diagnostic
Read,3453T,TEMPORAL LOBE EPILEPSY,Epilepsy_clinicals,diagnostic
Read,3459D,ISCHAEMIC EPILEPSY,Epilepsy_clinicals,diagnostic
Read,3453P,EPILEPSY PERIPHERAL,Epilepsy_clinicals,diagnostic
Read,3453AT,EPILEPSY AUTOMATISM,Epilepsy_clinicals,diagnostic
Read,3459A,POST-TRAUMATIC EPILEPSY,Epilepsy_clinicals,diagnostic
Read,3459C,EPILEPTIC COMA,Epilepsy_clinicals,diagnostic
Read,3459BA,IDOPATHIC EPILEPSY,Epilepsy_clinicals,diagnostic
Read,3459AB,ABDOMEN CONVULSIVE EQUIVALENT (EPILEPSY),Epilepsy_clinicals,diagnostic
Read,3459M,MIGRAINE EPILEPSY,Epilepsy_clinicals,diagnostic
Read,6674.00,Epilepsy associated problems,Epilepsy_clinicals,diagnostic
Read,667E.00,Epilepsy care arrangement,Epilepsy_clinicals,diagnostic
Read,3459F,FIT EPILEPTIC,Epilepsy_clinicals,diagnostic
Read,3459N,NOCTURNAL EPILEPSY,Epilepsy_clinicals,diagnostic
