Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,46458,exenatide powder for prolonged release injection suspension 2mg,res9: gpl1,drug
CPRD_product_code,46716,TRAJENTA tablets 5mg [BOEH INGL],res9: gpl1,drug
CPRD_product_code,46665,linagliptin tablets 5mg,res9: gpl1,drug
CPRD_product_code,46469,BYDUREON powder for prolonged release injection suspension 2mg [LILLY],res9: gpl1,drug
CPRD_product_code,40693,liraglutide injection 18mg/3ml,res9: gpl1,drug
CPRD_product_code,40642,VICTOZA injection 18mg/3ml [NOVO],res9: gpl1,drug
CPRD_product_code,35150,BYETTA injection 10micrograms [LILLY],res9: gpl1,drug
CPRD_product_code,35149,exenatide injection 10micrograms,res9: gpl1,drug
CPRD_product_code,35144,BYETTA injection 5 micrograms [LILLY],res9: gpl1,drug
CPRD_product_code,35251,exenatide injection 5 micrograms,res9: gpl1,drug
