Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,18224,HUMALOG VIAL injection solution 100 units/ml [LILLY],res9: insulin,drug
CPRD_product_code,18593,HUMALOG MIX 50 CARTRIDGE injection suspension 100 units/ml [LILLY],res9: insulin,drug
CPRD_product_code,1649,HUMAN ACTRAPHANE injection 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,14944,HUMULIN S CARTRIDGE injection solution 100 units/ml [LILLY],res9: insulin,drug
CPRD_product_code,9376,insulin zinc suspension crystalline human pyr - long acting injection 100 units/ml,res9: insulin,drug
CPRD_product_code,1842,PORK VELOSULIN injection 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,1805,MIXTARD 30/70 injection 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,17809,HUMAJECT M4 pen 100 iu/ml [LILLY],res9: insulin,drug
CPRD_product_code,7772,HUMAN PROTAPHANE injection 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,1806,PENMIX 30/70 PENFILL injection 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,1840,HUMULIN S injection 100 units/ml [LILLY],res9: insulin,drug
CPRD_product_code,17336,NOVOPEN injection device 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,15961,insulin isophane human crb injection 100 iu/ml,res9: insulin,drug
CPRD_product_code,34031,MONOTARD MC injection 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,44378,insulin biphasic isophane human disposable pen injection suspension 25:75; 100 units/ml,res9: insulin,drug
CPRD_product_code,25479,insulin soluble porcine cartridge injection solution 100 units/ml,res9: insulin,drug
CPRD_product_code,21395,insulin biphasic isophane human pyr injection 40:60; 100 units/ml,res9: insulin,drug
CPRD_product_code,19877,insulin aspart disposable pen injection solution 100 units/ml,res9: insulin,drug
CPRD_product_code,18590,insulin isophane bovine vial injection suspension 100 units/ml,res9: insulin,drug
CPRD_product_code,18592,insulin soluble bovine vial injection solution 100 units/ml,res9: insulin,drug
CPRD_product_code,2456,MIXTARD 10 NOVOLET 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,18461,insulin zinc suspension mixed human prb injection 100 units/ml,res9: insulin,drug
CPRD_product_code,1886,INSULATARD ge injection 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,9341,insulin biphasic isophane human prb injection 30:70; 100 units/ml,res9: insulin,drug
CPRD_product_code,2454,MIXTARD 30 PENFILL 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,1844,ULTRATARD injection 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,1843,PORK INSULATARD VIAL injection suspension 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,2220,PENMIX 20/80 pen [NOVO],res9: insulin,drug
CPRD_product_code,2221,MIXTARD 30 NOVOLET 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,2455,MIXTARD 20 NOVOLET 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,24993,INSUMAN COMB 25 CARTRIDGE injection suspension 100 units/ml [AVENTIS],res9: insulin,drug
CPRD_product_code,25133,INSUMAN COMB 25 OPTISET injection suspension 100 units/ml [AVENTIS],res9: insulin,drug
CPRD_product_code,8895,INITARD 50/50 injection 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,7319,MIXTARD 20 PENFILL injection suspension 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,8841,HUMULIN M5 injection 100 units/ml [LILLY],res9: insulin,drug
CPRD_product_code,24846,PUR-IN NEUTRAL injection 100 units/ml [CP PHARM],res9: insulin,drug
CPRD_product_code,24593,neutral insulin bovine injection 100 iu/ml,res9: insulin,drug
CPRD_product_code,24800,HYPURIN PORCINE 30/70 MIX VIAL injection suspension 100 units/ml [WOCKHARDT],res9: insulin,drug
CPRD_product_code,8322,insulin zinc suspension mixed human pyr injection 100 units/ml,res9: insulin,drug
CPRD_product_code,2812,MIXTARD 40 NOVOLET 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,6209,NOVORAPID VIAL injection solution 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,2459,PORK MIXTARD 30 VIAL injection suspension 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,24795,insulin biphasic aspart cartridge injection suspension 30:70; 100 units/ml,res9: insulin,drug
CPRD_product_code,8203,PENMIX 50/50 PENFILL injection 100 iu/ml [NOVO],res9: insulin,drug
CPRD_product_code,7771,HUMAN PROTAPHANE PENFILL 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,33966,INSULATARD injection 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,25736,insulin biphasic isophane human cartridge injection suspension 10:90; 100 units/ml,res9: insulin,drug
CPRD_product_code,44251,insulin zinc suspension mixed porcine injection 100 units/ml,res9: insulin,drug
CPRD_product_code,25812,insulin isophane human disposable pen injection suspension 100 units/ml,res9: insulin,drug
CPRD_product_code,10245,MIXTARD 10 PENFILL injection suspension 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,25735,insulin biphasic isophane human cartridge injection suspension 20:80; 100 units/ml,res9: insulin,drug
CPRD_product_code,9565,HUMAJECT S DISPOSABLE PEN injection solution 100 units/ml [LILLY],res9: insulin,drug
CPRD_product_code,19513,HUMULIN M3 VIAL injection suspension 100 units/ml [LILLY],res9: insulin,drug
CPRD_product_code,35253,INSUMAN COMB 50 CARTRIDGE injection suspension 100 units/ml [AVENTIS],res9: insulin,drug
CPRD_product_code,18931,insulin zinc suspension crystalline human prb - intermediate acting injection 100 units/ml,res9: insulin,drug
CPRD_product_code,13416,insulin biphasic injection 100 units/ml,res9: insulin,drug
CPRD_product_code,9503,HYPURIN BOVINE PROTAMINE ZINC VIAL injection suspension 100 units/ml [WOCKHARDT],res9: insulin,drug
CPRD_product_code,6061,NOVOMIX 30 injection 30:70; 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,33232,insulin biphasic isophane human crb injection 50:50; 100 units/ml,res9: insulin,drug
CPRD_product_code,28588,HYPURIN BOVINE ISOPHANE CARTRIDGE injection suspension 100 units/ml [WOCKHARDT],res9: insulin,drug
CPRD_product_code,8118,HUMAJECT I pen 100 iu/ml [LILLY],res9: insulin,drug
CPRD_product_code,7793,HUMAJECT M3 pen 100 iu/ml [LILLY],res9: insulin,drug
CPRD_product_code,27396,insulin soluble porcine vial injection solution 100 units/ml,res9: insulin,drug
CPRD_product_code,27280,insulin biphasic isophane porcine vial injection suspension 30:70; 100 units/ml,res9: insulin,drug
CPRD_product_code,35260,LEVEMIR INNOLET injection solution 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,35468,INSUMAN BASAL VIAL injection suspension 100 units/ml [AVENTIS],res9: insulin,drug
CPRD_product_code,34097,HUMAN INITARD 50/50 injection 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,9521,PORK ACTRAPID VIAL injection solution 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,26403,PUR-IN MIX 25/75 injection [CP PHARM],res9: insulin,drug
CPRD_product_code,26098,HYPURIN PORCINE NEUTRAL VIAL injection solution 100 units/ml [WOCKHARDT],res9: insulin,drug
CPRD_product_code,26498,insulin zinc suspension mixed bovine and porcine injection 100 units/ml,res9: insulin,drug
CPRD_product_code,26060,insulin lispro vial injection solution 100 units/ml,res9: insulin,drug
CPRD_product_code,27177,insulin biphasic lispro human prb injection 50:50; 100 units/ml,res9: insulin,drug
CPRD_product_code,26621,insulin soluble human crb injection 100 iu/ml,res9: insulin,drug
CPRD_product_code,10244,MIXTARD 40 PENFILL injection suspension 100 units/ml [NOVO],res9: insulin,drug
CPRD_product_code,10184,insulin detemir injection solution 100 iu/ml,res9: insulin,drug
CPRD_product_code,9737,INSULATARD INNOLET injection 100 iu/ml [NOVO],res9: insulin,drug
