Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,10937,lithium citrate oral liquid 509mg/5ml,Lithium_drugcodes,drug
CPRD_product_code,3359,PRIADEL tablets 200mg [SANOFI/AVE],Lithium_drugcodes,drug
CPRD_product_code,3352,LISKONUM tablets 450mg [GLAXSK PHA],Lithium_drugcodes,drug
CPRD_product_code,1447,lithium carbonate modified release tablet 400mg,Lithium_drugcodes,drug
CPRD_product_code,872,PRIADEL tablets 400mg [SANOFI/AVE],Lithium_drugcodes,drug
CPRD_product_code,760,lithium carbonate modified release tablet 200mg,Lithium_drugcodes,drug
CPRD_product_code,10292,LITHIUM 250 MG CAP,Lithium_drugcodes,drug
CPRD_product_code,8827,lithium carbonate modified release tablet 300mg,Lithium_drugcodes,drug
CPRD_product_code,10809,PRIADEL liquid 520mg/5ml [SANOFI/AVE],Lithium_drugcodes,drug
CPRD_product_code,8041,lithium carbonate tablets 250mg,Lithium_drugcodes,drug
CPRD_product_code,13601,lithium citrate modified release tablet 564mg,Lithium_drugcodes,drug
CPRD_product_code,11491,lithium citrate sugar free liquid 520mg/5ml,Lithium_drugcodes,drug
CPRD_product_code,12648,lithium citrate oral liquid 1.018g/5ml,Lithium_drugcodes,drug
CPRD_product_code,12403,CAMCOLIT 400 tablets [NORGINE],Lithium_drugcodes,drug
CPRD_product_code,12402,CAMCOLIT 250 tablets [NORGINE],Lithium_drugcodes,drug
CPRD_product_code,15388,PHASAL tablets 300mg [LAGAP],Lithium_drugcodes,drug
CPRD_product_code,25345,LI-LIQUID solution 1.018g/5ml [ROSEMONT],Lithium_drugcodes,drug
CPRD_product_code,14954,lithium carbonate modified release tablet 450mg,Lithium_drugcodes,drug
CPRD_product_code,13654,LITAREX CR tablets 564mg [ACTAVIS],Lithium_drugcodes,drug
CPRD_product_code,15660,LITHIUM 10.8 MMOLS/5MLS LIQ,Lithium_drugcodes,drug
CPRD_product_code,25344,LITHIUM CARBONATE modified release tablet 400mg [APS],Lithium_drugcodes,drug
CPRD_product_code,22018,LI-LIQUID solution 509mg/5ml [ROSEMONT],Lithium_drugcodes,drug
CPRD_product_code,16250,LITHONATE sustained release tablets 400mg [APS],Lithium_drugcodes,drug
