Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,25334,FUROSEMIDE tablets 500mg [HILLCROSS],res9: loop_diuretics,drug
CPRD_product_code,34622,CO-AMILOFRUSE tablets 10mg+80mg [WOCKHARDT],res9: loop_diuretics,drug
CPRD_product_code,30625,FUROSEMIDE tablets 20mg [HILLCROSS],res9: loop_diuretics,drug
CPRD_product_code,22658,TOREM tablets 10mg [MEDA],res9: loop_diuretics,drug
CPRD_product_code,20538,FRUMAX tablets 40mg [ASHBOURNE],res9: loop_diuretics,drug
CPRD_product_code,7799,LASIX tablets 20mg [BORG],res9: loop_diuretics,drug
CPRD_product_code,5218,bumetanide oral liquid sugar-free 1mg/5ml ,res9: loop_diuretics,drug
CPRD_product_code,29780,FUROSEMIDE tablets 20mg [CP PHARM],res9: loop_diuretics,drug
CPRD_product_code,27926,FUROSEMIDE tablets 20mg [GEN (UK)],res9: loop_diuretics,drug
CPRD_product_code,34280,CO-AMILOFRUSE tablets 2.5mg+20mg [SANDOZ],res9: loop_diuretics,drug
CPRD_product_code,2772,LASORIDE tablets [BORG],res9: loop_diuretics,drug
CPRD_product_code,30913,BETINEX tablets 1mg [BERK],res9: loop_diuretics,drug
CPRD_product_code,25717,FUROSEMIDE tablets 40mg [GEN (UK)],res9: loop_diuretics,drug
CPRD_product_code,27690,FUROSEMIDE tablets 40mg [HILLCROSS],res9: loop_diuretics,drug
CPRD_product_code,27447,FUROSEMIDE tablets 40mg [CP PHARM],res9: loop_diuretics,drug
CPRD_product_code,26292,DIURESAL tablets 40mg [LAGAP],res9: loop_diuretics,drug
CPRD_product_code,2495,bumetanide with amiloride tablets ,res9: loop_diuretics,drug
CPRD_product_code,31548,FUROSEMIDE tablets 20mg [ACTAVIS],res9: loop_diuretics,drug
CPRD_product_code,39602,BUMETANIDE tablets 1mg [ACTAVIS],res9: loop_diuretics,drug
CPRD_product_code,32896,FUROSEMIDE tablets 40mg [RANBAXY],res9: loop_diuretics,drug
