Coding System (Read),Codes,Description,Entity type,Category
Read,G632.00,Vertebral artery occlusion,Macrovascular_complications,diagnostic
Read,G63y100,Cerebral infarction due to embolism of precerebral arteries,Macrovascular_complications,diagnostic
Read,G300.00,Acute anterolateral infarction,Macrovascular_complications,diagnostic
Read,G63..11,Infarction - precerebral,Macrovascular_complications,diagnostic
Read,G73z.00,Peripheral vascular disease NOS,Macrovascular_complications,diagnostic
Read,G742z00,Peripheral arterial embolism and thrombosis NOS,Macrovascular_complications,diagnostic
Read,G30..17,Silent myocardial infarction,Macrovascular_complications,diagnostic
Read,G73..00,Other peripheral vascular disease,Macrovascular_complications,diagnostic
Read,G63y000,Cerebral infarct due to thrombosis of precerebral arteries,Macrovascular_complications,diagnostic
Read,G73z011,Claudication,Macrovascular_complications,diagnostic
Read,G73yz00,Other specified peripheral vascular disease NOS,Macrovascular_complications,diagnostic
Read,G73zz00,Peripheral vascular disease NOS,Macrovascular_complications,diagnostic
Read,G73y.00,Other specified peripheral vascular disease,Macrovascular_complications,diagnostic
Read,Gyu7400,[X]Other specified peripheral vascular diseases,Macrovascular_complications,diagnostic
Read,G73z000,Intermittent claudication,Macrovascular_complications,diagnostic
Read,G30..16,Thrombosis - coronary,Macrovascular_complications,diagnostic
Read,G73..12,Ischaemia of legs,Macrovascular_complications,diagnostic
Read,G74y300,Embolism and thrombosis of the iliac artery unspecified,Macrovascular_complications,diagnostic
Read,G30..15,MI - acute myocardial infarction,Macrovascular_complications,diagnostic
Read,G700.00,Aortic atherosclerosis,Macrovascular_complications,diagnostic
Read,G76z000,Iliac artery occlusion,Macrovascular_complications,diagnostic
Read,G70..00,Atherosclerosis,Macrovascular_complications,diagnostic
Read,G30..13,Cardiac rupture following myocardial infarction (MI),Macrovascular_complications,diagnostic
Read,G30..12,Coronary thrombosis,Macrovascular_complications,diagnostic
Read,G30..00,Acute myocardial infarction,Macrovascular_complications,diagnostic
Read,G38..00,Postoperative myocardial infarction,Macrovascular_complications,diagnostic
