Coding System (Read),Codes,Description,Entity type,Category
Read,E13..11,Reactive psychoses,res21: SMI,diagnostic
Read,E13y100,Brief reactive psychosis,res21: SMI,diagnostic
Read,Eu20211,[X]Catatonic stupor,res21: SMI,diagnostic
Read,E100300,Acute exacerbation of subchronic schizophrenia,res21: SMI,diagnostic
Read,E132.00,Reactive confusion,res21: SMI,diagnostic
Read,E104.00,Acute schizophrenic episode,res21: SMI,diagnostic
Read,Eu2z.11,[X]Psychosis NOS,res21: SMI,diagnostic
Read,E114.00,"Bipolar affective disorder, currently manic",res21: SMI,diagnostic
Read,Eu22011,[X]Paranoid psychosis,res21: SMI,diagnostic
Read,Eu31.00,[X]Bipolar affective disorder,res21: SMI,diagnostic
Read,Eu31.11,[X]Manic-depressive illness,res21: SMI,diagnostic
Read,E103.00,Paranoid schizophrenia,res21: SMI,diagnostic
Read,E107.00,Schizo-affective schizophrenia,res21: SMI,diagnostic
Read,E13z.11,Psychotic episode NOS,res21: SMI,diagnostic
Read,Eu30000,[X]Hypomania,res21: SMI,diagnostic
Read,E11..12,Depressive psychoses,res21: SMI,diagnostic
Read,E100200,Chronic schizophrenic,res21: SMI,diagnostic
Read,Eu31.12,[X]Manic-depressive psychosis,res21: SMI,diagnostic
Read,E121.00,Chronic paranoid psychosis,res21: SMI,diagnostic
Read,E115.00,"Bipolar affective disorder, currently depressed",res21: SMI,diagnostic
Read,Eu22015,[X]Paranoia,res21: SMI,diagnostic
Read,Eu31500,[X]Bipolar affect dis cur epi severe depres with psyc symp,res21: SMI,diagnostic
Read,Eu30z11,[X]Mania NOS,res21: SMI,diagnostic
Read,E122.00,Paraphrenia,res21: SMI,diagnostic
Read,Eu30.11,"[X]Bipolar disorder, single manic episode",res21: SMI,diagnostic
Read,Eu24.13,[X]Induced psychotic disorder,res21: SMI,diagnostic
Read,Eu25.00,[X]Schizoaffective disorders,res21: SMI,diagnostic
Read,E130.00,Reactive depressive psychosis,res21: SMI,diagnostic
Read,E103z00,Paranoid schizophrenia NOS,res21: SMI,diagnostic
Read,Eu23200,[X]Acute schizophrenia-like psychotic disorder,res21: SMI,diagnostic
Read,Eu25100,"[X]Schizoaffective disorder, depressive type",res21: SMI,diagnostic
Read,E107z00,Schizo-affective schizophrenia NOS,res21: SMI,diagnostic
Read,E11y000,Unspecified manic-depressive psychoses,res21: SMI,diagnostic
Read,Eu22012,[X]Paranoid state,res21: SMI,diagnostic
Read,Eu2z.00,[X]Unspecified nonorganic psychosis,res21: SMI,diagnostic
Read,E13z.00,Nonorganic psychosis NOS,res21: SMI,diagnostic
Read,Eu32300,[X]Severe depressive episode with psychotic symptoms,res21: SMI,diagnostic
Read,Eu30100,[X]Mania without psychotic symptoms,res21: SMI,diagnostic
Read,E115.11,Manic-depressive - now depressed,res21: SMI,diagnostic
Read,Eu30.00,[X]Manic episode,res21: SMI,diagnostic
Read,E12z.00,Paranoid psychosis NOS,res21: SMI,diagnostic
Read,E11..00,Affective psychoses,res21: SMI,diagnostic
Read,E117.00,Unspecified bipolar affective disorder,res21: SMI,diagnostic
Read,E120.00,Simple paranoid state,res21: SMI,diagnostic
Read,E110100,"Single manic episode, mild",res21: SMI,diagnostic
Read,Eu23100,[X]Acute polymorphic psychot disord with symp of schizophren,res21: SMI,diagnostic
Read,E133.00,Acute paranoid reaction,res21: SMI,diagnostic
Read,Eu25011,"[X]Schizoaffective psychosis, manic type",res21: SMI,diagnostic
