Coding System (OXMIS Read),Codes,Description,Entity type,Category
OXMIS,4389PN,SYNDROME POSTSTROKE,res43: stroke_kontopantelis_bmjqs2012,symptom
OXMIS,4369AL,CEREBROVASCULAR ACCIDENT LEFT,res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4369BN,SYNDROME STROKE,res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4350AT,TRANSIENT ISCHAEMIC ATTACKS WITH HYPERTE,res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4359AT,TRANSIENT ISCHAEMIC ATTACKS,res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4369AR,CEREBROVASCULAR ACCIDENT RIGHT,res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4369A,CVA (CEREBROVASCULAR ACCIDENT),res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4360B,STROKE WITH HYPERTENSION,res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4360A,CEREBROVASCULAR ACCIDENT WITH HYPERTENSI,res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4369B,STROKE,res43: stroke_kontopantelis_bmjqs2012,diagnostic
OXMIS,4389PP,POSTSTROKE PARALYSIS,res43: stroke_kontopantelis_bmjqs2012,symptom
Read,G651000,Vertebro-basilar artery syndrome,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G667.00,Left sided CVA,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G64..11,CVA - cerebral artery occlusion,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G6W..00,Cereb infarct due unsp occlus/stenos precerebr arteries,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G64z.12,Cerebellar infarction,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G650.00,Basilar artery syndrome,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,Gyu6600,[X]Occlusion and stenosis of other cerebral arteries,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G66..00,Stroke and cerebrovascular accident unspecified,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,Gyu6300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G61..00,Intracerebral haemorrhage,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G668.00,Right sided CVA,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G640.00,Cerebral thrombosis,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G64..00,Cerebral arterial occlusion,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G65z000,Impending cerebral ischaemia,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G66..11,CVA unspecified,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G65z100,Intermittent cerebral ischaemia,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G65y.00,Other transient cerebral ischaemia,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage,res43: stroke_kontopantelis_bmjqs2012,diagnostic
Read,G611.00,Internal capsule haemorrhage,res43: stroke_kontopantelis_bmjqs2012,diagnostic
