Coding System (OXMIS Read),Codes,Description,Entity type,Category
OXMIS,4360B,STROKE WITH HYPERTENSION,Stroke,diagnostic
OXMIS,4360A,CEREBROVASCULAR ACCIDENT WITH HYPERTENSI,Stroke,diagnostic
OXMIS,4359AT,TRANSIENT ISCHAEMIC ATTACKS,Stroke,diagnostic
OXMIS,4350AT,TRANSIENT ISCHAEMIC ATTACKS WITH HYPERTE,Stroke,diagnostic
OXMIS,4369A,CVA (CEREBROVASCULAR ACCIDENT),Stroke,diagnostic
OXMIS,4369B,STROKE,Stroke,diagnostic
OXMIS,4369AR,CEREBROVASCULAR ACCIDENT RIGHT,Stroke,diagnostic
OXMIS,4369AL,CEREBROVASCULAR ACCIDENT LEFT,Stroke,diagnostic
OXMIS,4369BN,SYNDROME STROKE,Stroke,diagnostic
Read,G64..00,Cerebral arterial occlusion,Stroke,diagnostic
Read,G610.00,Cortical haemorrhage,Stroke,diagnostic
Read,G61..12,Stroke due to intracerebral haemorrhage,Stroke,diagnostic
Read,G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage,Stroke,diagnostic
Read,G61..00,Intracerebral haemorrhage,Stroke,diagnostic
Read,G616.00,External capsule haemorrhage,Stroke,diagnostic
Read,G612.00,Basal nucleus haemorrhage,Stroke,diagnostic
Read,G65zz00,Transient cerebral ischaemia NOS,Stroke,diagnostic
Read,G611.00,Internal capsule haemorrhage,Stroke,diagnostic
Read,G615.00,Bulbar haemorrhage,Stroke,diagnostic
Read,G613.00,Cerebellar haemorrhage,Stroke,diagnostic
Read,G614.00,Pontine haemorrhage,Stroke,diagnostic
Read,G63y000,Cerebral infarct due to thrombosis of precerebral arteries,Stroke,diagnostic
Read,G63y100,Cerebral infarction due to embolism of precerebral arteries,Stroke,diagnostic
Read,G61X.00,Intracerebral haemorrhage in hemisphere; unspecified,Stroke,diagnostic
Read,G618.00,Intracerebral haemorrhage; multiple localized,Stroke,diagnostic
Read,G61X000,Left sided intracerebral haemorrhage; unspecified,Stroke,diagnostic
Read,G61z.00,Intracerebral haemorrhage NOS,Stroke,diagnostic
Read,G61X100,Right sided intracerebral haemorrhage; unspecified,Stroke,diagnostic
Read,G640000,Cerebral infarction due to thrombosis of cerebral arteries,Stroke,diagnostic
Read,G64z111,Lateral medullary syndrome,Stroke,diagnostic
Read,G65z100,Intermittent cerebral ischaemia,Stroke,diagnostic
Read,G640.00,Cerebral thrombosis,Stroke,diagnostic
