Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,44304,GLYCONON tablets 500mg [DDSA],res9: sulfonylureas,drug
CPRD_product_code,43465,ZICRON tablets 40mg [BRISTOL LB],res9: sulfonylureas,drug
CPRD_product_code,1254,glibenclamide tablets 5mg,res9: sulfonylureas,drug
CPRD_product_code,12455,RASTINON tablets 500mg [HOECHSTMAR],res9: sulfonylureas,drug
CPRD_product_code,32,gliclazide tablets 80mg,res9: sulfonylureas,drug
CPRD_product_code,547,glipizide tablets 2.5mg,res9: sulfonylureas,drug
CPRD_product_code,5636,glipizide tablets 5mg,res9: sulfonylureas,drug
CPRD_product_code,1965,tolbutamide tablets 500mg,res9: sulfonylureas,drug
CPRD_product_code,1964,DIAMICRON tablets 80mg [SERVIER],res9: sulfonylureas,drug
CPRD_product_code,5627,gliclazide modified release tablet 30mg,res9: sulfonylureas,drug
CPRD_product_code,4862,DIABETAMIDE tablets 2.5mg [ASHBOURNE],res9: sulfonylureas,drug
CPRD_product_code,2219,glibenclamide tablets 2.5mg,res9: sulfonylureas,drug
CPRD_product_code,5353,glimepiride tablets 2mg,res9: sulfonylureas,drug
CPRD_product_code,5316,glimepiride tablets 4mg,res9: sulfonylureas,drug
CPRD_product_code,5276,glimepiride tablets 1mg,res9: sulfonylureas,drug
CPRD_product_code,7912,SEMI-DAONIL tablets 2.5mg [AVENTIS],res9: sulfonylureas,drug
CPRD_product_code,7332,AMARYL tablets 1mg [AVENTIS],res9: sulfonylureas,drug
CPRD_product_code,6337,glimepiride tablets 3mg,res9: sulfonylureas,drug
CPRD_product_code,15374,gliclazide oral suspension 40mg/5ml,res9: sulfonylureas,drug
CPRD_product_code,7284,AMARYL tablets 2mg [AVENTIS],res9: sulfonylureas,drug
CPRD_product_code,7744,DAONIL tablets 5mg [AVENTIS],res9: sulfonylureas,drug
CPRD_product_code,7409,AMARYL tablets 3mg [AVENTIS],res9: sulfonylureas,drug
CPRD_product_code,11695,DIAMICRON MR tablets 30mg [SERVIER],res9: sulfonylureas,drug
CPRD_product_code,8976,EUGLUCON tablets 2.5mg [AVENTIS],res9: sulfonylureas,drug
CPRD_product_code,11284,AMARYL tablets 4mg [AVENTIS],res9: sulfonylureas,drug
CPRD_product_code,12513,GLIBENESE tablets 5mg [PFIZER],res9: sulfonylureas,drug
CPRD_product_code,13331,EUGLUCON tablets 5mg [AVENTIS],res9: sulfonylureas,drug
CPRD_product_code,42790,GLICLAZIDE tablets 80mg [MERCK-GEN],res9: sulfonylureas,drug
CPRD_product_code,41559,GLIBENCLAMIDE tablets 5mg [HILLCROSS],res9: sulfonylureas,drug
CPRD_product_code,41593,GLIBENCLAMIDE tablets 2.5mg [TEVA],res9: sulfonylureas,drug
CPRD_product_code,28708,MALIX tablets 2.5mg [LAGAP],res9: sulfonylureas,drug
CPRD_product_code,17343,GLICLAZIDE tablets 80mg [HILLCROSS],res9: sulfonylureas,drug
CPRD_product_code,16602,CALABREN tablets 2.5mg [BERK],res9: sulfonylureas,drug
CPRD_product_code,29326,GLIPIZIDE tablets 5mg [GEN (UK)],res9: sulfonylureas,drug
CPRD_product_code,26218,CALABREN tablets 5mg [BERK],res9: sulfonylureas,drug
CPRD_product_code,21424,glibenclamide oral suspension 5mg/5ml,res9: sulfonylureas,drug
CPRD_product_code,17706,MINODIAB tablets 2.5mg [PHARMACIA],res9: sulfonylureas,drug
CPRD_product_code,17698,MINODIAB tablets 5mg [PHARMACIA],res9: sulfonylureas,drug
CPRD_product_code,21564,GLICLAZIDE tablets 80mg [WOCKHARDT],res9: sulfonylureas,drug
CPRD_product_code,25636,LIBANIL tablets 2.5mg [APS],res9: sulfonylureas,drug
CPRD_product_code,21892,DIAGLYK tablets 80mg [ASHBOURNE],res9: sulfonylureas,drug
CPRD_product_code,21832,DIABETAMIDE tablets 5mg [ASHBOURNE],res9: sulfonylureas,drug
CPRD_product_code,29939,GLICLAZIDE tablets 80mg [GEN (UK)],res9: sulfonylureas,drug
CPRD_product_code,41558,GLIBENCLAMIDE tablets 5mg [TEVA],res9: sulfonylureas,drug
CPRD_product_code,36856,GLICLAZIDE tablets 80mg [SANDOZ],res9: sulfonylureas,drug
CPRD_product_code,33562,DUCLAZIDE tablets 80mg [DUMEX],res9: sulfonylureas,drug
CPRD_product_code,30460,MALIX tablets 5mg [LAGAP],res9: sulfonylureas,drug
CPRD_product_code,33673,TOLBUTAMIDE tablets 500mg [ACTAVIS],res9: sulfonylureas,drug
CPRD_product_code,31474,LIBANIL tablets 5mg [APS],res9: sulfonylureas,drug
CPRD_product_code,31212,GLICLAZIDE tablets 80mg [ACTAVIS],res9: sulfonylureas,drug
CPRD_product_code,34563,GLIBENCLAMIDE tablets 5mg [WOCKHARDT],res9: sulfonylureas,drug
CPRD_product_code,34507,GLIBENCLAMIDE tablets 2.5mg [WOCKHARDT],res9: sulfonylureas,drug
CPRD_product_code,34399,GLICLAZIDE tablets 80mg [IVAX],res9: sulfonylureas,drug
CPRD_product_code,34957,TOLBUTAMIDE tablets 500mg [HILLCROSS],res9: sulfonylureas,drug
CPRD_product_code,34676,GLIBENCLAMIDE tablets 2.5mg [HILLCROSS],res9: sulfonylureas,drug
CPRD_product_code,34932,GLICLAZIDE tablets 80mg [GENUS],res9: sulfonylureas,drug
CPRD_product_code,34802,GLIPIZIDE tablets 5mg [IVAX],res9: sulfonylureas,drug
CPRD_product_code,34706,GLIBENCLAMIDE tablets 2.5mg [IVAX],res9: sulfonylureas,drug
CPRD_product_code,40425,NAZDOL MR tablets 30mg [TEVA],res9: sulfonylureas,drug
CPRD_product_code,40365,GLIMEPIRIDE tablets 1mg [ACTAVIS],res9: sulfonylureas,drug
CPRD_product_code,43065,gliclazide tablets 40mg,res9: sulfonylureas,drug
CPRD_product_code,47074,gliclazide oral suspension 80mg/5ml,res9: sulfonylureas,drug
CPRD_product_code,46927,TOLBUTAMIDE tablets 500mg [TEVA],res9: sulfonylureas,drug
CPRD_product_code,45831,DACADIS modified release tablet 30mg [GEN (UK)],res9: sulfonylureas,drug
CPRD_product_code,45215,GLICLAZIDE tablets 80mg [NEOLAB],res9: sulfonylureas,drug
CPRD_product_code,44738,NIDDARYL tablets 1mg [DEE],res9: sulfonylureas,drug
CPRD_product_code,44473,EDICIL MR tablets 30mg [RATIOPHARM],res9: sulfonylureas,drug
