Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,E13.1,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.0,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.9,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.8,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.7,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.4,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.9,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.7,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.8,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.3,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.6,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.2,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.1,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.0,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E11.5,non-insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,H28.0,diabetic cataract,res30: Diabetes mellitus,diagnostic
ICD-10,E14.4,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.7,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E14.3,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.6,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.2,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.5,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.3,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.4,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.8,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E14.2,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E13.9,other specified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E14.1,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E14.0,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E14,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,G63.2,diabetic polyneuropathy,res30: Diabetes mellitus,diagnostic
ICD-10,E14.5,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,G59.0,diabetic mononeuropathy,res30: Diabetes mellitus,diagnostic
ICD-10,E14.6,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E14.8,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E14.7,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E14.9,unspecified diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,H36.0,diabetic retinopathy,res30: Diabetes mellitus,diagnostic
ICD-10,M14.2,diabetic arthropathy,res30: Diabetes mellitus,diagnostic
ICD-10,Y42.3,insulin and oral hypoglycaemic [antidiabetic] drugs,res30: Diabetes mellitus,diagnostic
ICD-10,N08.3,glomerular disorders in diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.0,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.6,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.2,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.1,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.5,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.3,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
ICD-10,E10.4,insulin-dependent diabetes mellitus,res30: Diabetes mellitus,diagnostic
Read,9OL5.00,diabetes monitoring 2nd letter,res30: Diabetes mellitus,diagnostic
Read,C110.11,insulin coma,res30: Diabetes mellitus,diagnostic
Read,2BBL.00,o/e - diabetic maculopathy present both eyes,res30: Diabetes mellitus,diagnostic
Read,C10F211,type ii diabetes mellitus with neurological complications,res30: Diabetes mellitus,diagnostic
Read,C109700,non-insulin dependent diabetes mellitus - poor control,res30: Diabetes mellitus,diagnostic
Read,C10E112,insulin-dependent diabetes mellitus with ophthalmic comps,res30: Diabetes mellitus,diagnostic
