medcodeid,term
110659019,malignant hypertensive heart and renal disease
1216090015,"acute oedema of lung, unspecified"
139475013,heart failure
139482012,cardiac failure
141306010,left ventricular failure
147247018,chronic congestive heart failure
1488804017,heart failure confirmed
1489358014,left ventricular diastolic dysfunction
1490256017,pulmonary oedema - acute
1495417010,asthma - cardiac
1576321000006113,cause of death- congestive cardiac failure
1647701000000118,heart failure with normal ejection fraction
1661371000000112,hfnef - heart failure with normal ejection fraction
1703621000000112,worsening pulmonary oedema
1747691000006119,emergency heart failure admission since last appointment
1778488011,congestive cardiomyopathy
1816321000006118,"pulmonary oedema due to chemicals, gases, fumes and vapours"
18472010,acute congestive heart failure
1991651000006115,severe left ventricular systolic dysfunction
206703015,right heart failure
2159197017,echocardiogram shows left ventricular systolic dysfunction
2159198010,echocardiogram shows left ventricular diastolic dysfunction
216207010,left ventricular systolic dysfunction
2227501000000110,heart failure with preserved ejection fraction
223981000000118,cardiac failure nos
253994013,o/e - pulmonary oedema
2549208013,admit heart failure emergency
2675255018,congestive heart failure due to valvular disease
2694523019,left ventricular cardiac dysfunction
299650019,malignant hypertensive heart disease nos
300179017,decompensated cardiac failure
300180019,compensated cardiac failure
300190010,acute left ventricular failure
300217019,post cardiac operation heart failure nos
301694014,pulmonary oedema nos
301741013,acute pulmonary oedema unspecified
301743011,acute pulmonary oedema nos
305601017,cardiac failure following abortive pregnancy
317955011,[d]cardiorespiratory failure
325061011,cardiorespiratory failure as a complication of care
350201017,chemical-induced pulmonary oedema
350413012,congestive obstructive cardiomyopathy
350484012,heart failure as a complication of care
395772015,heart failure nos
401870011,postoperative pulmonary oedema
411506018,impaired left ventricular function
459841000006110,acute pulmonary oedema due to chemical fumes
493287011,congestive cardiac failure
494669012,chronic pulmonary oedema
504901000006118,benign hypertensive heart disease with ccf
510016018,biventricular failure
70653017,congestive heart failure
728671000006119,malignant hypertensive heart disease with ccf
72934016,rheumatic left ventricular failure
741681000006111,hypertensive heart disease nos with ccf
741701000006114,hypertensive heart&renal dis wth (congestive) heart failure
784191000006110,impaired left ventricular function
789941000006117,hyperten heart&renal dis+both(congestv)heart and renal fail
833381000006119,new york heart assoc classification heart failure symptoms
885361000006118,acute chemical pulm. oedema
90135019,malignant hypertensive heart disease
905391000006119,[rfc] cardiac failure
94251011,acute heart failure
