Coding System (ICD-10 Read),Codes,Description,Entity type,Category
ICD-10,I22,subsequent myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I25.8,other forms of chronic ischaemic heart disease,res30: Ischaemic heart disease,diagnostic
ICD-10,I24.8,other forms of acute ischaemic heart disease,res30: Ischaemic heart disease,diagnostic
ICD-10,I25,chronic ischaemic heart disease,res30: Ischaemic heart disease,diagnostic
ICD-10,I25.1,atherosclerotic heart disease,res30: Ischaemic heart disease,diagnostic
ICD-10,I22.1,subsequent myocardial infarction of inferior wall,res30: Ischaemic heart disease,diagnostic
ICD-10,I24.0,coronary thrombosis not resulting in myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I23.3,rupture of cardiac wall without haemopericardium as current complication following acute myocardial ,res30: Ischaemic heart disease,diagnostic
ICD-10,I23.5,rupture of papillary muscle as current complication following acute myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I23,certain current complications following acute myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I23.1,atrial septal defect as current complication following acute myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I21.3,acute transmural myocardial infarction of unspecified site,res30: Ischaemic heart disease,diagnostic
ICD-10,I20,angina pectoris,res30: Ischaemic heart disease,diagnostic
ICD-10,I20.0,unstable angina,res30: Ischaemic heart disease,diagnostic
ICD-10,I20.1,angina pectoris with documented spasm,res30: Ischaemic heart disease,diagnostic
ICD-10,I20.8,other forms of angina pectoris,res30: Ischaemic heart disease,diagnostic
ICD-10,I20.9,"angina pectoris, unspecified",res30: Ischaemic heart disease,diagnostic
ICD-10,I21,acute myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I21.0,acute transmural myocardial infarction of anterior wall,res30: Ischaemic heart disease,diagnostic
ICD-10,I21.4,acute subendocardial myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I22.8,subsequent myocardial infarction of other sites,res30: Ischaemic heart disease,diagnostic
ICD-10,I22.9,subsequent myocardial infarction of unspecified site,res30: Ischaemic heart disease,diagnostic
ICD-10,I23.2,ventricular septal defect as current complication following acute myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I23.6,"thrombosis of atrium, auricular appendage, and ventricle as current complications following acute my",res30: Ischaemic heart disease,diagnostic
ICD-10,I23.8,other current complications following acute myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I24,other acute ischaemic heart diseases,res30: Ischaemic heart disease,diagnostic
ICD-10,I24.9,"acute ischaemic heart disease, unspecified",res30: Ischaemic heart disease,diagnostic
ICD-10,I25.2,old myocardial infarction,res30: Ischaemic heart disease,diagnostic
ICD-10,I25.5,ischaemic cardiomyopathy,res30: Ischaemic heart disease,diagnostic
ICD-10,I25.9,"chronic ischaemic heart disease, unspecified",res30: Ischaemic heart disease,diagnostic
