Coding System (Read),Codes,Description,Entity type,Category
Read,E116500,"mixed bipolar affective disorder, partial/unspec remission",res59: Bipolar_disorder,diagnostic
Read,E111500,"recurrent manic episodes, partial or unspecified remission",res59: Bipolar_disorder,diagnostic
Read,E111z00,recurrent manic episode nos,res59: Bipolar_disorder,diagnostic
Read,Eu30000,[x]hypomania,res59: Bipolar_disorder,diagnostic
Read,Eu34.00,[X]Persistent mood affective disorders,res59: Bipolar_disorder,diagnostic
Read,E11y300,other mixed manic-depressive psychoses,res59: Bipolar_disorder,diagnostic
Read,Eu31.00,[x]bipolar affective disorder,res59: Bipolar_disorder,diagnostic
Read,E114100,"bipolar affective disorder, currently manic, mild",res59: Bipolar_disorder,diagnostic
Read,E114.00,"bipolar affective disorder, currently manic",res59: Bipolar_disorder,diagnostic
Read,E110400,"single manic episode, severe, with psychosis",res59: Bipolar_disorder,diagnostic
Read,E114500,"bipolar affect disord,currently manic, part/unspec remission",res59: Bipolar_disorder,diagnostic
Read,E115500,"bipolar affect disord, now depressed, part/unspec remission",res59: Bipolar_disorder,diagnostic
Read,E116000,"mixed bipolar affective disorder, unspecified",res59: Bipolar_disorder,diagnostic
Read,E115400,"bipolar affect disord, now depressed, severe with psychosis",res59: Bipolar_disorder,diagnostic
Read,E115z00,"bipolar affective disorder, currently depressed, nos",res59: Bipolar_disorder,diagnostic
Read,E116600,"mixed bipolar affective disorder, in full remission",res59: Bipolar_disorder,diagnostic
Read,E115.11,manic-depressive - now depressed,res59: Bipolar_disorder,diagnostic
Read,E117500,"unspecified bipolar affect disord, partial/unspec remission",res59: Bipolar_disorder,diagnostic
Read,E117000,"unspecified bipolar affective disorder, unspecified",res59: Bipolar_disorder,diagnostic
Read,E11yz00,other and unspecified manic-depressive psychoses nos,res59: Bipolar_disorder,diagnostic
Read,E116z00,"mixed bipolar affective disorder, nos",res59: Bipolar_disorder,diagnostic
Read,E115000,"bipolar affective disorder, currently depressed, unspecified",res59: Bipolar_disorder,diagnostic
Read,E117.00,unspecified bipolar affective disorder,res59: Bipolar_disorder,diagnostic
Read,E110000,"single manic episode, unspecified",res59: Bipolar_disorder,diagnostic
Read,Eu30.11,"[x]bipolar disorder, single manic episode",res59: Bipolar_disorder,diagnostic
Read,E111400,"recurrent manic episodes, severe, with psychosis",res59: Bipolar_disorder,diagnostic
Read,E110600,single manic episode in full remission,res59: Bipolar_disorder,diagnostic
Read,E114300,"bipolar affect disord, currently manic, severe, no psychosis",res59: Bipolar_disorder,diagnostic
Read,E114600,"bipolar affective disorder, currently manic, full remission",res59: Bipolar_disorder,diagnostic
Read,E115200,"bipolar affective disorder, currently depressed, moderate",res59: Bipolar_disorder,diagnostic
Read,E116200,"mixed bipolar affective disorder, moderate",res59: Bipolar_disorder,diagnostic
Read,E116.00,mixed bipolar affective disorder,res59: Bipolar_disorder,diagnostic
Read,E117300,"unspecified bipolar affective disorder, severe, no psychosis",res59: Bipolar_disorder,diagnostic
Read,E117200,"unspecified bipolar affective disorder, moderate",res59: Bipolar_disorder,diagnostic
Read,E11y000,unspecified manic-depressive psychoses,res59: Bipolar_disorder,diagnostic
