Coding System (ICD-10),Codes,Description,Entity type,Category
ICD-10,I21.9 ,"Acute myocardial infarction, unspecified",myocardial infarction - icd10,diagnostic
ICD-10,I21.4,Acute subendocardial myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I21.0  ,Acute transmural myocardial infarction of anterior wall,myocardial infarction - icd10,diagnostic
ICD-10,I21.3 ,Acute transmural myocardial infarction of unspecified site ,myocardial infarction - icd10,diagnostic
ICD-10,I21  ,Acute myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I21.2 ,Acute transmural myocardial infarction of other sites,myocardial infarction - icd10,diagnostic
ICD-10,I21.1  ,Acute transmural myocardial infarction of inferior wall,myocardial infarction - icd10,diagnostic
ICD-10,I23.8 ,Other current complications following acute myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I23 ,Certain current complications following acute myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I22, Subsequent myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I22.0 ,Subsequent myocardial infarction of anterior wall ,myocardial infarction - icd10,diagnostic
ICD-10,I22.9 ,Subsequent myocardial infarction of unspecified site,myocardial infarction - icd10,diagnostic
ICD-10,I22.1,Subsequent myocardial infarction of inferior wall,myocardial infarction - icd10,diagnostic
ICD-10,I22.8 ,Subsequent myocardial infarction of other sites,myocardial infarction - icd10,diagnostic
ICD-10,I23.6 ,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute my",myocardial infarction - icd10,diagnostic
ICD-10,I23.1 ,Atrial septal defect as current complication following acute myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I23.0, Haemopericardium as current complication following acute myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I23.5 ,Rupture of papillary muscle as current complication following acute myocardial infarction ,myocardial infarction - icd10,diagnostic
ICD-10,I23.2 ,Ventricular septal defect as current complication following acute myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I23.4 ,Rupture of chordae tendineae as current complication following acute myocardial infarction,myocardial infarction - icd10,diagnostic
ICD-10,I23.3 ,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial ,myocardial infarction - icd10,diagnostic
