Coding System (Read),Codes,Description,Entity type,Category
Read,B15z.00,Malignant neoplasm of liver and intrahepatic bile ducts NOS,Cancer,diagnostic
Read,B072000,Malignant neoplasm of pharyngeal recess,Cancer,diagnostic
Read,B30..12,Osteoma,Cancer,diagnostic
Read,B2zy.00,Malignant neoplasm of other site of respiratory tract,Cancer,diagnostic
Read,B21y.00,Malignant neoplasm of larynx; other specified site,Cancer,diagnostic
Read,B34y.00,Malignant neoplasm of other site of female breast,Cancer,diagnostic
Read,B327400,Malignant melanoma of lower leg,Cancer,diagnostic
Read,B225.00,Malignant neoplasm of overlapping lesion of bronchus & lung,Cancer,diagnostic
Read,B303000,Malignant neoplasm of rib,Cancer,diagnostic
Read,B05y.00,Malignant neoplasm of other specified mouth parts,Cancer,diagnostic
Read,B61C.00,,Cancer,diagnostic
Read,B013z00,Malignant neoplasm of ventral tongue surface NOS,Cancer,diagnostic
Read,B306z00,Malignant neoplasm of pelvis; sacrum or coccyx NOS,Cancer,diagnostic
Read,B325.00,Malignant melanoma of trunk (excluding scrotum),Cancer,diagnostic
Read,B22y.00,Malignant neoplasm of other sites of bronchus or lung,Cancer,diagnostic
Read,B25..00,Malig neo; overlapping lesion of heart; mediastinum & pleura,Cancer,diagnostic
Read,B327300,Malignant melanoma of popliteal fossa area,Cancer,diagnostic
Read,B18y500,Malignant neoplasm of pelvic peritoneum,Cancer,diagnostic
Read,B137.00,Malignant neoplasm of splenic flexure of colon,Cancer,diagnostic
Read,B0z2.00,Malignant neoplasm of laryngopharynx,Cancer,diagnostic
Read,B0zz.00,Malignant neoplasm of lip; oral cavity and pharynx NOS,Cancer,diagnostic
Read,B063.00,Malignant neoplasm of vallecula,Cancer,diagnostic
Read,B172.00,Malignant neoplasm of tail of pancreas,Cancer,diagnostic
Read,B206.00,Malignant neoplasm; overlapping lesion of accessory sinuses,Cancer,diagnostic
Read,B223100,Malignant neoplasm of middle lobe of lung,Cancer,diagnostic
Read,B66y.00,Other monocytic leukaemia,Cancer,diagnostic
Read,B111100,Malignant neoplasm of pyloric canal of stomach,Cancer,diagnostic
Read,B600z00,Reticulosarcoma NOS,Cancer,diagnostic
Read,B4A0000,Hypernephroma,Cancer,diagnostic
Read,B081.00,Malignant neoplasm of pyriform sinus,Cancer,diagnostic
Read,B310100,Malignant neoplasm of soft tissue of face,Cancer,diagnostic
Read,B440.00,Malignant neoplasm of ovary,Cancer,diagnostic
Read,B67yz00,Other and unspecified leukaemia NOS,Cancer,diagnostic
Read,B01z.00,Malignant neoplasm of tongue NOS,Cancer,diagnostic
Read,B053.00,Malignant neoplasm of soft palate,Cancer,diagnostic
Read,B171.00,Malignant neoplasm of body of pancreas,Cancer,diagnostic
Read,B306300,Malignant neoplasm of sacral vertebra,Cancer,diagnostic
Read,B585.00,Secondary malignant neoplasm of bone and bone marrow,Cancer,diagnostic
Read,B56..11,Lymph node metastases,Cancer,diagnostic
Read,B307200,Malignant neoplasm of tibia,Cancer,diagnostic
Read,B120.00,Malignant neoplasm of duodenum,Cancer,diagnostic
Read,B313000,Malignant neoplasm of connective and soft tissue of axilla,Cancer,diagnostic
Read,B61..11,,Cancer,diagnostic
Read,B24y.00,Malig neop of other site of heart; thymus and mediastinum,Cancer,diagnostic
