Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,34476,SIMVASTATIN tablets 20mg [RATIOPHARM],Statins,drug
CPRD_product_code,1223,LIPOSTAT tablets 40mg [SQUIBB],Statins,drug
CPRD_product_code,420,cerivastatin tablets 100micrograms,Statins,drug
CPRD_product_code,379,fluvastatin capsules 20mg,Statins,drug
CPRD_product_code,28,atorvastatin tablets 10mg,Statins,drug
CPRD_product_code,25,simvastatin tablets 20mg,Statins,drug
CPRD_product_code,75,atorvastatin tablets 20mg,Statins,drug
CPRD_product_code,42,simvastatin tablets 10mg,Statins,drug
CPRD_product_code,51,simvastatin tablets 40mg,Statins,drug
CPRD_product_code,730,pravastatin tablets 20mg,Statins,drug
CPRD_product_code,1221,LIPOSTAT tablets 10mg [SQUIBB],Statins,drug
CPRD_product_code,713,rosuvastatin tablets 10mg,Statins,drug
CPRD_product_code,490,pravastatin tablets 10mg,Statins,drug
CPRD_product_code,1219,pravastatin tablets 40mg,Statins,drug
CPRD_product_code,802,SIMVADOR tablets 40mg [DISCOVERY],Statins,drug
CPRD_product_code,745,atorvastatin tablets 40mg,Statins,drug
CPRD_product_code,818,simvastatin sugar free oral suspension 20mg/5ml,Statins,drug
CPRD_product_code,7347,CRESTOR tablets 10mg [ASTRAZENEC],Statins,drug
CPRD_product_code,2718,ZOCOR tablets 10mg [M S D],Statins,drug
CPRD_product_code,5985,LESCOL XL tablets 80mg [NOVARTIS],Statins,drug
CPRD_product_code,2955,LIPITOR tablets 40mg [PFIZER],Statins,drug
CPRD_product_code,3690,LIPOSTAT tablets 20mg [SQUIBB],Statins,drug
CPRD_product_code,3411,LIPITOR tablets 10mg [PFIZER],Statins,drug
CPRD_product_code,34879,SIMVASTATIN tablets 40mg [NICHE],Statins,drug
CPRD_product_code,4961,LIPOBAY tablets 300micrograms [BAYER],Statins,drug
CPRD_product_code,5009,cerivastatin tablets 200micrograms,Statins,drug
CPRD_product_code,5775,atorvastatin tablets 80mg,Statins,drug
CPRD_product_code,5251,cerivastatin tablets 300micrograms,Statins,drug
CPRD_product_code,5148,simvastatin tablets 80mg,Statins,drug
CPRD_product_code,5278,cerivastatin tablets 400micrograms,Statins,drug
CPRD_product_code,6168,ZOCOR tablets 40mg [M S D],Statins,drug
CPRD_product_code,6213,rosuvastatin tablets 20mg,Statins,drug
CPRD_product_code,7196,ZOCOR tablets 20mg [M S D],Statins,drug
CPRD_product_code,7552,ezetimibe with simvastatin tablets 10mg + 20mg,Statins,drug
CPRD_product_code,7374,LIPITOR tablets 20mg [PFIZER],Statins,drug
CPRD_product_code,7554,rosuvastatin tablets 5mg,Statins,drug
CPRD_product_code,9920,SIMVADOR tablets 20mg [DISCOVERY],Statins,drug
CPRD_product_code,9153,LESCOL capsules 40mg [NOV/SANDOZ],Statins,drug
CPRD_product_code,8380,LESCOL capsules 20mg [NOV/SANDOZ],Statins,drug
CPRD_product_code,9315,LIPOBAY tablets 100micrograms [BAYER],Statins,drug
CPRD_product_code,9316,LIPOBAY tablets 200micrograms [BAYER],Statins,drug
CPRD_product_code,9897,rosuvastatin tablets 40mg,Statins,drug
CPRD_product_code,10172,ezetimibe with simvastatin tablets 10mg + 40mg,Statins,drug
