Coding System (OXMIS Read),Codes,Description,Entity type,Category
OXMIS,493 GS,ASTHMA POLLEN INITIATED,res26: Asthma,diagnostic
OXMIS,493 CH,CHILDHOOD ASTHMA,res26: Asthma,diagnostic
OXMIS,493 NA,NOCTURNAL ASTHMA,res26: Asthma,diagnostic
OXMIS,493,ASTHMA,res26: Asthma,diagnostic
OXMIS,L4930LO,LATE ONSET ASTHMA,res26: Asthma,diagnostic
OXMIS,493 AB,ASTHMA ATTACK,res26: Asthma,diagnostic
OXMIS,493 BR,BRONCHIAL ASTHMA,res26: Asthma,diagnostic
OXMIS,493 EB,ASTHMA EXERCISE INDUCED,res26: Asthma,diagnostic
OXMIS,493 GR,ASTHMA ALLERGIC GRASS,res26: Asthma,diagnostic
OXMIS,493 EP,ASTHMA EPISODIC,res26: Asthma,diagnostic
OXMIS,493 AD,ASTHMA OCCASIONAL,res26: Asthma,diagnostic
OXMIS,493 JC,CHRONIC ASTHMA,res26: Asthma,diagnostic
OXMIS,493 AE,ASTHMA SEASONAL,res26: Asthma,diagnostic
OXMIS,493 AI,ASTHMA SEVERITY MILD,res26: Asthma,diagnostic
OXMIS,493 AK,ASTHMA SEVERITY SEVERE,res26: Asthma,diagnostic
OXMIS,493 AA,ASTHMA ACUTE,res26: Asthma,diagnostic
OXMIS,493 HT,INTRINSIC ASTHMA,res26: Asthma,diagnostic
OXMIS,493 EA,ASTHMA EXERCISE INCLUDED,res26: Asthma,diagnostic
OXMIS,3052AT,PSYCHOGENIC ASTHMA,res26: Asthma,diagnostic
OXMIS,493 BD,ASTHMA AND BRONCHITIS,res26: Asthma,diagnostic
OXMIS,493 AJ,ASTHMA SEVERITY MODERATE,res26: Asthma,diagnostic
OXMIS,691 TM,ECZEMA WITH ASTHMA,res26: Asthma,diagnostic
OXMIS,493 C,CROUP ASTHMATIC,res26: Asthma,diagnostic
Read,H330.12,Childhood asthma,res26: Asthma,diagnostic
Read,H33..00,Asthma,res26: Asthma,diagnostic
Read,H33zz12,Allergic asthma NEC,res26: Asthma,diagnostic
Read,H330.11,Allergic asthma,res26: Asthma,diagnostic
Read,663V100,Mild asthma,res26: Asthma,diagnostic
Read,H331111,Intrinsic asthma with asthma attack,res26: Asthma,diagnostic
Read,663j.00,Asthma - currently active,res26: Asthma,diagnostic
Read,663V300,Severe asthma,res26: Asthma,diagnostic
Read,H33zz11,Exercise induced asthma,res26: Asthma,diagnostic
Read,H33z.00,Asthma unspecified,res26: Asthma,diagnostic
Read,663V000,Occasional asthma,res26: Asthma,diagnostic
Read,H331.11,Late onset asthma,res26: Asthma,diagnostic
Read,H330.14,Pollen asthma,res26: Asthma,diagnostic
Read,H312000,Chronic asthmatic bronchitis,res26: Asthma,diagnostic
Read,H331.00,Intrinsic asthma,res26: Asthma,diagnostic
Read,H330011,Hay fever with asthma,res26: Asthma,diagnostic
Read,H330.00,Extrinsic (atopic) asthma,res26: Asthma,diagnostic
Read,173A.00,Exercise induced asthma,res26: Asthma,diagnostic
Read,H330111,Extrinsic asthma with asthma attack,res26: Asthma,diagnostic
Read,H33zz00,Asthma NOS,res26: Asthma,diagnostic
Read,1O2..00,Asthma confirmed,res26: Asthma,diagnostic
Read,H33z200,Late-onset asthma,res26: Asthma,diagnostic
Read,663V200,Moderate asthma,res26: Asthma,diagnostic
Read,H330.13,Hay fever with asthma,res26: Asthma,diagnostic
Read,H330000,Extrinsic asthma without status asthmaticus,res26: Asthma,diagnostic
Read,H33z.11,Hyperreactive airways disease,res26: Asthma,diagnostic
Read,H331000,Intrinsic asthma without status asthmaticus,res26: Asthma,diagnostic
Read,H330z00,Extrinsic asthma NOS,res26: Asthma,diagnostic
Read,H330100,Extrinsic asthma with status asthmaticus,res26: Asthma,diagnostic
Read,H331z00,Intrinsic asthma NOS,res26: Asthma,diagnostic
Read,H35y700,Wood asthma,res26: Asthma,diagnostic
Read,H334.00,Brittle asthma,res26: Asthma,diagnostic
Read,1780.00,Aspirin induced asthma,res26: Asthma,diagnostic
Read,H47y000,Detergent asthma,res26: Asthma,diagnostic
Read,173d.00,Work aggravated asthma,res26: Asthma,diagnostic
Read,H331100,Intrinsic asthma with status asthmaticus,res26: Asthma,diagnostic
Read,H35y600,Sequoiosis (red-cedar asthma),res26: Asthma,diagnostic
Read,173c.00,Occupational asthma,res26: Asthma,diagnostic
Read,H332.00,Mixed asthma,res26: Asthma,diagnostic
Read,H33..11,Bronchial asthma,res26: Asthma,diagnostic
