Coding System (OXMIS Read),Codes,Description,Entity type,Category
OXMIS,342 E,PARKINSONIAN EPILEPSY,res26: Epilepsy,diagnostic
OXMIS,3453AT,EPILEPSY AUTOMATISM,res26: Epilepsy,diagnostic
OXMIS,3459AB,ABDOMEN CONVULSIVE EQUIVALENT (EPILEPSY),res26: Epilepsy,diagnostic
OXMIS,3451,GRAND MAL EPILEPSY,res26: Epilepsy,diagnostic
OXMIS,3459N,NOCTURNAL EPILEPSY,res26: Epilepsy,diagnostic
OXMIS,3453T,TEMPORAL LOBE EPILEPSY,res26: Epilepsy,diagnostic
OXMIS,3459BA,IDOPATHIC EPILEPSY,res26: Epilepsy,diagnostic
OXMIS,3450,EPILEPSY NONCONVULSIVE GENERALIZED,res26: Epilepsy,diagnostic
OXMIS,3453P,EPILEPSY PERIPHERAL,res26: Epilepsy,diagnostic
OXMIS,3459A,POST-TRAUMATIC EPILEPSY,res26: Epilepsy,diagnostic
OXMIS,3459D,ISCHAEMIC EPILEPSY,res26: Epilepsy,diagnostic
OXMIS,2932,PSYCHOSIS EPILEPTIC,res26: Epilepsy,diagnostic
OXMIS,3032EP,EPILEPSY ALCOHOLIC,res26: Epilepsy,diagnostic
Read,F25y000,Cursive (running) epilepsy,res26: Epilepsy,diagnostic
Read,F251200,Epileptic seizures - clonic,res26: Epilepsy,diagnostic
Read,F255400,Visual reflex epilepsy,res26: Epilepsy,diagnostic
Read,F251011,Tonic-clonic epilepsy,res26: Epilepsy,diagnostic
Read,F25D.00,Menstrual epilepsy,res26: Epilepsy,diagnostic
Read,F254100,Psychomotor epilepsy,res26: Epilepsy,diagnostic
Read,F254300,Limbic system epilepsy,res26: Epilepsy,diagnostic
Read,F250200,Epileptic seizures - atonic,res26: Epilepsy,diagnostic
Read,F25y400,Benign Rolandic epilepsy,res26: Epilepsy,diagnostic
Read,F251400,Epileptic seizures - tonic,res26: Epilepsy,diagnostic
Read,F253.00,Grand mal status,res26: Epilepsy,diagnostic
Read,F251300,Epileptic seizures - myoclonic,res26: Epilepsy,diagnostic
Read,667B.00,Nocturnal epilepsy,res26: Epilepsy,diagnostic
Read,F251000,Grand mal (major) epilepsy,res26: Epilepsy,diagnostic
Read,F25..00,Epilepsy,res26: Epilepsy,diagnostic
Read,SC20000,Traumatic epilepsy,res26: Epilepsy,diagnostic
Read,F250011,Epileptic absences,res26: Epilepsy,diagnostic
Read,F253.11,Status epilepticus,res26: Epilepsy,diagnostic
Read,F250000,Petit mal (minor) epilepsy,res26: Epilepsy,diagnostic
Read,F254000,Temporal lobe epilepsy,res26: Epilepsy,diagnostic
Read,F255500,Unilateral epilepsy,res26: Epilepsy,diagnostic
Read,F250300,Epileptic seizures - akinetic,res26: Epilepsy,diagnostic
Read,F251500,Tonic-clonic epilepsy,res26: Epilepsy,diagnostic
Read,F25X.00,"Status epilepticus, unspecified",res26: Epilepsy,diagnostic
Read,F255011,Focal epilepsy,res26: Epilepsy,diagnostic
Read,F25F.00,Photosensitive epilepsy,res26: Epilepsy,diagnostic
Read,F250.00,Generalised nonconvulsive epilepsy,res26: Epilepsy,diagnostic
Read,F25z.00,Epilepsy NOS,res26: Epilepsy,diagnostic
Read,F255000,"Jacksonian, focal or motor epilepsy",res26: Epilepsy,diagnostic
