Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,11793,metoprolol tartrate suspension 50mg/5ml,res24: beta_blockers,drug
CPRD_product_code,12456,SOTAZIDE tablets [BRISTOL],res24: beta_blockers,drug
CPRD_product_code,11711,propranolol oral solution 50mg/5ml,res24: beta_blockers,drug
CPRD_product_code,11380,SOTACOR tablets 160mg [BRISTOL],res24: beta_blockers,drug
CPRD_product_code,11338,bendroflumethiazide with nadolol tablets 5mg + 40mg,res24: beta_blockers,drug
CPRD_product_code,8707,TRANDATE tablets 200mg [FOCUS],res24: beta_blockers,drug
CPRD_product_code,8172,acebutolol hydrochloride capsules 100mg,res24: beta_blockers,drug
CPRD_product_code,8113,acebutolol hydrochloride capsules 200mg,res24: beta_blockers,drug
CPRD_product_code,8147,LOPRESORETIC tablets [NOV/GEIGY],res24: beta_blockers,drug
CPRD_product_code,8673,oxprenolol with cyclopenthiazide modified release tablet 160mg+0.25mg,res24: beta_blockers,drug
CPRD_product_code,8290,TRASICOR tablets 40mg [NOVARTIS],res24: beta_blockers,drug
CPRD_product_code,8262,celiprolol tablets 200mg,res24: beta_blockers,drug
CPRD_product_code,8189,SECADREX tablets [AVENTIS],res24: beta_blockers,drug
CPRD_product_code,8642,TENIF capsules 50mg + 20mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,8369,INDEREX capsules [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,8331,INDERAL tablets 160mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,8623,PRESTIM tablets [ICN],res24: beta_blockers,drug
CPRD_product_code,8555,SECTRAL capsules 200mg [AVENTIS],res24: beta_blockers,drug
CPRD_product_code,33659,hydrochlorothiazide with metoprolol tartrate modified release tablet 25mg + 200mg,res24: beta_blockers,drug
CPRD_product_code,10892,EMCOR tablets 10mg [MERCK SER],res24: beta_blockers,drug
CPRD_product_code,9143,VISKALDIX tablets 10mg + 5mg [AMDIPHARM],res24: beta_blockers,drug
CPRD_product_code,10777,TRASICOR tablets 160mg [NOVARTIS],res24: beta_blockers,drug
CPRD_product_code,9016,TRANDATE tablets 100mg [FOCUS],res24: beta_blockers,drug
CPRD_product_code,8935,nadolol tablets 40mg,res24: beta_blockers,drug
CPRD_product_code,8807,TRANDATE tablets 400mg [FOCUS],res24: beta_blockers,drug
CPRD_product_code,8068,metoprolol tartrate modified release tablet 200mg,res24: beta_blockers,drug
CPRD_product_code,8978,PROPANIX sustained release capsules 160mg [ASHBOURNE],res24: beta_blockers,drug
CPRD_product_code,8987,propranolol with bendroflumethiazide modified release capsules 160mg + 5mg,res24: beta_blockers,drug
CPRD_product_code,10716,CORGARD tablets 80mg [SANOFI/AVE],res24: beta_blockers,drug
CPRD_product_code,9292,sotalol tablets 160mg,res24: beta_blockers,drug
CPRD_product_code,9178,atenolol with bendroflumethiazide capsules 25mg + 1.25mg,res24: beta_blockers,drug
CPRD_product_code,9273,TRANDATE tablets 50mg [FOCUS],res24: beta_blockers,drug
CPRD_product_code,9185,propranolol oral solution 80mg/5ml,res24: beta_blockers,drug
CPRD_product_code,10627,CO-BETALOC tablets 100mg + 12.5mg [PHARMACIA],res24: beta_blockers,drug
CPRD_product_code,10191,ATENIX tablets 50mg [ASHBOURNE],res24: beta_blockers,drug
CPRD_product_code,9783,co-tenidone (atenolol and chlortalidone) tablets 50mg+12.5mg,res24: beta_blockers,drug
CPRD_product_code,10429,LOPRESOR tablets 50mg [NOVARTIS],res24: beta_blockers,drug
CPRD_product_code,10294,INDERAL injection 1mg/ml [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,4542,atenolol with nifedipine capsules 50mg + 20mg,res24: beta_blockers,drug
CPRD_product_code,4410,carvedilol tablets 6.25mg,res24: beta_blockers,drug
CPRD_product_code,4025,SLOW TRASICOR sustained release tablets 160mg [AMDIPHARM],res24: beta_blockers,drug
CPRD_product_code,3827,PROPANIX tablets 40mg [ASHBOURNE],res24: beta_blockers,drug
CPRD_product_code,3691,sotalol with hydrochlorothiazide tablets 160mg + 25mg,res24: beta_blockers,drug
CPRD_product_code,3516,oxprenolol tablets 20mg,res24: beta_blockers,drug
CPRD_product_code,3344,BETALOC tablets 100mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,2361,TRASICOR tablets 80mg [NOVARTIS],res24: beta_blockers,drug
CPRD_product_code,3087,propranolol oral solution 40mg/5ml,res24: beta_blockers,drug
CPRD_product_code,2780,oxprenolol tablets 80mg,res24: beta_blockers,drug
CPRD_product_code,2629,carvedilol tablets 12.5mg,res24: beta_blockers,drug
CPRD_product_code,2432,TENORMIN LS tablets 50mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,2587,TENORMIN tablets 100mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,599,bisoprolol tablets 1.25mg,res24: beta_blockers,drug
CPRD_product_code,12037,BETIM tablets 10mg [ICN],res24: beta_blockers,drug
CPRD_product_code,1684,BETA-ADALAT capsules 50mg + 20mg [BAYER],res24: beta_blockers,drug
CPRD_product_code,1333,oxprenolol tablets 40mg,res24: beta_blockers,drug
CPRD_product_code,1448,propranolol modified release capsules 160mg,res24: beta_blockers,drug
CPRD_product_code,1290,bisoprolol tablets 10mg,res24: beta_blockers,drug
CPRD_product_code,1050,INDERAL tablets 40mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,1006,HALF-INDERAL LA capsules 80mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,822,bisoprolol oral suspension 1.5mg/5ml,res24: beta_blockers,drug
CPRD_product_code,786,sotalol tablets 40mg,res24: beta_blockers,drug
CPRD_product_code,753,metoprolol tartrate tablets 100mg,res24: beta_blockers,drug
CPRD_product_code,739,metoprolol tartrate tablets 50mg,res24: beta_blockers,drug
CPRD_product_code,220,propranolol oral solution 5mg/5ml,res24: beta_blockers,drug
CPRD_product_code,472,bisoprolol tablets 5mg,res24: beta_blockers,drug
CPRD_product_code,5,atenolol tablets 50mg,res24: beta_blockers,drug
CPRD_product_code,26,atenolol tablets 25mg,res24: beta_blockers,drug
CPRD_product_code,24094,TRASICOR tablets 40mg [AMDIPHARM],res24: beta_blockers,drug
CPRD_product_code,12296,SECTRAL capsules 100mg [AVENTIS],res24: beta_blockers,drug
CPRD_product_code,12054,propranolol with bendroflumethiazide capsules 80mg + 2.5mg,res24: beta_blockers,drug
CPRD_product_code,12141,betaxolol hydrochloride tablets 20mg,res24: beta_blockers,drug
CPRD_product_code,24083,BISOPROLOL tablets 5mg [TEVA],res24: beta_blockers,drug
CPRD_product_code,1048,INDERAL tablets 80mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,43251,BISOPROLOL tablets 1.25mg [GEN (UK)],res24: beta_blockers,drug
CPRD_product_code,33644,PROPRANOLOL tablets 80mg [HILLCROSS],res24: beta_blockers,drug
CPRD_product_code,817,carvedilol tablets 3.125mg,res24: beta_blockers,drug
CPRD_product_code,197,atenolol injection 5mg/10ml,res24: beta_blockers,drug
CPRD_product_code,581,atenolol with chlortalidone tablets 50mg+12.5mg,res24: beta_blockers,drug
CPRD_product_code,751,nebivolol tablets 5mg,res24: beta_blockers,drug
CPRD_product_code,4429,TRASIDREX tablets [GOLDSHIELD],res24: beta_blockers,drug
CPRD_product_code,1295,labetalol hydrochloride tablets 400mg,res24: beta_blockers,drug
CPRD_product_code,3526,amiloride hydrochloride with atenolol and hydrochlorothiazide capsules,res24: beta_blockers,drug
CPRD_product_code,1288,TENORET tablets 50mg + 12.5mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,1788,atenolol with chlortalidone tablets 100mg+25mg,res24: beta_blockers,drug
CPRD_product_code,1597,labetalol hydrochloride tablets 100mg,res24: beta_blockers,drug
CPRD_product_code,1572,sotalol tablets 80mg,res24: beta_blockers,drug
CPRD_product_code,1334,oxprenolol modified release tablet 160mg,res24: beta_blockers,drug
CPRD_product_code,2499,nadolol tablets 80mg,res24: beta_blockers,drug
CPRD_product_code,3474,BETALOC SA DURULE 200mg [ASTRAZENEC],res24: beta_blockers,drug
CPRD_product_code,2414,INDERAL tablets 10mg [ASTRAZENEC],res24: beta_blockers,drug
