Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,7174,moxonidine tablets 400micrograms,res24: other_antihypertensives,drug
CPRD_product_code,338,clonidine tablets 25micrograms,res24: other_antihypertensives,drug
CPRD_product_code,119,doxazosin tablets 1mg,res24: other_antihypertensives,drug
CPRD_product_code,2104,RAUWILOID tablets 2mg [3M],res24: other_antihypertensives,drug
CPRD_product_code,1707,methyldopa tablets 250mg,res24: other_antihypertensives,drug
CPRD_product_code,634,tamsulosin hydrochloride modified release capsules 400micrograms,res24: other_antihypertensives,drug
CPRD_product_code,445,prazosin titration pack 8x500micrograms + 32x1mg,res24: other_antihypertensives,drug
CPRD_product_code,591,prazosin tablets 1mg,res24: other_antihypertensives,drug
CPRD_product_code,460,FLOMAX MR modified release capsules 400micrograms [YAMANOUCHI],res24: other_antihypertensives,drug
CPRD_product_code,582,doxazosin modified release tablet 4mg,res24: other_antihypertensives,drug
CPRD_product_code,493,doxazosin tablets 2mg,res24: other_antihypertensives,drug
CPRD_product_code,1455,prazosin tablets 500 micrograms,res24: other_antihypertensives,drug
CPRD_product_code,26693,HYPOVASE BENIGN PROSTATIC HYPERPLASIA BD starter pack [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,1294,doxazosin tablets 4mg,res24: other_antihypertensives,drug
CPRD_product_code,1292,HYPOVASE tablets 1mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,726,prazosin tablets 2mg,res24: other_antihypertensives,drug
CPRD_product_code,755,CARDURA XL modified release tablet 4mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,4111,HYPOVASE tablets 500 micrograms [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,2348,HYTRIN BPH tablets 10mg [AMDIPHARM],res24: other_antihypertensives,drug
CPRD_product_code,2117,DORALESE TILTAB tablets 20mg [CHEMIDEX],res24: other_antihypertensives,drug
CPRD_product_code,2347,HYTRIN tablets 10mg [ABBOTT],res24: other_antihypertensives,drug
CPRD_product_code,2345,HYTRIN BPH starter pack [AMDIPHARM],res24: other_antihypertensives,drug
CPRD_product_code,2346,HYTRIN tablets 5mg [ABBOTT],res24: other_antihypertensives,drug
CPRD_product_code,3924,terazosin tablets 5mg,res24: other_antihypertensives,drug
CPRD_product_code,2630,DIXARIT tablets 25micrograms [BOEH INGL],res24: other_antihypertensives,drug
CPRD_product_code,2878,clonidine tablets 100micrograms,res24: other_antihypertensives,drug
CPRD_product_code,2816,indoramin tablets 20mg,res24: other_antihypertensives,drug
CPRD_product_code,3923,terazosin bph starter pack 7 x 1mg + 14 x 2mg + 7 x 5mg,res24: other_antihypertensives,drug
CPRD_product_code,3070,methyldopa tablets 500mg,res24: other_antihypertensives,drug
CPRD_product_code,3049,methyldopa tablets 125mg,res24: other_antihypertensives,drug
CPRD_product_code,3715,prazosin tablets 5mg,res24: other_antihypertensives,drug
CPRD_product_code,3470,terazosin tablets 1mg,res24: other_antihypertensives,drug
CPRD_product_code,4875,terazosin tablets 10mg,res24: other_antihypertensives,drug
CPRD_product_code,4406,DECASERPYL PLUS tablets [ROUSSEL],res24: other_antihypertensives,drug
CPRD_product_code,4215,CATAPRES tablets 100micrograms [BOEH INGL],res24: other_antihypertensives,drug
CPRD_product_code,7056,tamsulosin hydrochloride modified release tablet 400micrograms,res24: other_antihypertensives,drug
CPRD_product_code,4449,CARDURA tablets 1mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,4802,CARDURA tablets 2mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,4694,terazosin starter pack 7 x 1mg + 21 x 2mg,res24: other_antihypertensives,drug
CPRD_product_code,4637,terazosin tablets 2mg,res24: other_antihypertensives,drug
CPRD_product_code,6694,clonidine tablets 300micrograms,res24: other_antihypertensives,drug
CPRD_product_code,5289,clonidine modified release capsules 0.25mg,res24: other_antihypertensives,drug
CPRD_product_code,5183,HYPOVASE tablets 2mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,4993,moxonidine tablets 200micrograms,res24: other_antihypertensives,drug
CPRD_product_code,5337,HYTRIN BPH tablets 5mg [AMDIPHARM],res24: other_antihypertensives,drug
CPRD_product_code,6008,OMNIC MR capsules 400micrograms [P & B],res24: other_antihypertensives,drug
CPRD_product_code,5815,indoramin tablets 25mg,res24: other_antihypertensives,drug
CPRD_product_code,5496,doxazosin modified release tablet 8mg,res24: other_antihypertensives,drug
CPRD_product_code,5618,CARDURA XL modified release tablet 8mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,26238,ALPHAVASE tablets 1mg [ASHBOURNE],res24: other_antihypertensives,drug
CPRD_product_code,7642,ALDOMET tablets 500mg [M S D],res24: other_antihypertensives,drug
CPRD_product_code,15493,reserpine with hydrochlorothiazide tablets,res24: other_antihypertensives,drug
CPRD_product_code,9019,indoramin tablets 50mg,res24: other_antihypertensives,drug
CPRD_product_code,7626,ALDOMET tablets 250mg [M S D],res24: other_antihypertensives,drug
CPRD_product_code,7549,DOXADURA tablets 1mg [DISCOVERY],res24: other_antihypertensives,drug
CPRD_product_code,7416,ALDOMET injection 50mg/ml [M S D],res24: other_antihypertensives,drug
CPRD_product_code,7547,DOXADURA tablets 2mg [DISCOVERY],res24: other_antihypertensives,drug
CPRD_product_code,8942,DIBENYLINE capsules 10mg [GOLDSHIELD],res24: other_antihypertensives,drug
CPRD_product_code,8077,HYTRIN tablets 2mg [ABBOTT],res24: other_antihypertensives,drug
CPRD_product_code,8076,HYTRIN starter pack [AMDIPHARM],res24: other_antihypertensives,drug
CPRD_product_code,7759,phenoxybenzamine capsules 10mg,res24: other_antihypertensives,drug
CPRD_product_code,8033,ALDOMET tablets 125mg [M S D],res24: other_antihypertensives,drug
CPRD_product_code,8863,HYPOVASE BENIGN PROSTATIC HYPERPLASIA tablets 1mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,8086,CARDURA tablets 4mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,8296,CATAPRES PL PERLONGETS 0.25mg [BOEH INGL],res24: other_antihypertensives,drug
CPRD_product_code,8198,HYPOVASE tablets 5mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,14932,TABPHYN MR capsules 400micrograms [PROSTRAKAN],res24: other_antihypertensives,drug
CPRD_product_code,10253,moxonidine tablets 300micrograms,res24: other_antihypertensives,drug
CPRD_product_code,9749,PHYSIOTENS tablets 400micrograms [ABBOTT],res24: other_antihypertensives,drug
CPRD_product_code,9225,methyldopa capsules 250mg,res24: other_antihypertensives,drug
CPRD_product_code,9876,PHYSIOTENS tablets 300micrograms [ABBOTT],res24: other_antihypertensives,drug
CPRD_product_code,10134,FLOMAXTRA XL modified release tablet 400micrograms [ASTELLAS],res24: other_antihypertensives,drug
CPRD_product_code,10088,DOXADURA tablets 4mg [DISCOVERY],res24: other_antihypertensives,drug
CPRD_product_code,11177,PHYSIOTENS tablets 200micrograms [ABBOTT],res24: other_antihypertensives,drug
CPRD_product_code,14390,ALDOMET suspension 250mg/5ml [M S D],res24: other_antihypertensives,drug
CPRD_product_code,10714,methoserpidine tablets 5mg,res24: other_antihypertensives,drug
CPRD_product_code,10713,DECASERPYL tablets 5mg [ROUSSEL],res24: other_antihypertensives,drug
CPRD_product_code,13610,ALPHAVASE tablets 2mg [ASHBOURNE],res24: other_antihypertensives,drug
CPRD_product_code,12545,phentolamine mesilate injection 10mg/ml,res24: other_antihypertensives,drug
CPRD_product_code,11394,BARATOL tablets 25mg [SHIRE],res24: other_antihypertensives,drug
CPRD_product_code,12518,HYPOVASE BD starter pack [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,22454,DEMSER capsules 250mg [M S D],res24: other_antihypertensives,drug
CPRD_product_code,19216,DOXAZOSIN tablets 4mg [IVAX],res24: other_antihypertensives,drug
CPRD_product_code,26237,ALPHAVASE tablets 500 micrograms [ASHBOURNE],res24: other_antihypertensives,drug
CPRD_product_code,19193,DOXAZOSIN tablets 2mg [TEVA],res24: other_antihypertensives,drug
CPRD_product_code,16201,HYTRIN BPH tablets 2mg [AMDIPHARM],res24: other_antihypertensives,drug
CPRD_product_code,16198,BARATOL tablets 50mg [SHIRE],res24: other_antihypertensives,drug
CPRD_product_code,18252,METALPHA tablets 250mg [ASHBOURNE],res24: other_antihypertensives,drug
CPRD_product_code,16248,clonidine injection 150micrograms/ml,res24: other_antihypertensives,drug
CPRD_product_code,21502,SERPASIL tablets 100micrograms [NOV/CIBA],res24: other_antihypertensives,drug
CPRD_product_code,19892,SERPASIL -ESIDREX tablets [NOV/CIBA],res24: other_antihypertensives,drug
CPRD_product_code,19823,ALPHAVASE tablets 5mg [ASHBOURNE],res24: other_antihypertensives,drug
CPRD_product_code,21346,HYDROMET tablets [MSD MORSON],res24: other_antihypertensives,drug
CPRD_product_code,20369,doxazosin oral suspension 1mg/5ml,res24: other_antihypertensives,drug
CPRD_product_code,20690,reserpine tablets 250micrograms,res24: other_antihypertensives,drug
CPRD_product_code,20656,SERPASIL tablets 250micrograms [NOV/CIBA],res24: other_antihypertensives,drug
CPRD_product_code,25645,SEOMINAL tablets [STERLING],res24: other_antihypertensives,drug
CPRD_product_code,24196,DOPAMET tablets 250mg [BERK],res24: other_antihypertensives,drug
CPRD_product_code,23010,ROGITINE injection 10mg/ml [ALLIANCE],res24: other_antihypertensives,drug
CPRD_product_code,22853,reserpine tablets 100micrograms,res24: other_antihypertensives,drug
CPRD_product_code,23761,methyldopa suspension 250mg/5ml,res24: other_antihypertensives,drug
CPRD_product_code,23345,HYPERCAL tablets 2mg [CARLTON],res24: other_antihypertensives,drug
CPRD_product_code,23459,HYPOVASE BENIGN PROSTATIC HYPERPLASIA tablets 2mg [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,23380,CATAPRES tablets 300micrograms [BOEH INGL],res24: other_antihypertensives,drug
CPRD_product_code,25551,CASCOR tablets 4mg [RANBAXY],res24: other_antihypertensives,drug
CPRD_product_code,25047,HYPOVASE BENIGN PROSTATIC HYPERPLASIA tablets 500 micrograms [PFIZER],res24: other_antihypertensives,drug
CPRD_product_code,24369,PETYME MR capsules 400micrograms [TEVA],res24: other_antihypertensives,drug
CPRD_product_code,25275,METALPHA tablets 500mg [ASHBOURNE],res24: other_antihypertensives,drug
CPRD_product_code,25487,CASCOR tablets 2mg [RANBAXY],res24: other_antihypertensives,drug
CPRD_product_code,25393,DECASERPYL tablets 10mg [ROUSSEL],res24: other_antihypertensives,drug
CPRD_product_code,25289,DOPAMET tablets 500mg [BERK],res24: other_antihypertensives,drug
CPRD_product_code,35603,doxazosin oral suspension 4mg/5ml,res24: other_antihypertensives,drug
CPRD_product_code,30129,ABICOL tablets [KNOLL],res24: other_antihypertensives,drug
CPRD_product_code,28738,methyldopa with hydrochlorothiazide tablets,res24: other_antihypertensives,drug
CPRD_product_code,28441,PAMSVAX XL capsules 400micrograms [ARROW],res24: other_antihypertensives,drug
CPRD_product_code,27403,OMNIC MR capsules 400micrograms [ASTELLAS],res24: other_antihypertensives,drug
CPRD_product_code,26919,methyldopa injection 50mg/ml,res24: other_antihypertensives,drug
CPRD_product_code,29696,methoserpidine with benzthiazide tablets,res24: other_antihypertensives,drug
CPRD_product_code,29570,DOPAMET tablets 125mg [BERK],res24: other_antihypertensives,drug
CPRD_product_code,29187,methoserpidine tablets 10mg,res24: other_antihypertensives,drug
