Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,21894,Zaedoc 150 tablets (Ashbourne Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,53317,Ranitidine 75mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,36046,Omeprazole 40mg Gastro-resistant capsule (Teva UK Ltd),res25: gastroprotection,drug
CPRD_product_code,58244,Ranitidine 75mg/5ml oral solution sugar free (Almus Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,56569,Ranitidine 75mg/5ml oral solution sugar free (Teva UK Ltd),res25: gastroprotection,drug
CPRD_product_code,1394,Ranitidine 75mg/5ml oral solution sugar free,res25: gastroprotection,drug
CPRD_product_code,16092,Ranitidine 75mg effervescent tablets sugar free,res25: gastroprotection,drug
CPRD_product_code,34276,Ranitidine 75mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,21544,Rantec 300 tablets (Teva UK Ltd),res25: gastroprotection,drug
CPRD_product_code,32342,Ranitidine indigestion relief 75mg Tablet (A A H Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,24302,Rantec 150 tablets (Teva UK Ltd),res25: gastroprotection,drug
CPRD_product_code,9433,Zantac 150mg effervescent tablets (GlaxoSmithKline UK Ltd),res25: gastroprotection,drug
CPRD_product_code,54253,Ranitidine 75mg/5ml oral suspension,res25: gastroprotection,drug
CPRD_product_code,21901,Zaedoc 300 300mg Tablet (Ashbourne Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,26949,Ranitil 300mg tablets (Tillomed Laboratories Ltd),res25: gastroprotection,drug
CPRD_product_code,21565,Ranitil 150mg tablets (Tillomed Laboratories Ltd),res25: gastroprotection,drug
CPRD_product_code,49433,Omeprazole 40mg/5ml oral solution,res25: gastroprotection,drug
CPRD_product_code,1229,Zantac 150mg tablets (GlaxoSmithKline UK Ltd),res25: gastroprotection,drug
CPRD_product_code,3967,Zantac 150mg Dispersible tablet (Glaxo Laboratories Ltd),res25: gastroprotection,drug
CPRD_product_code,18225,Esomeprazole 40mg powder for solution for injection vials,res25: gastroprotection,drug
CPRD_product_code,18426,Acid-Eze 200mg tablets (Manx Healthcare Ltd),res25: gastroprotection,drug
CPRD_product_code,6490,Nexium 40mg gastro-resistant tablets (AstraZeneca UK Ltd),res25: gastroprotection,drug
CPRD_product_code,26208,Acitak 200mg Tablet (Opus Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,446,Cimetidine 200mg tablets,res25: gastroprotection,drug
CPRD_product_code,10622,Algitec Chewable tablet (GlaxoSmithKline Consumer Healthcare),res25: gastroprotection,drug
CPRD_product_code,41895,Acitak 800mg Tablet (Opus Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,21823,Acitak 400mg tablets (Opus Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,162,Arthrotec 50 gastro-resistant tablets (Pfizer Ltd),res25: gastroprotection,drug
CPRD_product_code,24301,Tagamet 100mg Tablet (GlaxoSmithKline Consumer Healthcare),res25: gastroprotection,drug
CPRD_product_code,27465,Zita 800mg Tablet (Eastern Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,34788,Cimetidine 200mg tablets (Actavis UK Ltd),res25: gastroprotection,drug
CPRD_product_code,41589,Cimetidine 200mg tablets (A A H Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,22643,Zita 400mg tablets (LPC Medical (UK) Ltd),res25: gastroprotection,drug
CPRD_product_code,3857,Tagamet 200mg Tablet (GlaxoSmithKline UK Ltd),res25: gastroprotection,drug
CPRD_product_code,51548,Nexium 20mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),res25: gastroprotection,drug
CPRD_product_code,9472,Tagamet 200mg/5ml Oral solution (GlaxoSmithKline UK Ltd),res25: gastroprotection,drug
CPRD_product_code,24092,Tagamet 200mg tablets (Chemidex Pharma Ltd),res25: gastroprotection,drug
CPRD_product_code,41501,Esomeprazole 10mg gastro-resistant granules sachets,res25: gastroprotection,drug
CPRD_product_code,2387,Arthrotec 75 gastro-resistant tablets (Pfizer Ltd),res25: gastroprotection,drug
CPRD_product_code,50269,Arthrotec 75 gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),res25: gastroprotection,drug
CPRD_product_code,1692,Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets,res25: gastroprotection,drug
CPRD_product_code,58842,Misofen 75mg / 200microgram gastro-resistant tablets (Morningside Healthcare Ltd),res25: gastroprotection,drug
CPRD_product_code,5269,Nexium 20mg gastro-resistant tablets (AstraZeneca UK Ltd),res25: gastroprotection,drug
CPRD_product_code,4880,Diclofenac sodium 75mg gastro-resistant / Misoprostol 200microgram tablets,res25: gastroprotection,drug
CPRD_product_code,58415,Diclofenac sodium 50mg gastro-resistant / Misoprostol 200microgram tablets (A A H Pharmaceuticals Lt,res25: gastroprotection,drug
CPRD_product_code,46744,Emozul 20mg gastro-resistant capsules (Consilient Health Ltd),res25: gastroprotection,drug
CPRD_product_code,53843,Esomeprazole 40mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,41454,Nexium 10mg gastro-resistant granules sachets (AstraZeneca UK Ltd),res25: gastroprotection,drug
CPRD_product_code,43995,Esomeprazole 20mg gastro-resistant capsules,res25: gastroprotection,drug
CPRD_product_code,46745,Emozul 40mg gastro-resistant capsules (Consilient Health Ltd),res25: gastroprotection,drug
CPRD_product_code,5604,Esomeprazole 40mg gastro-resistant tablets,res25: gastroprotection,drug
CPRD_product_code,5178,Esomeprazole 20mg gastro-resistant tablets,res25: gastroprotection,drug
CPRD_product_code,43948,Esomeprazole 40mg gastro-resistant capsules,res25: gastroprotection,drug
CPRD_product_code,41587,Cimetidine 200mg tablets (IVAX Pharmaceuticals UK Ltd),res25: gastroprotection,drug
CPRD_product_code,27808,Phimetin 800mg Tablet (BHR Pharmaceuticals Ltd),res25: gastroprotection,drug
CPRD_product_code,773,Misoprostol 200microgram tablets,res25: gastroprotection,drug
CPRD_product_code,29148,Phimetin 400mg Tablet (BHR Pharmaceuticals Ltd),res25: gastroprotection,drug
