Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,46951,Captopril 12.5mg tablets (A A H Pharmaceuticals Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,28820,Captomex 25mg tablets (Actavis UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,196,Enalapril 5mg tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,23478,Tensopril 50mg tablets (Teva UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,24482,Captomex 50mg tablets (Actavis UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,21943,Kaplon 12.5mg tablets (Teva UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,43566,Lisinopril 2.5mg tablets (Sandoz Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,57801,Perindopril erbumine 4mg tablets (Glenmark Generics (Europe) Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,26995,Kaplon 25mg tablets (Teva UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,28486,Captopril 6.25mg/5ml oral suspension,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,25998,Captomex 12.5mg tablets (Actavis UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,30039,Tensopril 25mg tablets (Teva UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,46851,Captopril 5mg/5ml oral solution,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,45228,Captopril capsules,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,35302,Captopril 12.5mg/5ml oral suspension,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,33646,Captopril 12.5mg Tablet (Generics (UK) Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,32048,Kaplon 50mg tablets (Teva UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,33336,Captopril 5mg/5ml Oral suspension (Eldon Laboratories),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,32514,Ecopace 25mg tablets (AMCo),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,34937,Captopril 50mg Tablet (IVAX Pharmaceuticals UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,34562,Captopril 25mg Tablet (IVAX Pharmaceuticals UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,34544,Captopril 12.5mg Tablet (IVAX Pharmaceuticals UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,34936,Captopril 25mg Tablet (Lagap),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,34719,Captopril 50mg Tablet (Generics (UK) Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,44527,Captopril 5mg/ml oral solution sugar free,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,41617,Captopril 25mg tablets (Actavis UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,39512,Captopril 25mg/5ml oral suspension,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,36742,Captopril 2mg/5ml oral suspension,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,37655,Captopril 25mg tablets (Teva UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,43649,Captopril 25mg tablets (A A H Pharmaceuticals Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,41743,Captopril 50mg tablets (Teva UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,41633,Captopril 12.5mg tablets (Actavis UK Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,43507,Captopril 25mg Tablet (Generics (UK) Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,43432,Captopril 6.25mg tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,60349,Noyada 25mg/5ml oral solution (Martindale Pharmaceuticals Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,52293,Captopril 2mg capsules,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,54544,Captopril 25mg/5ml oral suspension,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,21053,Vascace 500microgram tablets (Roche Products Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,46957,Captopril 12.5mg tablets (Tillomed Laboratories Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,52499,Captopril 25mg/5ml oral solution,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,59915,Captopril 25mg/5ml oral solution sugar free,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,56509,Capoten 12.5mg tablets (Dowelhurst Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,58195,Captopril 12.5mg/5ml oral solution,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,56850,Ecopace 12.5mg tablets (AMCo),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,16197,Vascace 2.5mg tablets (Roche Products Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,23642,Vascace 0.25mg Tablet (Roche Products Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,12412,Cilazapril 2.5mg tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,15605,Cilazapril 250micrograms tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,12411,Cilazapril 500microgram tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,16196,Vascace 5mg tablets (Roche Products Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,13026,Cilazapril 5mg tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,12574,Cilazapril 1mg tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,43418,Lisinopril 5mg tablets (A A H Pharmaceuticals Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,53719,Enalapril 20mg tablets (Alliance Healthcare (Distribution) Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,22439,Ednyt 20mg Tablet (Dominion Pharma),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,35794,Enalapril 5mg tablets (A A H Pharmaceuticals Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,20188,Enalapril 2.5mg wafer,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,8800,Innovace 5mg tablets (Merck Sharp & Dohme Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,1299,Enalapril 10mg tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,448,Enalapril 2.5mg tablets,res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,8106,Innovace 2.5mg tablets (Merck Sharp & Dohme Ltd),res25: M1_ACEI_loopdiuretic,drug
CPRD_product_code,1904,Enalapril 20mg tablets,res25: M1_ACEI_loopdiuretic,drug
