Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,57103,Metoject 27.5mg/0.55ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,12816,Methotrexate 100mg/ml Injection,res25: M3_methotrexate,drug
CPRD_product_code,56037,Methotrexate 2.5mg tablets (A A H Pharmaceuticals Ltd),res25: M3_methotrexate,drug
CPRD_product_code,9528,Methotrexate 5mg/2ml solution for injection vials,res25: M3_methotrexate,drug
CPRD_product_code,32111,Methotrexate 2.5mg tablets (Hospira UK Ltd),res25: M3_methotrexate,drug
CPRD_product_code,30780,Methotrexate 2.5mg Tablet (Pharmacia Ltd),res25: M3_methotrexate,drug
CPRD_product_code,53696,Methotrexate 50mg/2ml solution for injection vials (A A H Pharmaceuticals Ltd),res25: M3_methotrexate,drug
CPRD_product_code,30932,Methotrexate 5mg/0.2ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,30703,Methotrexate 30mg/1.2ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,14348,Metoject 20mg/2ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,29069,Methotrexate 500mg/vial sterile powder,res25: M3_methotrexate,drug
CPRD_product_code,877,Methotrexate 10mg tablets,res25: M3_methotrexate,drug
CPRD_product_code,14347,Methotrexate 20mg/0.8ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,823,Methotrexate 2.5mg tablets,res25: M3_methotrexate,drug
CPRD_product_code,7336,Methotrexate 12.5mg/0.5ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,13428,Maxtrex 2.5mg tablets (Pfizer Ltd),res25: M3_methotrexate,drug
CPRD_product_code,8583,Methotrexate 25mg/ml Injection,res25: M3_methotrexate,drug
CPRD_product_code,7337,Methotrexate 10mg/0.4ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,8327,Methotrexate 50mg/3ml Injection,res25: M3_methotrexate,drug
CPRD_product_code,28041,Methotrexate 12.5mg/5ml oral suspension,res25: M3_methotrexate,drug
CPRD_product_code,18890,Methotrexate 17.5mg/0.7ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,16519,Methotrexate 25mg/1ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,20951,Methotrexate 2.5mg tablets (AMCo),res25: M3_methotrexate,drug
CPRD_product_code,14748,Methotrexate sodium 25mg/ml Injection,res25: M3_methotrexate,drug
CPRD_product_code,18424,Methotrexate sodium 2.5mg Tablet,res25: M3_methotrexate,drug
CPRD_product_code,16540,Methotrexate 15mg/0.6ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,17672,Methotrexate 22.5mg/0.9ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,16570,Methotrexate 7.5mg/0.3ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,17035,Methotrexate 2.5mg/5ml oral suspension,res25: M3_methotrexate,drug
CPRD_product_code,27642,Methotrexate 27.5mg/1.1ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,24783,Methotrexate 50mg/2ml Injection,res25: M3_methotrexate,drug
CPRD_product_code,24634,Methotrexate 25mg/2.5ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,21753,Maxtrex 10mg tablets (Pfizer Ltd),res25: M3_methotrexate,drug
CPRD_product_code,21889,METHOTREXATE 25MG/1ML,res25: M3_methotrexate,drug
CPRD_product_code,27579,METHOTREXATE,res25: M3_methotrexate,drug
CPRD_product_code,26064,Methotrexate 20mg/2ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,27404,Methotrexate 15mg/1.5ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,27342,Maxtrex 2.5mg/ml Injection (Pharmacia Ltd),res25: M3_methotrexate,drug
CPRD_product_code,27400,Metoject 15mg/1.5ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,53385,Methotrexate 2.5mg tablets (Waymade Healthcare Plc),res25: M3_methotrexate,drug
CPRD_product_code,46152,Methotrexate 12.5mg/0.25ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,40301,Methotrexate 7.5mg/0.15ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,36849,Methotrexate 10mg/5ml oral suspension,res25: M3_methotrexate,drug
CPRD_product_code,36800,Methotrexate 10mg/5ml oral solution,res25: M3_methotrexate,drug
CPRD_product_code,33601,Metoject 25mg/2.5ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,32229,Methotrexate 500mg/20ml solution for injection vials,res25: M3_methotrexate,drug
CPRD_product_code,32865,Methotrexate 10mg/1ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,36167,Methotrexate 1g/10ml solution for injection vials,res25: M3_methotrexate,drug
CPRD_product_code,34929,Methotrexate 10mg tablets (Hospira UK Ltd),res25: M3_methotrexate,drug
CPRD_product_code,34258,Methotrexate 20mg/0.8ml Injection (Central Homecare),res25: M3_methotrexate,drug
CPRD_product_code,35865,Metoject 7.5mg/0.75ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,35402,Methotrexate 7.5mg/0.75ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,35752,Methotrexate 7.5mg/5ml oral suspension,res25: M3_methotrexate,drug
CPRD_product_code,52606,Methotrexate 2.5mg tablets (Sigma Pharmaceuticals Plc),res25: M3_methotrexate,drug
CPRD_product_code,40371,Methotrexate 10mg/0.2ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,37117,Metoject 10mg/1ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,40293,Metoject 25mg/0.5ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,40292,Metoject 20mg/0.4ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,40356,Metoject 10mg/0.2ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,40284,Metoject 15mg/0.3ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,40273,Methotrexate 20mg/0.4ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,40328,Methotrexate 25mg/0.5ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,40281,Methotrexate 15mg/0.3ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,40280,Metoject 7.5mg/0.15ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,46129,Methotrexate 22.5mg/0.45ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,45165,Methotrexate 20mg/1ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,41086,Methotrexate 5g/50ml solution for infusion vials,res25: M3_methotrexate,drug
CPRD_product_code,44908,Methotrexate 30mg/0.6ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,41104,Methotrexate 2.5mg tablets (Wockhardt UK Ltd),res25: M3_methotrexate,drug
CPRD_product_code,41585,Methotrexate sodium 2.5mg Tablet (Wyeth Pharmaceuticals),res25: M3_methotrexate,drug
CPRD_product_code,46098,Metoject 12.5mg/0.25ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,45558,Methotrexate 25mg/1.25ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,46039,Methotrexate 30mg/1.5ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,46265,Metoject 17.5mg/0.35ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,46197,Metoject 22.5mg/0.45ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,46156,Methotrexate 17.5mg/0.35ml solution for injection pre-filled syringes,res25: M3_methotrexate,drug
CPRD_product_code,51667,Methotrexate 200mg/8ml solution for injection vials,res25: M3_methotrexate,drug
CPRD_product_code,51120,Methotrexate 2.5mg tablets (Alliance Healthcare (Distribution) Ltd),res25: M3_methotrexate,drug
CPRD_product_code,50950,Metoject 30mg/0.6ml solution for injection pre-filled syringes (medac UK),res25: M3_methotrexate,drug
CPRD_product_code,46407,Methotrexate 1g/40ml solution for injection vials,res25: M3_methotrexate,drug
CPRD_product_code,49951,Methotrexate 2.5mg tablets (Sandoz Ltd),res25: M3_methotrexate,drug
CPRD_product_code,49547,Methotrexate 5g/200ml solution for infusion vials,res25: M3_methotrexate,drug
CPRD_product_code,51321,Methotrexate 50mg/2ml solution for injection vials,res25: M3_methotrexate,drug
CPRD_product_code,57174,Methotrexate 10mg tablets (Waymade Healthcare Plc),res25: M3_methotrexate,drug
CPRD_product_code,57441,Methotrexate 10mg tablets (A A H Pharmaceuticals Ltd),res25: M3_methotrexate,drug
CPRD_product_code,59538,Methotrexate 10mg tablets (Teva UK Ltd),res25: M3_methotrexate,drug
CPRD_product_code,58303,Methotrexate 2.5mg tablets (Orion Pharma (UK) Ltd),res25: M3_methotrexate,drug
CPRD_product_code,58885,Methotrexate 10mg tablets (Sigma Pharmaceuticals Plc),res25: M3_methotrexate,drug
CPRD_product_code,59723,Methotrexate 7.5mg/5ml oral solution,res25: M3_methotrexate,drug
CPRD_product_code,59685,Methotrexate 2.5mg tablets (Teva UK Ltd),res25: M3_methotrexate,drug
