Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,8041,Lithium carbonate 250mg tablets,res25: M4_lithium,drug
CPRD_product_code,3359,Priadel 200mg modified-release tablets (Sanofi),res25: M4_lithium,drug
CPRD_product_code,3352,Liskonum 450mg modified-release tablets (GlaxoSmithKline UK Ltd),res25: M4_lithium,drug
CPRD_product_code,760,Lithium carbonate 200mg modified-release tablets,res25: M4_lithium,drug
CPRD_product_code,1447,Lithium carbonate 400mg modified-release tablets,res25: M4_lithium,drug
CPRD_product_code,872,Priadel 400mg modified-release tablets (Sanofi),res25: M4_lithium,drug
CPRD_product_code,56427,Lithium citrate 509mg/5ml oral solution (Cubic Pharmaceuticals Ltd),res25: M4_lithium,drug
CPRD_product_code,12403,Camcolit 400 modified-release tablets (Norgine Pharmaceuticals Ltd),res25: M4_lithium,drug
CPRD_product_code,25344,Lithium carbonate 400mg Modified-release tablet (Approved Prescription Services Ltd),res25: M4_lithium,drug
CPRD_product_code,12402,Camcolit 250 tablets (Norgine Pharmaceuticals Ltd),res25: M4_lithium,drug
CPRD_product_code,8827,Lithium carbonate 300mg Modified-release tablet,res25: M4_lithium,drug
CPRD_product_code,15388,Phasal 300mg Tablet (Lagap),res25: M4_lithium,drug
CPRD_product_code,14954,Lithium carbonate 450mg modified-release tablets,res25: M4_lithium,drug
CPRD_product_code,16250,Lithonate 400mg modified-release tablets (Teva UK Ltd),res25: M4_lithium,drug
CPRD_product_code,51401,Priadel 400mg modified-release tablets (Necessity Supplies Ltd),res25: M4_lithium,drug
CPRD_product_code,25345,Li-Liquid 1.018g/5ml oral solution (Rosemont Pharmaceuticals Ltd),res25: M4_lithium,drug
CPRD_product_code,10809,Priadel 520mg/5ml liquid (Sanofi),res25: M4_lithium,drug
CPRD_product_code,56435,Lithium carbonate 200mg/5ml oral suspension,res25: M4_lithium,drug
CPRD_product_code,53459,Priadel 400mg modified-release tablets (Doncaster Pharmaceuticals Ltd),res25: M4_lithium,drug
CPRD_product_code,22018,Li-Liquid 509mg/5ml oral solution (Rosemont Pharmaceuticals Ltd),res25: M4_lithium,drug
CPRD_product_code,11491,Lithium citrate 520mg/5ml oral solution sugar free,res25: M4_lithium,drug
CPRD_product_code,10937,Lithium citrate 509mg/5ml oral solution,res25: M4_lithium,drug
CPRD_product_code,12648,Lithium citrate 1.018g/5ml oral solution,res25: M4_lithium,drug
CPRD_product_code,13654,Litarex 564mg modified-release tablets (Actavis UK Ltd),res25: M4_lithium,drug
CPRD_product_code,13601,Lithium citrate 564mg modified-release tablets,res25: M4_lithium,drug
