Coding System (Read),Codes,Description,Entity type,Category
Read,E030000,"Acute confusional state, post traumatic",res25: P13_psychosis,diagnostic
Read,E114.11,Manic-depressive - now manic,res25: P13_psychosis,diagnostic
Read,Eu13400,[X]Men & beh dis due seds/hypns: withdrwl state wth delirium,res25: P13_psychosis,diagnostic
Read,E030.12,Toxic confusional state,res25: P13_psychosis,diagnostic
Read,Eu15500,[X]Mental/behav dis oth stims inc caffeine: psychotic dis,res25: P13_psychosis,diagnostic
Read,Eu23214,[X]Schizophrenic reaction,res25: P13_psychosis,diagnostic
Read,Eu14500,[X]Mental & behav dis due to use cocaine: psychotic disorder,res25: P13_psychosis,diagnostic
Read,Eu13500,[X]Mental & behav dis due to seds/hypntcs: psychotic disordr,res25: P13_psychosis,diagnostic
Read,Eu23012,[X]Cycloid psychosis,res25: P13_psychosis,diagnostic
Read,Eu23212,[X]Brief schizophrenifrm psych,res25: P13_psychosis,diagnostic
Read,Eu19400,[X]Mnt/bh dis mlti drg use/oth psy sbs: wthdr state + dlrium,res25: P13_psychosis,diagnostic
Read,Eu16500,[X]Mental & behav dis due to hallucinogens: psychotic disord,res25: P13_psychosis,diagnostic
Read,Eu18400,[X]Men & beh dis vol solvents: withdrawal state wth delirium,res25: P13_psychosis,diagnostic
Read,Eu23011,[X]Bouffee delirante,res25: P13_psychosis,diagnostic
Read,Eu23.00,[X]Acute and transient psychotic disorders,res25: P13_psychosis,diagnostic
Read,Eu1A500,[X]Mental behav disord due crack cocaine: psychotic disorder,res25: P13_psychosis,diagnostic
Read,Eu19500,[X]Ment/behav dis mlti drug use/oth psyc sbs: psychotc dis,res25: P13_psychosis,diagnostic
Read,Eu23000,[X]Acute polymorphic psychot disord without symp of schizoph,res25: P13_psychosis,diagnostic
Read,Eu23211,[X]Brief schizophreniform disorder,res25: P13_psychosis,diagnostic
Read,Eu23100,[X]Acute polymorphic psychot disord with symp of schizophren,res25: P13_psychosis,diagnostic
Read,Eu23112,[X]Cycloid psychosis with symptoms of schizophrenia,res25: P13_psychosis,diagnostic
Read,Eu23200,[X]Acute schizophrenia-like psychotic disorder,res25: P13_psychosis,diagnostic
Read,Eu24.12,[X]Induced paranoid disorder,res25: P13_psychosis,diagnostic
Read,Eu23312,[X]Psychogenic paranoid psychosis,res25: P13_psychosis,diagnostic
Read,Eu24.00,[X]Induced delusional disorder,res25: P13_psychosis,diagnostic
Read,Eu23300,[X]Other acute predominantly delusional psychotic disorders,res25: P13_psychosis,diagnostic
Read,Eu23y00,[X]Other acute and transient psychotic disorders,res25: P13_psychosis,diagnostic
Read,Eu23z11,[X]Brief reactive psychosis NOS,res25: P13_psychosis,diagnostic
Read,Eu23z00,"[X]Acute and transient psychotic disorder, unspecified",res25: P13_psychosis,diagnostic
Read,Eu23z12,[X]Reactive psychosis,res25: P13_psychosis,diagnostic
Read,R001300,"[D]Hallucinations, tactile",res25: P13_psychosis,diagnostic
Read,R001000,"[D]Hallucinations, auditory",res25: P13_psychosis,diagnostic
Read,R001.00,[D]Hallucinations,res25: P13_psychosis,diagnostic
Read,Eu24.13,[X]Induced psychotic disorder,res25: P13_psychosis,diagnostic
Read,R001200,"[D]Hallucinations, olfactory",res25: P13_psychosis,diagnostic
Read,R001100,"[D]Hallucinations, gustatory",res25: P13_psychosis,diagnostic
Read,R001400,[D]Visual hallucinations,res25: P13_psychosis,diagnostic
Read,R001z00,[D]Hallucinations NOS,res25: P13_psychosis,diagnostic
Read,E030.11,Delirium - acute organic,res25: P13_psychosis,diagnostic
Read,E03z.00,Transient organic psychoses NOS,res25: P13_psychosis,diagnostic
Read,E030.00,Acute confusional state,res25: P13_psychosis,diagnostic
Read,E11z000,Unspecified affective psychoses NOS,res25: P13_psychosis,diagnostic
Read,E03..00,Transient organic psychoses,res25: P13_psychosis,diagnostic
Read,E14y000,Atypical childhood psychoses,res25: P13_psychosis,diagnostic
Read,E02z.00,Drug psychosis NOS,res25: P13_psychosis,diagnostic
Read,E130.00,Reactive depressive psychosis,res25: P13_psychosis,diagnostic
Read,E13..00,Other nonorganic psychoses,res25: P13_psychosis,diagnostic
Read,E100.00,Simple schizophrenia,res25: P13_psychosis,diagnostic
Read,E004200,Arteriosclerotic dementia with paranoia,res25: P13_psychosis,diagnostic
Read,E002z00,Senile dementia with depressive or paranoid features NOS,res25: P13_psychosis,diagnostic
Read,E001200,Presenile dementia with paranoia,res25: P13_psychosis,diagnostic
Read,E002000,Senile dementia with paranoia,res25: P13_psychosis,diagnostic
Read,E0y..00,Other specified organic psychoses,res25: P13_psychosis,diagnostic
Read,E00z.00,Senile or presenile psychoses NOS,res25: P13_psychosis,diagnostic
Read,E00y.00,Other senile and presenile organic psychoses,res25: P13_psychosis,diagnostic
Read,E00y.11,Presbyophrenic psychosis,res25: P13_psychosis,diagnostic
Read,E04z.00,Chronic organic psychosis NOS,res25: P13_psychosis,diagnostic
Read,E04..00,Other chronic organic psychoses,res25: P13_psychosis,diagnostic
Read,E04y.00,Other specified chronic organic psychoses,res25: P13_psychosis,diagnostic
Read,E105500,Latent schizophrenia in remission,res25: P13_psychosis,diagnostic
Read,E10..00,Schizophrenic disorders,res25: P13_psychosis,diagnostic
Read,E0z..00,Organic psychoses NOS,res25: P13_psychosis,diagnostic
Read,E12z.00,Paranoid psychosis NOS,res25: P13_psychosis,diagnostic
Read,E105200,Chronic latent schizophrenia,res25: P13_psychosis,diagnostic
Read,E100.11,Schizophrenia simplex,res25: P13_psychosis,diagnostic
Read,E12yz00,Other paranoid states NOS,res25: P13_psychosis,diagnostic
Read,E12..00,Paranoid states,res25: P13_psychosis,diagnostic
Read,E11zz00,Other affective psychosis NOS,res25: P13_psychosis,diagnostic
Read,E12y000,Paranoia querulans,res25: P13_psychosis,diagnostic
Read,E120.00,Simple paranoid state,res25: P13_psychosis,diagnostic
Read,E12y.00,Other paranoid states,res25: P13_psychosis,diagnostic
Read,E02yz00,Other drug psychoses NOS,res25: P13_psychosis,diagnostic
Read,E14z.11,Childhood schizophrenia NOS,res25: P13_psychosis,diagnostic
Read,E130.11,Psychotic reactive depression,res25: P13_psychosis,diagnostic
Read,E103z00,Paranoid schizophrenia NOS,res25: P13_psychosis,diagnostic
Read,E100000,Unspecified schizophrenia,res25: P13_psychosis,diagnostic
Read,E141.11,Heller's syndrome,res25: P13_psychosis,diagnostic
Read,E105000,Unspecified latent schizophrenia,res25: P13_psychosis,diagnostic
Read,E105.00,Latent schizophrenia,res25: P13_psychosis,diagnostic
Read,E141.00,Disintegrative psychosis,res25: P13_psychosis,diagnostic
Read,E102.00,Catatonic schizophrenia,res25: P13_psychosis,diagnostic
Read,E100300,Acute exacerbation of subchronic schizophrenia,res25: P13_psychosis,diagnostic
Read,E100100,Subchronic schizophrenia,res25: P13_psychosis,diagnostic
Read,E134.00,Psychogenic paranoid psychosis,res25: P13_psychosis,diagnostic
Read,E100400,Acute exacerbation of chronic schizophrenia,res25: P13_psychosis,diagnostic
Read,E100200,Chronic schizophrenic,res25: P13_psychosis,diagnostic
Read,E14z.00,Child psychosis NOS,res25: P13_psychosis,diagnostic
Read,E141100,Residual disintegrative psychoses,res25: P13_psychosis,diagnostic
Read,E101z00,Hebephrenic schizophrenia NOS,res25: P13_psychosis,diagnostic
Read,E100500,Schizophrenia in remission,res25: P13_psychosis,diagnostic
Read,E101.00,Hebephrenic schizophrenia,res25: P13_psychosis,diagnostic
Read,E104.11,Oneirophrenia,res25: P13_psychosis,diagnostic
Read,E100z00,Simple schizophrenia NOS,res25: P13_psychosis,diagnostic
Read,E104.00,Acute schizophrenic episode,res25: P13_psychosis,diagnostic
Read,E14yz00,Other childhood psychoses NOS,res25: P13_psychosis,diagnostic
Read,E101000,Unspecified hebephrenic schizophrenia,res25: P13_psychosis,diagnostic
Read,E101500,Hebephrenic schizophrenia in remission,res25: P13_psychosis,diagnostic
Read,E14y100,Borderline psychosis of childhood,res25: P13_psychosis,diagnostic
Read,E101400,Acute exacerbation of chronic hebephrenic schizophrenia,res25: P13_psychosis,diagnostic
Read,E14y.00,Other childhood psychoses,res25: P13_psychosis,diagnostic
Read,E02y000,Drug-induced delirium,res25: P13_psychosis,diagnostic
Read,E001100,Presenile dementia with delirium,res25: P13_psychosis,diagnostic
Read,E103500,Paranoid schizophrenia in remission,res25: P13_psychosis,diagnostic
Read,E102100,Subchronic catatonic schizophrenia,res25: P13_psychosis,diagnostic
Read,1BH3.00,Paranoid ideation,res25: P13_psychosis,diagnostic
Read,1BH1.00,Grandiose delusions,res25: P13_psychosis,diagnostic
Read,1BH2.00,Ideas of reference,res25: P13_psychosis,diagnostic
Read,E011000,Korsakov's alcoholic psychosis,res25: P13_psychosis,diagnostic
Read,E004100,Arteriosclerotic dementia with delirium,res25: P13_psychosis,diagnostic
Read,E102000,Unspecified catatonic schizophrenia,res25: P13_psychosis,diagnostic
Read,E003.00,Senile dementia with delirium,res25: P13_psychosis,diagnostic
Read,E010.12,Delirium tremens,res25: P13_psychosis,diagnostic
Read,E010.11,DTs - delirium tremens,res25: P13_psychosis,diagnostic
Read,E010.00,Alcohol withdrawal delirium,res25: P13_psychosis,diagnostic
Read,E021z00,Drug-induced paranoia or hallucinatory state NOS,res25: P13_psychosis,diagnostic
Read,E01yz00,Other alcoholic psychosis NOS,res25: P13_psychosis,diagnostic
Read,E103400,Acute exacerbation of chronic paranoid schizophrenia,res25: P13_psychosis,diagnostic
