Coding System (Read),Codes,Description,Entity type,Category
Read,L4359O,,res25: P16_thrombosis,diagnostic
Read,L096400,Pulmonary embolism following abortive pregnancy,res25: P16_thrombosis,diagnostic
Read,L433.12,Septic obstetric embolism,res25: P16_thrombosis,diagnostic
Read,L431200,Amniotic fluid pulm embolism - delivered + p/n complication,res25: P16_thrombosis,diagnostic
Read,K138000,Renal artery embolism,res25: P16_thrombosis,diagnostic
Read,J420.16,Mesenteric thrombus and/or embolus,res25: P16_thrombosis,diagnostic
Read,F050100,Embolism superior longitudinal sinus,res25: P16_thrombosis,diagnostic
Read,J420z00,Acute intestinal vascular insufficiency NOS,res25: P16_thrombosis,diagnostic
Read,J420000,Embolus of the superior mesenteric artery,res25: P16_thrombosis,diagnostic
Read,J420.18,Mesenteric thrombosis,res25: P16_thrombosis,diagnostic
Read,J420.17,Mesenteric embolism,res25: P16_thrombosis,diagnostic
Read,J420y00,Mesenteric thrombus NOS,res25: P16_thrombosis,diagnostic
Read,J420200,Thrombus of the superior mesenteric veins,res25: P16_thrombosis,diagnostic
Read,J420100,Thrombus of the superior mesenteric artery,res25: P16_thrombosis,diagnostic
Read,J420x00,Mesenteric embolus NOS,res25: P16_thrombosis,diagnostic
Read,J420300,Acute ischaemic colitis,res25: P16_thrombosis,diagnostic
Read,L431100,Amniotic fluid pulmonary embolism - delivered,res25: P16_thrombosis,diagnostic
Read,L431.00,Amniotic fluid pulmonary embolism,res25: P16_thrombosis,diagnostic
Read,L414.11,"DVT - deep venous thrombosis, postnatal",res25: P16_thrombosis,diagnostic
Read,L413.00,Antenatal deep vein thrombosis,res25: P16_thrombosis,diagnostic
Read,L414.00,Postnatal deep vein thrombosis,res25: P16_thrombosis,diagnostic
Read,L413000,Antenatal deep vein thrombosis unspecified,res25: P16_thrombosis,diagnostic
Read,L413.11,"DVT - deep venous thrombosis, antenatal",res25: P16_thrombosis,diagnostic
Read,L413z00,Antenatal deep vein thrombosis NOS,res25: P16_thrombosis,diagnostic
Read,L413100,Antenatal deep vein thrombosis - delivered,res25: P16_thrombosis,diagnostic
Read,L413200,Antenatal deep vein thrombosis with antenatal complication,res25: P16_thrombosis,diagnostic
Read,L4300NM,,res25: P16_thrombosis,diagnostic
Read,L417.00,Obstetric cerebral venous thrombosis,res25: P16_thrombosis,diagnostic
Read,L414000,Postnatal deep vein thrombosis unspecified,res25: P16_thrombosis,diagnostic
Read,L414z00,Postnatal deep vein thrombosis NOS,res25: P16_thrombosis,diagnostic
Read,L414200,Postnatal deep vein thrombosis with postnatal complication,res25: P16_thrombosis,diagnostic
Read,L43..11,Obstetric pulmonary embolus,res25: P16_thrombosis,diagnostic
Read,L4170G,,res25: P16_thrombosis,diagnostic
Read,L417000,Cerebral venous thrombosis in pregnancy,res25: P16_thrombosis,diagnostic
Read,L43..00,Obstetric pulmonary embolism,res25: P16_thrombosis,diagnostic
Read,L417100,Cerebral venous thrombosis in the puerperium,res25: P16_thrombosis,diagnostic
Read,L432.00,Obstetric blood-clot pulmonary embolism,res25: P16_thrombosis,diagnostic
Read,L4331,,res25: P16_thrombosis,diagnostic
Read,L43z100,Obstetric pulmonary embolism NOS - delivered,res25: P16_thrombosis,diagnostic
Read,L43z000,"Obstetric pulmonary embolism NOS, unspecified",res25: P16_thrombosis,diagnostic
Read,L4379F,,res25: P16_thrombosis,diagnostic
Read,ZV12900,[V] Personal history of pulmonary embolism,res25: P16_thrombosis,diagnostic
Read,L43z.00,Obstetric pulmonary embolism NOS,res25: P16_thrombosis,diagnostic
Read,ZV12811,[V] Personal history DVT- deep vein thrombosis,res25: P16_thrombosis,diagnostic
Read,L43z400,Obstetric pulmonary embolism NOS with postnatal complication,res25: P16_thrombosis,diagnostic
Read,ZV12800,[V] Personal history deep vein thrombosis,res25: P16_thrombosis,diagnostic
Read,SP32100,Thromboembolism after infusion,res25: P16_thrombosis,diagnostic
Read,SP12200,Post operative deep vein thrombosis,res25: P16_thrombosis,diagnostic
Read,L43zz00,Obstetric pulmonary embolism NOS,res25: P16_thrombosis,diagnostic
Read,F050000,Embolism cavernous sinus,res25: P16_thrombosis,diagnostic
Read,F050.00,Embolism of central nervous system venous sinus,res25: P16_thrombosis,diagnostic
Read,F05..00,Phlebitis and thrombophlebitis of intracranial sinuses,res25: P16_thrombosis,diagnostic
Read,14AT.00,History of myocardial infarction,res25: P16_thrombosis,diagnostic
Read,14A8.12,H/O: thrombosis,res25: P16_thrombosis,diagnostic
Read,14A8.11,H/O: embolism,res25: P16_thrombosis,diagnostic
Read,14A8.00,H/O: thrombo-embolism,res25: P16_thrombosis,diagnostic
Read,14A7.00,H/O: CVA/stroke,res25: P16_thrombosis,diagnostic
Read,14A3.00,H/O: myocardial infarct <60,res25: P16_thrombosis,diagnostic
