Coding System (Read),Codes,Description,Entity type,Category
Read,137..00,Tobacco consumption,res25: P18_smoking_status,diagnostic
Read,1374,Moderate smoker - 10-19 cigs/d,res25: P18_smoking_status,diagnostic
Read,1373,Light smoker - 1-9 cigs/day,res25: P18_smoking_status,diagnostic
Read,1372.11,Occasional smoker,res25: P18_smoking_status,diagnostic
Read,1371,Never smoked tobacco,res25: P18_smoking_status,diagnostic
Read,137Z.00,Tobacco consumption NOS,res25: P18_smoking_status,diagnostic
Read,1371.11,Non-smoker,res25: P18_smoking_status,diagnostic
Read,1372,Trivial smoker - < 1 cig/day,res25: P18_smoking_status,diagnostic
Read,1377,Ex-trivial smoker (<1/day),res25: P18_smoking_status,diagnostic
Read,1375,Heavy smoker - 20-39 cigs/day,res25: P18_smoking_status,diagnostic
Read,1379,Ex-moderate smoker (10-19/day),res25: P18_smoking_status,diagnostic
Read,1376,Very heavy smoker - 40+cigs/d,res25: P18_smoking_status,diagnostic
Read,1378,Ex-light smoker (1-9/day),res25: P18_smoking_status,diagnostic
Read,137W.00,Chews tobacco,res25: P18_smoking_status,diagnostic
Read,137e.00,Smoking restarted,res25: P18_smoking_status,diagnostic
Read,137B.00,Ex-very heavy smoker (40+/day),res25: P18_smoking_status,diagnostic
Read,137A.00,Ex-heavy smoker (20-39/day),res25: P18_smoking_status,diagnostic
Read,137a.00,Pipe tobacco consumption,res25: P18_smoking_status,diagnostic
Read,137..11,Smoker - amount smoked,res25: P18_smoking_status,diagnostic
Read,137E.00,Tobacco consumption unknown,res25: P18_smoking_status,diagnostic
Read,137b.00,Ready to stop smoking,res25: P18_smoking_status,diagnostic
Read,137T.00,Date ceased smoking,res25: P18_smoking_status,diagnostic
Read,137J.00,Cigar smoker,res25: P18_smoking_status,diagnostic
Read,137D.00,Admitted tobacco cons untrue ?,res25: P18_smoking_status,diagnostic
Read,137d.00,Not interested in stopping smoking,res25: P18_smoking_status,diagnostic
Read,137c.00,Thinking about stopping smoking,res25: P18_smoking_status,diagnostic
Read,137C.00,Keeps trying to stop smoking,res25: P18_smoking_status,diagnostic
Read,137G.00,Trying to give up smoking,res25: P18_smoking_status,diagnostic
Read,137h.00,Minutes from waking to first tobacco consumption,res25: P18_smoking_status,diagnostic
Read,137F.00,Ex-smoker - amount unknown,res25: P18_smoking_status,diagnostic
Read,137H.00,Pipe smoker,res25: P18_smoking_status,diagnostic
Read,137g.00,Cigarette pack-years,res25: P18_smoking_status,diagnostic
Read,137j.00,Ex-cigarette smoker,res25: P18_smoking_status,diagnostic
Read,137S.00,Ex smoker,res25: P18_smoking_status,diagnostic
Read,137R.00,Current smoker,res25: P18_smoking_status,diagnostic
Read,137K.00,Stopped smoking,res25: P18_smoking_status,diagnostic
Read,137m.00,Failed attempt to stop smoking,res25: P18_smoking_status,diagnostic
Read,137L.00,Current non-smoker,res25: P18_smoking_status,diagnostic
Read,137l.00,Ex roll-up cigarette smoker,res25: P18_smoking_status,diagnostic
Read,137K000,Recently stopped smoking,res25: P18_smoking_status,diagnostic
Read,137Q.11,Smoking restarted,res25: P18_smoking_status,diagnostic
Read,137M.00,Rolls own cigarettes,res25: P18_smoking_status,diagnostic
Read,137Q.00,Smoking started,res25: P18_smoking_status,diagnostic
Read,137N.00,Ex pipe smoker,res25: P18_smoking_status,diagnostic
Read,137O.00,Ex cigar smoker,res25: P18_smoking_status,diagnostic
Read,137P.11,Smoker,res25: P18_smoking_status,diagnostic
Read,137P.00,Cigarette smoker,res25: P18_smoking_status,diagnostic
Read,137o.00,Waterpipe tobacco consumption,res25: P18_smoking_status,diagnostic
Read,137f.00,Reason for restarting smoking,res25: P18_smoking_status,diagnostic
Read,137U.00,Not a passive smoker,res25: P18_smoking_status,diagnostic
Read,137X.00,Cigarette consumption,res25: P18_smoking_status,diagnostic
Read,137Y.00,Cigar consumption,res25: P18_smoking_status,diagnostic
Read,137V.00,Smoking reduced,res25: P18_smoking_status,diagnostic
