Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,38349,Clopidogrel 300mg tablets,res25: P3_clopidogrel,drug
CPRD_product_code,836,Plavix 75mg tablets (Sanofi),res25: P3_clopidogrel,drug
CPRD_product_code,489,Clopidogrel 75mg tablets,res25: P3_clopidogrel,drug
CPRD_product_code,38998,Plavix 300mg tablets (Sanofi),res25: P3_clopidogrel,drug
CPRD_product_code,40913,Grepid 75mg tablets (Beacon Pharmaceuticals Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,42750,Clopidogrel 75mg tablets (Actavis UK Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,57036,Clopidogrel 75mg tablets (Generics (UK) Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,56807,Clopidogrel 75mg tablets (Teva UK Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,55161,Clopidogrel 75mg tablets (Wockhardt UK Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,54700,Clopidogrel 75mg tablets (A A H Pharmaceuticals Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,45905,Clopidogrel 1mg/ml oral suspension,res25: P3_clopidogrel,drug
CPRD_product_code,53751,Clopidogrel 75mg tablets (Phoenix Healthcare Distribution Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,52761,Clopidogrel 75mg tablets (Dr Reddy's Laboratories (UK) Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,46891,Clopidogrel 75mg/5ml oral suspension,res25: P3_clopidogrel,drug
CPRD_product_code,58448,Clopidogrel 75mg tablets (Aspire Pharma Ltd),res25: P3_clopidogrel,drug
CPRD_product_code,58347,Clopidogrel 75mg tablets (DE Pharmaceuticals),res25: P3_clopidogrel,drug
CPRD_product_code,17817,CLOPIDOGREL FC,res25: P3_clopidogrel,drug
CPRD_product_code,59904,Clopidogrel 75mg/5ml oral solution,res25: P3_clopidogrel,drug
