Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,18220,Pioglitazone 15mg / Metformin 850mg tablets,res25: P5_glitazone,drug
CPRD_product_code,19472,Actos 45mg tablets (Takeda UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,57659,Pioglitazone 30mg tablets (Actavis UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,10051,Pioglitazone 45mg tablets,res25: P5_glitazone,drug
CPRD_product_code,48139,Pioglitazone 30mg tablets (A A H Pharmaceuticals Ltd),res25: P5_glitazone,drug
CPRD_product_code,9699,Pioglitazone 30mg tablets,res25: P5_glitazone,drug
CPRD_product_code,30316,Metformin with pioglitazone 850mg + 15mg Tablet,res25: P5_glitazone,drug
CPRD_product_code,20889,Actos 30mg tablets (Takeda UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,548,Pioglitazone 15mg tablets,res25: P5_glitazone,drug
CPRD_product_code,14164,Avandamet 2mg/1000mg tablets (GlaxoSmithKline UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,11610,Metformin with rosiglitazone 500mg + 2mg Tablet,res25: P5_glitazone,drug
CPRD_product_code,11760,Metformin with rosiglitazone 1000mg + 2mg Tablet,res25: P5_glitazone,drug
CPRD_product_code,11609,Metformin with rosiglitazone 500mg + 1mg Tablet,res25: P5_glitazone,drug
CPRD_product_code,11737,Metformin with rosiglitazone 1000mg + 4mg Tablet,res25: P5_glitazone,drug
CPRD_product_code,11717,Rosiglitazone 2mg / Metformin 1g tablets,res25: P5_glitazone,drug
CPRD_product_code,7325,Avandamet 4mg/1000mg tablets (GlaxoSmithKline UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,7375,Rosiglitazone 4mg / Metformin 1g tablets,res25: P5_glitazone,drug
CPRD_product_code,15232,Avandia 8mg tablets (GlaxoSmithKline UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,20287,Actos 15mg tablets (Takeda UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,31077,Competact 15mg/850mg tablets (Takeda UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,9662,Avandia 4mg tablets (GlaxoSmithKline UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,5227,Rosiglitazone 8mg tablets,res25: P5_glitazone,drug
CPRD_product_code,469,Rosiglitazone 4mg tablets,res25: P5_glitazone,drug
CPRD_product_code,56376,Rosiglitazone 4mg with glimepiride 4mg tablet,res25: P5_glitazone,drug
CPRD_product_code,48120,Avandia 2mg Tablet (GlaxoSmithKline UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,37617,Rosiglitazone 2mg tablet,res25: P5_glitazone,drug
CPRD_product_code,11601,Rosiglitazone 2mg / Metformin 500mg tablets,res25: P5_glitazone,drug
CPRD_product_code,6855,Avandamet 2mg/500mg tablets (GlaxoSmithKline UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,17580,Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd),res25: P5_glitazone,drug
CPRD_product_code,11604,Rosiglitazone 1mg / Metformin 500mg tablets,res25: P5_glitazone,drug
CPRD_product_code,56208,Pioglitazone 15mg tablets (A A H Pharmaceuticals Ltd),res25: P5_glitazone,drug
