Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,20844,Digoxin 250microgram tablets (Actavis UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,16366,Digamex 125microgram tablets (Actavis UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,9522,Digoxin 500micrograms/2ml solution for infusion ampoules,res25: P9_digoxin,drug
CPRD_product_code,3705,Lanoxin -pg 50microgram/ml Oral solution (Wellcome Medical Division),res25: P9_digoxin,drug
CPRD_product_code,3286,Digoxin 50micrograms/ml oral solution,res25: P9_digoxin,drug
CPRD_product_code,94,Digoxin 250microgram tablets,res25: P9_digoxin,drug
CPRD_product_code,36,Digoxin 125microgram tablets,res25: P9_digoxin,drug
CPRD_product_code,333,Digitalis 30mg tablets,res25: P9_digoxin,drug
CPRD_product_code,17169,Digitalis 60mg tablets,res25: P9_digoxin,drug
CPRD_product_code,3181,Lanoxin 250microgram Tablet (Wellcome Medical Division),res25: P9_digoxin,drug
CPRD_product_code,792,Digoxin 62.5microgram tablets,res25: P9_digoxin,drug
CPRD_product_code,2511,Lanoxin 125 tablets (Aspen Pharma Trading Ltd),res25: P9_digoxin,drug
CPRD_product_code,2302,Lanoxin -pg 62.5microgram Tablet (Wellcome Medical Division),res25: P9_digoxin,drug
CPRD_product_code,33675,Digoxin 125microgram tablets (Approved Prescription Services Ltd),res25: P9_digoxin,drug
CPRD_product_code,20944,Digoxin 62.5microgram tablets (Actavis UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,48587,Digoxin 50micrograms/ml oral solution,res25: P9_digoxin,drug
CPRD_product_code,33612,Digoxin 250microgram tablets (A A H Pharmaceuticals Ltd),res25: P9_digoxin,drug
CPRD_product_code,27523,Lanoxin 500micrograms/2ml solution for infusion ampoules (Aspen Pharma Trading Ltd),res25: P9_digoxin,drug
CPRD_product_code,25238,Digamex 250microgram tablets (Actavis UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,33274,Digoxin 100micrograms/1ml solution for injection ampoules,res25: P9_digoxin,drug
CPRD_product_code,29282,Digamex 62.5microgram tablets (Actavis UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,33080,Digoxin 125microgram tablets (Actavis UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,47813,Digoxin 62.5microgram Tablet (Celltech Pharma Europe Ltd),res25: P9_digoxin,drug
CPRD_product_code,34519,Digoxin 125microgram tablets (A A H Pharmaceuticals Ltd),res25: P9_digoxin,drug
CPRD_product_code,34023,Digoxin 62.5microgram tablets (IVAX Pharmaceuticals UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,34017,Digoxin 125microgram Tablet (IVAX Pharmaceuticals UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,34328,Digoxin 250micrograms tablets,res25: P9_digoxin,drug
CPRD_product_code,34024,Digoxin 250microgram tablets (IVAX Pharmaceuticals UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,34327,Digoxin 62.5microgram tablets (Teva UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,40245,Digoxin 250microgram tablets (Teva UK Ltd),res25: P9_digoxin,drug
CPRD_product_code,34948,Digoxin 62.5microgram tablets (A A H Pharmaceuticals Ltd),res25: P9_digoxin,drug
CPRD_product_code,43577,Lanoxin PG 50micrograms/ml elixir (Aspen Pharma Trading Ltd),res25: P9_digoxin,drug
CPRD_product_code,42990,Lanoxin 250microgram tablets (Aspen Pharma Trading Ltd),res25: P9_digoxin,drug
CPRD_product_code,42989,Lanoxin PG 62.5microgram tablets (Aspen Pharma Trading Ltd),res25: P9_digoxin,drug
CPRD_product_code,54117,Digoxin 125micrograms/5ml oral solution,res25: P9_digoxin,drug
CPRD_product_code,27547,DIGOXIN,res25: P9_digoxin,drug
CPRD_product_code,25043,DIGOXIN,res25: P9_digoxin,drug
CPRD_product_code,3308,DIGOXIN .25 MG TAB,res25: P9_digoxin,drug
CPRD_product_code,24719,DIGOXIN,res25: P9_digoxin,drug
