Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,34087,Warfarin 1mg Tablet (Celltech Pharma Europe Ltd),res25: warfarin,drug
CPRD_product_code,6262,Warfarin 500microgram tablets,res25: warfarin,drug
CPRD_product_code,34086,Warfarin 3mg Tablet (Celltech Pharma Europe Ltd),res25: warfarin,drug
CPRD_product_code,45,Warfarin 1mg tablets,res25: warfarin,drug
CPRD_product_code,1781,Warfarin 5mg tablets,res25: warfarin,drug
CPRD_product_code,833,Warfarin 3mg/5ml oral solution,res25: warfarin,drug
CPRD_product_code,61,Warfarin 3mg tablets,res25: warfarin,drug
CPRD_product_code,34019,Warfarin 1mg tablets (IVAX Pharmaceuticals UK Ltd),res25: warfarin,drug
CPRD_product_code,8466,Marevan 1mg tablets (AMCo),res25: warfarin,drug
CPRD_product_code,23078,Warfarin 1mg Tablet (WB Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,17965,Marevan 500microgram tablets (AMCo),res25: warfarin,drug
CPRD_product_code,8467,Marevan 3mg tablets (AMCo),res25: warfarin,drug
CPRD_product_code,13348,Marevan 5mg tablets (AMCo),res25: warfarin,drug
CPRD_product_code,33711,Warfarin 5mg Tablet (WB Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,30203,Warfarin wbp 3mg Tablet (Boehringer Ingelheim Ltd),res25: warfarin,drug
CPRD_product_code,30202,Warfarin wbp 1mg Tablet (Boehringer Ingelheim Ltd),res25: warfarin,drug
CPRD_product_code,31937,Warfarin 5mg tablets (Teva UK Ltd),res25: warfarin,drug
CPRD_product_code,31511,Warfarin 3mg Tablet (WB Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,44866,Warfarin sodium 1mg/ml oral supension SF,res25: warfarin,drug
CPRD_product_code,34299,Warfarin 1mg tablets (Teva UK Ltd),res25: warfarin,drug
CPRD_product_code,34691,Warfarin 5mg Tablet (Regent Laboratories Ltd),res25: warfarin,drug
CPRD_product_code,34095,Warfarin wbp 5mg Tablet (Boehringer Ingelheim Ltd),res25: warfarin,drug
CPRD_product_code,34088,Warfarin 5mg Tablet (Celltech Pharma Europe Ltd),res25: warfarin,drug
CPRD_product_code,34576,Warfarin 1mg Tablet (Lagap),res25: warfarin,drug
CPRD_product_code,34416,Warfarin 1mg tablets (Kent Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,34417,Warfarin 3mg tablets (Teva UK Ltd),res25: warfarin,drug
CPRD_product_code,34526,Warfarin 3mg tablets (Generics (UK) Ltd),res25: warfarin,drug
CPRD_product_code,34418,Warfarin 5mg tablets (Generics (UK) Ltd),res25: warfarin,drug
CPRD_product_code,34517,Warfarin 1mg tablets (Generics (UK) Ltd),res25: warfarin,drug
CPRD_product_code,38041,Warfarin sodium 5mg/ml oral suspension,res25: warfarin,drug
CPRD_product_code,34758,Warfarin 3mg tablets (IVAX Pharmaceuticals UK Ltd),res25: warfarin,drug
CPRD_product_code,36099,Warfarin 1mg/5ml oral suspension,res25: warfarin,drug
CPRD_product_code,34864,Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd),res25: warfarin,drug
CPRD_product_code,34918,Warfarin 5mg tablets (Actavis UK Ltd),res25: warfarin,drug
CPRD_product_code,43655,Warfarin sodium oral solution,res25: warfarin,drug
CPRD_product_code,43409,Warfarin 5mg tablets (A A H Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,39866,Warfarin 1mg tablets (Almus Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,38044,Warfarin 5mg/5ml oral solution,res25: warfarin,drug
CPRD_product_code,43408,Warfarin 1mg tablets (A A H Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,40143,Warfarin 500microgram tablets (A A H Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,43407,Warfarin 3mg tablets (A A H Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,56314,Warfarin 3mg tablets (Kent Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,47944,Warfarin 1mg tablets (Actavis UK Ltd),res25: warfarin,drug
CPRD_product_code,51496,Warfarin 1mg tablets (Phoenix Healthcare Distribution Ltd),res25: warfarin,drug
CPRD_product_code,51484,Warfarin 1mg tablets (Bristol Laboratories Ltd),res25: warfarin,drug
CPRD_product_code,48070,Warfarin sodium tablets,res25: warfarin,drug
CPRD_product_code,50000,Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd),res25: warfarin,drug
CPRD_product_code,51509,Warfarin 1mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd),res25: warfarin,drug
CPRD_product_code,55316,Warfarin 3mg/5ml oral suspension,res25: warfarin,drug
CPRD_product_code,54946,Warfarin 3mg tablets (Actavis UK Ltd),res25: warfarin,drug
CPRD_product_code,53745,Warfarin 3mg tablets (Bristol Laboratories Ltd),res25: warfarin,drug
CPRD_product_code,53752,Warfarin 1mg tablets (Alliance Healthcare (Distribution) Ltd),res25: warfarin,drug
CPRD_product_code,60589,Warfarin 500microgram tablets (Actavis UK Ltd),res25: warfarin,drug
CPRD_product_code,58787,Warfarin 5mg tablets (Alliance Healthcare (Distribution) Ltd),res25: warfarin,drug
CPRD_product_code,58519,Warfarin 1mg tablets (DE Pharmaceuticals),res25: warfarin,drug
CPRD_product_code,59578,Warfarin 3mg tablets (Phoenix Healthcare Distribution Ltd),res25: warfarin,drug
CPRD_product_code,58962,Warfarin 3mg tablets (DE Pharmaceuticals),res25: warfarin,drug
CPRD_product_code,59400,Warfarin 500microgram tablets (Sigma Pharmaceuticals Plc),res25: warfarin,drug
