Coding System (Multilex),Codes,Description,Entity type,Category
Multilex,93714020,Tramquel SR 150mg capsules (Beechmere Pharmaceuticals Ltd),res38: Opioid analgesics,drug
Multilex,93848020,Tramadol 50mg modified-release tablets,res38: Opioid analgesics,drug
Multilex,15644021,Co-codamol 30mg/500mg caplets (J M McGill Ltd),res38: Opioid analgesics,drug
Multilex,49433020,Codeine 60mg tablets (Wockhardt UK Ltd),res38: Opioid analgesics,drug
Multilex,04522020,Marol 200mg modified-release tablets (Teva UK Ltd),res38: Opioid analgesics,drug
Multilex,94182020,Methadone Oral solution,res38: Opioid analgesics,drug
Multilex,52616020,Df118 30mg Tablet (Martindale Pharmaceuticals Ltd),res38: Opioid analgesics,drug
Multilex,64275020,Buprenorphine 200microgram sublingual tablets sugar free,res38: Opioid analgesics,drug
Multilex,96377020,Fentanyl 800microgram buccal tablets sugar free,res38: Opioid analgesics,drug
Multilex,04527020,Tramadol 100mg modified-release capsules (Alliance Healthcare (Distribution) Ltd),res38: Opioid analgesics,drug
Multilex,04524020,Tramadol 50mg modified-release capsules (A A H Pharmaceuticals Ltd),res38: Opioid analgesics,drug
Multilex,04555020,OxyNorm 10mg capsules (DE Pharmaceuticals),res38: Opioid analgesics,drug
Multilex,10627020,OxyContin 5mg modified-release tablets (DE Pharmaceuticals),res38: Opioid analgesics,drug
Multilex,04529020,Tramadol 100mg modified-release capsules (A A H Pharmaceuticals Ltd),res38: Opioid analgesics,drug
Multilex,04552020,OxyNorm 10mg capsules (Waymade Healthcare Plc),res38: Opioid analgesics,drug
Multilex,04541020,Zamadol SR 200mg capsules (Lexon (UK) Ltd),res38: Opioid analgesics,drug
Multilex,04551020,OxyNorm 5mg capsules (DE Pharmaceuticals),res38: Opioid analgesics,drug
Multilex,04549020,OxyNorm 5mg capsules (Lexon (UK) Ltd),res38: Opioid analgesics,drug
Multilex,04563020,OxyContin 10mg modified-release tablets (Mawdsley-Brooks & Company Ltd),res38: Opioid analgesics,drug
Multilex,04559020,OxyNorm 20mg capsules (DE Pharmaceuticals),res38: Opioid analgesics,drug
Multilex,04562020,OxyContin 10mg modified-release tablets (Lexon (UK) Ltd),res38: Opioid analgesics,drug
Multilex,04567020,OxyContin 20mg modified-release tablets (Lexon (UK) Ltd),res38: Opioid analgesics,drug
Multilex,04578020,Morphine 10mg modified-release tablets (Sigma Pharmaceuticals Plc),res38: Opioid analgesics,drug
Multilex,04564020,OxyContin 10mg modified-release tablets (DE Pharmaceuticals),res38: Opioid analgesics,drug
Multilex,04576020,OxyContin 80mg modified-release tablets (Mawdsley-Brooks & Company Ltd),res38: Opioid analgesics,drug
Multilex,49432020,Codeine 30mg tablets (Wockhardt UK Ltd),res38: Opioid analgesics,drug
Multilex,31027020,Morphine hydrochloride 10mg/5ml oral solution (Special Order),res38: Opioid analgesics,drug
Multilex,42187020,Longtec 80mg modified-release tablets (Qdem Pharmaceuticals Ltd),res38: Opioid analgesics,drug
Multilex,39814020,Tramadol 50mg capsules (Accord Healthcare Ltd),res38: Opioid analgesics,drug
Multilex,41379020,Dypracet 20mg/500mg tablets (Auden McKenzie (Pharma Division) Ltd),res38: Opioid analgesics,drug
Multilex,41378020,Co-codamol 30mg/500mg caplets (AMCo),res38: Opioid analgesics,drug
Multilex,42186020,Longtec 40mg modified-release tablets (Qdem Pharmaceuticals Ltd),res38: Opioid analgesics,drug
