Coding System (Multilex),Codes,Description,Entity type,Category
Multilex,65381020,Citalopram 20mg tablets (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,74051020,Sertraline 100mg tablets,res38: SSRI ADDs,drug
Multilex,74047020,Lustral 100mg tablets (Pfizer Ltd),res38: SSRI ADDs,drug
Multilex,79421020,Cipramil 10mg tablets (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,74425020,Fluoxetine 20mg Capsule (Milpharm Ltd),res38: SSRI ADDs,drug
Multilex,74050020,Sertraline 50mg tablets,res38: SSRI ADDs,drug
Multilex,75620020,Sertraline 50mg tablets (Almus Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,72933020,Paroxetine 30mg tablets,res38: SSRI ADDs,drug
Multilex,72934020,Paroxetine 10mg/5ml oral suspension sugar free,res38: SSRI ADDs,drug
Multilex,72937020,Seroxat 20mg tablets (GlaxoSmithKline UK Ltd),res38: SSRI ADDs,drug
Multilex,72938020,Seroxat 30mg tablets (GlaxoSmithKline UK Ltd),res38: SSRI ADDs,drug
Multilex,72932020,Paroxetine 20mg tablets,res38: SSRI ADDs,drug
Multilex,72095020,Sertraline 100mg tablets (Teva UK Ltd),res38: SSRI ADDs,drug
Multilex,72939020,Seroxat 20mg/10ml liquid (GlaxoSmithKline UK Ltd),res38: SSRI ADDs,drug
Multilex,65376020,Citalopram 10mg tablets (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,61439020,Fluoxetine 20mg capsules (Wockhardt UK Ltd),res38: SSRI ADDs,drug
Multilex,61420020,Fluoxetine 20mg capsules (Niche Generics Ltd),res38: SSRI ADDs,drug
Multilex,61409020,Fluoxetine 20mg capsules (Generics (UK) Ltd),res38: SSRI ADDs,drug
Multilex,03997020,Citalopram 20mg tablets (Bristol Laboratories Ltd),res38: SSRI ADDs,drug
Multilex,61084020,Fluoxetine 20mg capsules (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,03985020,Citalopram 20mg tablets (Alliance Healthcare (Distribution) Ltd),res38: SSRI ADDs,drug
Multilex,03837020,Prozac 20mg capsules (Lexon (UK) Ltd),res38: SSRI ADDs,drug
Multilex,60735020,Fluvoxamine 100mg tablets (IVAX Pharmaceuticals UK Ltd),res38: SSRI ADDs,drug
Multilex,04003020,Citalopram 10mg tablets (Kent Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,61387020,Fluoxetine 20mg capsules (Sandoz Ltd),res38: SSRI ADDs,drug
Multilex,04004020,Citalopram 10mg tablets (Alliance Healthcare (Distribution) Ltd),res38: SSRI ADDs,drug
Multilex,04011020,Citalopram 10mg tablets (Bristol Laboratories Ltd),res38: SSRI ADDs,drug
Multilex,04007020,Citalopram 10mg tablets (Arrow Generics Ltd),res38: SSRI ADDs,drug
Multilex,55602020,Cipralex 20mg tablets (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,20738020,Sertraline 100mg/5ml oral suspension,res38: SSRI ADDs,drug
Multilex,33816020,Sertraline 25mg/5ml oral suspension,res38: SSRI ADDs,drug
Multilex,38526020,Citalopram 20mg tablets (DE Pharmaceuticals),res38: SSRI ADDs,drug
Multilex,53823020,Escitalopram 20mg tablets,res38: SSRI ADDs,drug
Multilex,49680020,Felicium 20mg capsules (Opus Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,61319020,Fluoxetine 20mg capsules (Teva UK Ltd),res38: SSRI ADDs,drug
Multilex,61167020,Fluoxetine 20mg capsules (IVAX Pharmaceuticals UK Ltd),res38: SSRI ADDs,drug
Multilex,65262020,Citalopram 40mg Tablet (Neo Laboratories Ltd),res38: SSRI ADDs,drug
Multilex,63703020,Paroxetine 20mg tablets (IVAX Pharmaceuticals UK Ltd),res38: SSRI ADDs,drug
Multilex,63016020,Fluoxetine 20mg capsules (Ranbaxy (UK) Ltd),res38: SSRI ADDs,drug
Multilex,62073020,Faverin 50mg tablets (Abbott Healthcare Products Ltd),res38: SSRI ADDs,drug
Multilex,62070020,Fluvoxamine 100mg tablets,res38: SSRI ADDs,drug
Multilex,62975020,Fluoxetine 20mg capsules (Fannin UK Ltd),res38: SSRI ADDs,drug
Multilex,62069020,Fluvoxamine 50mg tablets,res38: SSRI ADDs,drug
Multilex,61452020,Fluoxetine 20mg capsules (Actavis UK Ltd),res38: SSRI ADDs,drug
Multilex,61616020,Fluoxetine 20mg capsules (Zentiva),res38: SSRI ADDs,drug
Multilex,61455020,Fluoxetine 20mg capsules (Genus Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,62693020,Fluvoxamine 100mg tablets (Actavis UK Ltd),res38: SSRI ADDs,drug
Multilex,62074020,Faverin 100mg tablets (Abbott Healthcare Products Ltd),res38: SSRI ADDs,drug
Multilex,64692020,Fluoxetine 20mg/5ml oral solution (Teva UK Ltd),res38: SSRI ADDs,drug
Multilex,65257020,Citalopram 20mg Tablet (Neo Laboratories Ltd),res38: SSRI ADDs,drug
Multilex,65254020,Citalopram 10mg Tablet (Neo Laboratories Ltd),res38: SSRI ADDs,drug
Multilex,64717020,Fluoxetine 20mg/5ml oral solution (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,65131020,Citalopram 40mg tablets (Sandoz Ltd),res38: SSRI ADDs,drug
Multilex,65128020,Citalopram 20mg tablets (Sandoz Ltd),res38: SSRI ADDs,drug
Multilex,65125020,Citalopram 10mg tablets (Sandoz Ltd),res38: SSRI ADDs,drug
Multilex,67890020,Citalopram 10mg tablets (Actavis UK Ltd),res38: SSRI ADDs,drug
Multilex,65578020,Paroxetine 20mg tablets (Actavis UK Ltd),res38: SSRI ADDs,drug
Multilex,65464020,Fluoxetine 60mg capsules (Generics (UK) Ltd),res38: SSRI ADDs,drug
Multilex,65386020,Citalopram 40mg tablets (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,67575020,Paroxetine 30mg tablets (Actavis UK Ltd),res38: SSRI ADDs,drug
Multilex,66160020,Citalopram 40mg tablets (Zentiva),res38: SSRI ADDs,drug
Multilex,66152020,Citalopram 20mg tablets (Zentiva),res38: SSRI ADDs,drug
Multilex,66129020,Fluoxetine 20mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd),res38: SSRI ADDs,drug
Multilex,66149020,Citalopram 10mg tablets (Zentiva),res38: SSRI ADDs,drug
Multilex,66451020,Citalopram 10mg tablets (Generics (UK) Ltd),res38: SSRI ADDs,drug
Multilex,66688020,Citalopram 40mg tablets (Niche Generics Ltd),res38: SSRI ADDs,drug
Multilex,66399020,Paroxetine 20mg tablets (Generics (UK) Ltd),res38: SSRI ADDs,drug
Multilex,66244020,Fluvoxamine 100mg tablets (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,66273020,Fluoxetine 20mg capsules (Tillomed Laboratories Ltd),res38: SSRI ADDs,drug
Multilex,67650020,Paroxetine 30mg tablets (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,66685020,Citalopram 20mg tablets (Niche Generics Ltd),res38: SSRI ADDs,drug
Multilex,66454020,Citalopram 20mg tablets (Generics (UK) Ltd),res38: SSRI ADDs,drug
Multilex,66680020,Citalopram 10mg tablets (Niche Generics Ltd),res38: SSRI ADDs,drug
Multilex,66459020,Citalopram 40mg tablets (Generics (UK) Ltd),res38: SSRI ADDs,drug
Multilex,66464020,Paroxetine 20mg tablets (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,80679020,Oxactin 20mg capsules (Discovery Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,67893020,Citalopram 20mg tablets (Actavis UK Ltd),res38: SSRI ADDs,drug
Multilex,79463020,Citalopram 10mg tablets,res38: SSRI ADDs,drug
Multilex,67898020,Citalopram 40mg tablets (Actavis UK Ltd),res38: SSRI ADDs,drug
Multilex,79462020,Citalopram 20mg tablets,res38: SSRI ADDs,drug
Multilex,72034020,Sertraline 50mg tablets (Actavis UK Ltd),res38: SSRI ADDs,drug
Multilex,80777020,Prozit 20mg/5ml oral solution (Pinewood Healthcare),res38: SSRI ADDs,drug
Multilex,68049020,Citalopram 40mg tablets (Teva UK Ltd),res38: SSRI ADDs,drug
Multilex,79420020,Cipramil 20mg tablets (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,71725020,Sertraline 50mg tablets (A A H Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,68045020,Citalopram 20mg tablets (Teva UK Ltd),res38: SSRI ADDs,drug
Multilex,68042020,Citalopram 10mg tablets (Teva UK Ltd),res38: SSRI ADDs,drug
Multilex,69507020,Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd),res38: SSRI ADDs,drug
Multilex,69506020,Prozac 20mg capsules (Eli Lilly and Company Ltd),res38: SSRI ADDs,drug
Multilex,77306020,Citalopram 40mg/ml oral drops sugar free,res38: SSRI ADDs,drug
Multilex,69654020,Fluoxetine 20mg capsules,res38: SSRI ADDs,drug
Multilex,71376020,Citalopram 20mg tablets (Almus Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,69508020,Prozac 60mg capsules (Eli Lilly and Company Ltd),res38: SSRI ADDs,drug
Multilex,69655020,Fluoxetine 20mg/5ml oral solution,res38: SSRI ADDs,drug
Multilex,71373020,Citalopram 10mg tablets (Almus Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,69754020,Paroxetine 20mg tablets (Genus Pharmaceuticals Ltd),res38: SSRI ADDs,drug
Multilex,69656020,Fluoxetine 60mg capsules,res38: SSRI ADDs,drug
Multilex,71225020,Citalopram 10mg tablets (IVAX Pharmaceuticals UK Ltd),res38: SSRI ADDs,drug
Multilex,71214020,Citalopram 10mg tablets (PLIVA Pharma Ltd),res38: SSRI ADDs,drug
Multilex,74046020,Lustral 50mg tablets (Pfizer Ltd),res38: SSRI ADDs,drug
Multilex,79422020,Cipramil 40mg tablets (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,78768020,Escitalopram 10mg tablets,res38: SSRI ADDs,drug
Multilex,77312020,Cipramil 40mg/ml drops (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,79464020,Citalopram 40mg tablets,res38: SSRI ADDs,drug
Multilex,82055020,Ranflutin 20mg capsules (Ranbaxy (UK) Ltd),res38: SSRI ADDs,drug
Multilex,87524020,Escitalopram 5mg tablets,res38: SSRI ADDs,drug
Multilex,86222020,Cipralex 10mg tablets (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,98001020,Fluoxetine 10mg tablets,res38: SSRI ADDs,drug
Multilex,90873020,Cipralex 10mg/ml oral drops (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,88346020,Paxoran 10mg Tablet (Ranbaxy (UK) Ltd),res38: SSRI ADDs,drug
Multilex,87526020,Cipralex 5mg tablets (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,90871020,Escitalopram 10mg/ml oral drops sugar free,res38: SSRI ADDs,drug
Multilex,88348020,Paxoran 20mg Tablet (Ranbaxy (UK) Ltd),res38: SSRI ADDs,drug
Multilex,90497020,Sertraline 50mg/5ml oral suspension,res38: SSRI ADDs,drug
Multilex,97171020,Cipralex 20mg/ml oral drops (Lundbeck Ltd),res38: SSRI ADDs,drug
Multilex,93187020,Seroxat 10mg tablets (GlaxoSmithKline UK Ltd),res38: SSRI ADDs,drug
Multilex,92043020,Paroxetine 10mg tablets,res38: SSRI ADDs,drug
Multilex,97169020,Escitalopram 20mg/ml oral drops sugar free,res38: SSRI ADDs,drug
Multilex,93918020,Prozep 20mg/5ml oral solution (Chemidex Pharma Ltd),res38: SSRI ADDs,drug
Multilex,93984020,Fluoxetine 20mg/5ml oral solution sugar free,res38: SSRI ADDs,drug
