Coding System (Multilex),Codes,Description,Entity type,Category
Multilex,67028020,Thioridazine 25mg tablets,res38: Typical APDs,drug
Multilex,67027020,Thioridazine 10mg tablets,res38: Typical APDs,drug
Multilex,66838020,Sulpiride 400mg tablets,res38: Typical APDs,drug
Multilex,84860020,Benquil 250microgram tablets (Concord Pharmaceuticals Ltd),res38: Typical APDs,drug
Multilex,65580020,Pericyazine 10mg tablets,res38: Typical APDs,drug
Multilex,48712020,Clopixol 2mg tablets (Lundbeck Ltd),res38: Typical APDs,drug
Multilex,38919020,Levinan 6mg tablets (Archimedes Pharma UK Ltd),res38: Typical APDs,drug
Multilex,32615020,Levomepromazine 6.25mg/5ml oral solution,res38: Typical APDs,drug
Multilex,20067020,Haloperidol 2mg/5ml oral suspension,res38: Typical APDs,drug
Multilex,20065020,Haloperidol 2mg/5ml oral solution,res38: Typical APDs,drug
Multilex,03365020,Nozinan 25mg/1ml solution for injection ampoules (Lexon (UK) Ltd),res38: Typical APDs,drug
Multilex,04131020,Stemetil 5mg tablets (DE Pharmaceuticals),res38: Typical APDs,drug
Multilex,00511021,Haloperidol 1mg/5ml oral solution,res38: Typical APDs,drug
Multilex,00443021,Haloperidol 1mg/5ml oral suspension,res38: Typical APDs,drug
Multilex,04129020,Stemetil 5mg tablets (Mawdsley-Brooks & Company Ltd),res38: Typical APDs,drug
Multilex,04128020,Stemetil 5mg tablets (Lexon (UK) Ltd),res38: Typical APDs,drug
Multilex,04123020,Stemetil 5mg tablets (Sigma Pharmaceuticals Plc),res38: Typical APDs,drug
Multilex,49429020,Fentazin 4mg tablets (AMCo),res38: Typical APDs,drug
Multilex,51681020,Stelazine 10mg/ml Concentrate (Goldshield Pharmaceuticals Ltd),res38: Typical APDs,drug
Multilex,67036020,Thioridazine 25mg/5ml oral solution,res38: Typical APDs,drug
Multilex,49428020,Fentazin 2mg tablets (AMCo),res38: Typical APDs,drug
Multilex,52921020,Dolmatil 200mg tablets (Sanofi),res38: Typical APDs,drug
Multilex,48897020,Depixol 3mg tablets (Lundbeck Ltd),res38: Typical APDs,drug
Multilex,67038020,Thioridazine 25mg/5ml sugar free Oral solution,res38: Typical APDs,drug
Multilex,48714020,Clopixol 25mg tablets (Lundbeck Ltd),res38: Typical APDs,drug
Multilex,48713020,Clopixol 10mg tablets (Lundbeck Ltd),res38: Typical APDs,drug
Multilex,65581020,Pericyazine 25mg tablet,res38: Typical APDs,drug
Multilex,49952020,Integrin 10mg Capsule (Sanofi-Synthelabo Ltd),res38: Typical APDs,drug
Multilex,50677020,Neulactil 2.5mg Tablet (JHC Healthcare Ltd),res38: Typical APDs,drug
Multilex,50459020,Moditen 1mg tablets (Sanofi),res38: Typical APDs,drug
Multilex,50472020,Moditen enanthate 25mg/ml Injection (Sanofi-Synthelabo Ltd),res38: Typical APDs,drug
Multilex,51677020,Stelazine 5mg tablets (Mercury Pharma Group Ltd),res38: Typical APDs,drug
Multilex,50679020,Neulactil 25mg Tablet (JHC Healthcare Ltd),res38: Typical APDs,drug
Multilex,50678020,Neulactil 10mg Tablet (JHC Healthcare Ltd),res38: Typical APDs,drug
Multilex,51678020,Stelazine 1mg/5ml syrup (Mercury Pharma Group Ltd),res38: Typical APDs,drug
Multilex,51013020,Parstelin Tablet (GlaxoSmithKline Consumer Healthcare),res38: Typical APDs,drug
Multilex,51676020,Stelazine 1mg tablets (Mercury Pharma Group Ltd),res38: Typical APDs,drug
Multilex,51663020,Stelabid Tablet (GlaxoSmithKline Consumer Healthcare),res38: Typical APDs,drug
Multilex,51357020,Redeptin 2mg/ml Injection (Janssen-Cilag Ltd),res38: Typical APDs,drug
Multilex,51649020,Sparine 50mg/ml Injection (Wyeth Pharmaceuticals),res38: Typical APDs,drug
Multilex,51690020,Stemetil 5mg Tablet (Castlemead Healthcare Ltd),res38: Typical APDs,drug
Multilex,51687020,Stelazine 1mg/ml Injection (Goldshield Pharmaceuticals Ltd),res38: Typical APDs,drug
Multilex,51692020,Stemetil 5mg/5ml Oral solution (Castlemead Healthcare Ltd),res38: Typical APDs,drug
Multilex,51832020,Taractan 15mg Tablet (Roche Products Ltd),res38: Typical APDs,drug
Multilex,51751020,Promazine 50mg tablets (Teva UK Ltd),res38: Typical APDs,drug
Multilex,51749020,Promazine 25mg Tablet (Biorex Laboratories Ltd),res38: Typical APDs,drug
Multilex,52047020,Triptafen m 2mg+10mg Tablet (Goldshield Pharmaceuticals Ltd),res38: Typical APDs,drug
Multilex,52249020,Vertigon spansule 15 15mg Spansule (GlaxoSmithKline Consumer Healthcare),res38: Typical APDs,drug
Multilex,52087020,Chlorpromazine 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd),res38: Typical APDs,drug
Multilex,52248020,Vertigon spansule 10 10mg Spansule (GlaxoSmithKline Consumer Healthcare),res38: Typical APDs,drug
Multilex,52717020,Stemetil 25mg suppositories (Sanofi),res38: Typical APDs,drug
