Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,30316,Metformin with pioglitazone 850mg + 15mg Tablet,res56: antidiabetic medications,drug
CPRD_product_code,9108,TOLBUTAMIDE 250 MG TAB,res56: antidiabetic medications,drug
CPRD_product_code,31077,Competact 15mg/850mg tablets (Takeda UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,56376,Rosiglitazone 4mg with glimepiride 4mg tablet,res56: antidiabetic medications,drug
CPRD_product_code,38551,Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,17580,Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,56965,Komboglyze 2.5mg/1000mg tablets (AstraZeneca UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,60012,Dapagliflozin 5mg / Metformin 1g tablets,res56: antidiabetic medications,drug
CPRD_product_code,8976,Euglucon 2.5mg tablets (Aventis Pharma),res56: antidiabetic medications,drug
CPRD_product_code,7375,Rosiglitazone 4mg / Metformin 1g tablets,res56: antidiabetic medications,drug
CPRD_product_code,11601,Rosiglitazone 2mg / Metformin 500mg tablets,res56: antidiabetic medications,drug
CPRD_product_code,11609,Metformin with rosiglitazone 500mg + 1mg Tablet,res56: antidiabetic medications,drug
CPRD_product_code,11737,Metformin with rosiglitazone 1000mg + 4mg Tablet,res56: antidiabetic medications,drug
CPRD_product_code,11760,Metformin with rosiglitazone 1000mg + 2mg Tablet,res56: antidiabetic medications,drug
CPRD_product_code,11610,Metformin with rosiglitazone 500mg + 2mg Tablet,res56: antidiabetic medications,drug
CPRD_product_code,11717,Rosiglitazone 2mg / Metformin 1g tablets,res56: antidiabetic medications,drug
CPRD_product_code,11604,Rosiglitazone 1mg / Metformin 500mg tablets,res56: antidiabetic medications,drug
CPRD_product_code,18220,Pioglitazone 15mg / Metformin 850mg tablets,res56: antidiabetic medications,drug
CPRD_product_code,39203,Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,43619,Metformin 1g / Sitagliptin 50mg tablets,res56: antidiabetic medications,drug
CPRD_product_code,43684,Janumet 50mg/1000mg tablets (Merck Sharp & Dohme Ltd),res56: antidiabetic medications,drug
CPRD_product_code,54150,Jentadueto 2.5mg/850mg tablets (Boehringer Ingelheim Ltd),res56: antidiabetic medications,drug
CPRD_product_code,54891,Saxagliptin 2.5mg / Metformin 1g tablets,res56: antidiabetic medications,drug
CPRD_product_code,37874,Vildagliptin 50mg / Metformin 850mg tablets,res56: antidiabetic medications,drug
CPRD_product_code,37902,Vildagliptin 50mg / Metformin 1g tablets,res56: antidiabetic medications,drug
CPRD_product_code,7912,Semi-Daonil 2.5mg tablets (Sanofi),res56: antidiabetic medications,drug
CPRD_product_code,59385,Vipdomet 12.5mg/1000mg tablets (Takeda UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,65059,Xigduo 5mg/850mg tablets (AstraZeneca UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,65083,Synjardy 5mg/1000mg tablets (Boehringer Ingelheim Ltd),res56: antidiabetic medications,drug
CPRD_product_code,50682,Jentadueto 2.5mg/1000mg tablets (Boehringer Ingelheim Ltd),res56: antidiabetic medications,drug
CPRD_product_code,58865,Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,62899,Xultophy 100units/ml / 3.6mg/ml solution for injection 3ml pre-filled pen (Novo Nordisk Ltd),res56: antidiabetic medications,drug
CPRD_product_code,60643,Xigduo 5mg/1000mg tablets (AstraZeneca UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,7744,Daonil 5mg tablets (Sanofi),res56: antidiabetic medications,drug
CPRD_product_code,7409,Amaryl 3mg tablets (Zentiva),res56: antidiabetic medications,drug
CPRD_product_code,49502,Glucophage SR 500mg tablets (Mawdsley-Brooks & Company Ltd),res56: antidiabetic medications,drug
CPRD_product_code,2928,METFORMIN HCl 850 MG TAB,res56: antidiabetic medications,drug
CPRD_product_code,31146,Metsol 500mg/5ml oral solution (Kappin Ltd),res56: antidiabetic medications,drug
CPRD_product_code,735,Metformin 100mg/ml Oral solution,res56: antidiabetic medications,drug
CPRD_product_code,93,Metformin 850mg tablets,res56: antidiabetic medications,drug
CPRD_product_code,23,Metformin 500mg tablets,res56: antidiabetic medications,drug
CPRD_product_code,27501,Orabet 500mg Tablet (Lagap),res56: antidiabetic medications,drug
CPRD_product_code,7815,METFORMIN 800 MG TAB,res56: antidiabetic medications,drug
CPRD_product_code,3252,METFORMIN HCl 500 MG TAB,res56: antidiabetic medications,drug
CPRD_product_code,7610,Glucophage 850mg tablets (Merck Serono Ltd),res56: antidiabetic medications,drug
CPRD_product_code,7048,Metformin 500mg modified-release tablets,res56: antidiabetic medications,drug
CPRD_product_code,7166,Glucophage 500mg tablets (Merck Serono Ltd),res56: antidiabetic medications,drug
CPRD_product_code,26258,Glucamet 850mg Tablet (Opus Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,16044,Glucophage SR 500mg tablets (Merck Serono Ltd),res56: antidiabetic medications,drug
CPRD_product_code,11990,Metformin 500mg/5ml oral solution sugar free,res56: antidiabetic medications,drug
CPRD_product_code,25678,Glucamet 500mg Tablet (Opus Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,16213,METFORMIN 250 MG TAB,res56: antidiabetic medications,drug
CPRD_product_code,20810,METFORMIN,res56: antidiabetic medications,drug
CPRD_product_code,7332,Amaryl 1mg tablets (Zentiva),res56: antidiabetic medications,drug
CPRD_product_code,48149,Metformin 500mg tablets (Almus Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,38355,Metformin 750mg modified-release tablets,res56: antidiabetic medications,drug
CPRD_product_code,33087,Metformin 500mg tablets (Actavis UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34135,Metformin 500mg Tablet (M & A Pharmachem Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34020,Metformin 850mg tablets (IVAX Pharmaceuticals UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,33674,Metformin 850mg tablets (A A H Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34004,Metformin 500mg tablets (IVAX Pharmaceuticals UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34917,Metformin 500mg tablets (Teva UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34598,Metformin 500mg tablets (Mylan Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34323,Metformin 500mg tablets (A A H Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34504,Metformin 500mg tablets (Wockhardt UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34836,Metformin 850mg tablets (Actavis UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34697,Metformin 850mg tablets (Wockhardt UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,34742,Metformin 850mg tablets (Teva UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,47939,Glucient SR 500mg tablets (Consilient Health Ltd),res56: antidiabetic medications,drug
CPRD_product_code,40007,Glucophage 1000mg oral powder sachets (Merck Serono Ltd),res56: antidiabetic medications,drug
CPRD_product_code,39560,Bolamyn SR 500mg tablets (Teva UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,38400,Glucophage SR 750mg tablets (Merck Serono Ltd),res56: antidiabetic medications,drug
CPRD_product_code,39988,Metformin 500mg oral powder sachets sugar free,res56: antidiabetic medications,drug
CPRD_product_code,39598,Metformin 1g modified-release tablets,res56: antidiabetic medications,drug
CPRD_product_code,39729,Glucophage SR 1000mg tablets (Merck Serono Ltd),res56: antidiabetic medications,drug
CPRD_product_code,46989,Metabet SR 1000mg tablets (Morningside Healthcare Ltd),res56: antidiabetic medications,drug
CPRD_product_code,42161,Orabet 500mg Tablet (Sandoz Ltd),res56: antidiabetic medications,drug
CPRD_product_code,40110,Glucophage 500mg oral powder sachets (Merck Serono Ltd),res56: antidiabetic medications,drug
CPRD_product_code,40233,Metformin 1g oral powder sachets sugar free,res56: antidiabetic medications,drug
CPRD_product_code,45581,Metabet SR 500mg tablets (Morningside Healthcare Ltd),res56: antidiabetic medications,drug
CPRD_product_code,43270,Metformin 500mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,44250,Metformin 500mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,7284,Amaryl 2mg tablets (Zentiva),res56: antidiabetic medications,drug
CPRD_product_code,59620,Glucophage SR 500mg tablets (Waymade Healthcare Plc),res56: antidiabetic medications,drug
CPRD_product_code,53478,Metformin 500mg modified-release tablets (Kent Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,50970,Metformin 500mg tablets (Bristol Laboratories Ltd),res56: antidiabetic medications,drug
CPRD_product_code,50821,Metformin 850mg tablets (Pfizer Ltd),res56: antidiabetic medications,drug
CPRD_product_code,49738,Metformin 1g modified-release tablets (A A H Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,50570,Glucophage SR 500mg tablets (Lexon (UK) Ltd),res56: antidiabetic medications,drug
CPRD_product_code,52634,Glucophage SR 500mg tablets (DE Pharmaceuticals),res56: antidiabetic medications,drug
CPRD_product_code,51135,Metformin 500mg modified-release tablets (A A H Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,51080,Metabet SR 1000mg tablets (Actavis UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,52442,Metformin 500mg tablets (Pfizer Ltd),res56: antidiabetic medications,drug
CPRD_product_code,51527,Metformin 500mg tablets (Boston Healthcare Ltd),res56: antidiabetic medications,drug
CPRD_product_code,52221,Diagemet XL 500mg tablets (Genus Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,58607,Metformin 500mg/5ml oral solution sugar free (Zentiva),res56: antidiabetic medications,drug
CPRD_product_code,54898,Metformin 850mg tablets (Almus Pharmaceuticals Ltd),res56: antidiabetic medications,drug
CPRD_product_code,54442,Metformin (roi) 1000mg Tablet,res56: antidiabetic medications,drug
CPRD_product_code,53774,Metabet SR 500mg tablets (Actavis UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,53867,Metformin 500mg tablets (Zentiva),res56: antidiabetic medications,drug
CPRD_product_code,58051,Metformin 500mg/5ml oral solution,res56: antidiabetic medications,drug
CPRD_product_code,55711,Metformin 500mg tablets (Alliance Healthcare (Distribution) Ltd),res56: antidiabetic medications,drug
CPRD_product_code,55270,Duformin 500mg Tablet (Dumex Ltd),res56: antidiabetic medications,drug
CPRD_product_code,57457,Metformin 500mg tablets (Aurobindo Pharma Ltd),res56: antidiabetic medications,drug
CPRD_product_code,55739,Metformin 500mg tablets (Tillomed Laboratories Ltd),res56: antidiabetic medications,drug
CPRD_product_code,57147,Bolamyn SR 1000mg tablets (Teva UK Ltd),res56: antidiabetic medications,drug
CPRD_product_code,6337,Glimepiride 3mg tablets,res56: antidiabetic medications,drug
CPRD_product_code,63307,Metformin 1g/5ml oral solution,res56: antidiabetic medications,drug
CPRD_product_code,61043,Sukkarto SR 1000mg tablets (Morningside Healthcare Ltd),res56: antidiabetic medications,drug
CPRD_product_code,60968,Metformin 500mg modified-release tablets (Actavis UK Ltd),res56: antidiabetic medications,drug
