Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,54997,Aspirin 75mg dispersible tablets (Dowelhurst Ltd),res56: Antiplatelet agents,drug
CPRD_product_code,53816,Aspirin 300mg dispersible tablets (Alliance Healthcare (Distribution) Ltd),res56: Antiplatelet agents,drug
CPRD_product_code,50926,Aspirin 75mg dispersible tablets (The Boots Company Plc),res56: Antiplatelet agents,drug
CPRD_product_code,34385,ASPIRIN soluble tablet 75mg [CO-OPERATI],res56: Antiplatelet agents,drug
CPRD_product_code,22618,SOLPRIN tablets 75mg [RECKITT B],res56: Antiplatelet agents,drug
CPRD_product_code,2628,NU-SEALS ASPIRIN EC tablets 75mg [LILLY],res56: Antiplatelet agents,drug
CPRD_product_code,2607,PAYNOCIL tablets [BEECHAM],res56: Antiplatelet agents,drug
CPRD_product_code,3,aspirin dispersible tablet 75mg ,res56: Antiplatelet agents,drug
CPRD_product_code,34,aspirin gastro-resistant tablets 75mg ,res56: Antiplatelet agents,drug
CPRD_product_code,16,aspirin tablets 75mg ,res56: Antiplatelet agents,drug
CPRD_product_code,19189,MICROPIRIN enteric coated tablets 75mg [RATIOPHARM],res56: Antiplatelet agents,drug
CPRD_product_code,9144,CAPRIN EC tablets 75mg [WOCKHARDT],res56: Antiplatelet agents,drug
CPRD_product_code,6006,NU-SEALS ASPIRIN EC tablets 75mg [ALLIANCE],res56: Antiplatelet agents,drug
CPRD_product_code,6696,MICROPIRIN enteric coated tablets 75mg [DEXCEL],res56: Antiplatelet agents,drug
CPRD_product_code,18329,ENPRIN enteric coated tablets 75mg [GALPHARM],res56: Antiplatelet agents,drug
CPRD_product_code,33676,ASPIRIN dispersible tablet 75mg [KENT],res56: Antiplatelet agents,drug
CPRD_product_code,25335,POSTMI EC tablets 75mg [ASHBOURNE],res56: Antiplatelet agents,drug
CPRD_product_code,23593,POSTMI dispersible tablet 75mg [ASHBOURNE],res56: Antiplatelet agents,drug
CPRD_product_code,23878,NU-SEALS CARDIO EC tablets 75mg [GENUS],res56: Antiplatelet agents,drug
CPRD_product_code,33656,ASPIRIN dispersible tablet 75mg [HILLCROSS],res56: Antiplatelet agents,drug
CPRD_product_code,31956,ASPIRIN enteric coated tablets 75mg [KENT],res56: Antiplatelet agents,drug
CPRD_product_code,31211,ASPIRIN dispersible tablet 75mg [AAH(VANT)],res56: Antiplatelet agents,drug
CPRD_product_code,25718,ANGETTES tablets 75mg [BRISTOL],res56: Antiplatelet agents,drug
CPRD_product_code,31954,ASPIRIN dispersible tablet 75mg [TEVA],res56: Antiplatelet agents,drug
CPRD_product_code,31938,ASPIRIN EC tablets 75mg [SANDOZ],res56: Antiplatelet agents,drug
CPRD_product_code,31953,ASPIRIN dispersible tablet 75mg [IVAX],res56: Antiplatelet agents,drug
CPRD_product_code,33320,ASPIRIN dispersible tablet 75mg [SOVEREIGN],res56: Antiplatelet agents,drug
CPRD_product_code,32036,ASPIRIN dispersible tablet 75mg [ACTAVIS],res56: Antiplatelet agents,drug
CPRD_product_code,33293,ASPIRIN enteric coated tablets 75mg [STERWIN],res56: Antiplatelet agents,drug
CPRD_product_code,32992,ASPIRIN enteric coated tablets 75mg [GEN (UK)],res56: Antiplatelet agents,drug
CPRD_product_code,50555,Aspirin 300mg dispersible tablets (DE Pharmaceuticals),res56: Antiplatelet agents,drug
CPRD_product_code,47992,ASPIRIN enteric coated tablets 75mg [HILLCROSS],res56: Antiplatelet agents,drug
CPRD_product_code,41512,ASPIRIN enteric coated tablets 75mg [TEVA],res56: Antiplatelet agents,drug
CPRD_product_code,34797,ASPIRIN enteric coated tablets 75mg [ACTAVIS],res56: Antiplatelet agents,drug
CPRD_product_code,34434,ASPIRIN dispersible tablet 75mg [T & R],res56: Antiplatelet agents,drug
CPRD_product_code,34796,ASPIRIN enteric coated tablets 75mg [GALEN],res56: Antiplatelet agents,drug
CPRD_product_code,34611,ASPIRIN enteric coated tablets 75mg [CP PHARM],res56: Antiplatelet agents,drug
CPRD_product_code,34485,ASPIRIN enteric coated tablets 75mg [IVAX],res56: Antiplatelet agents,drug
CPRD_product_code,40381,ASPIRIN soluble tablet 75mg [CP PHARM],res56: Antiplatelet agents,drug
CPRD_product_code,34942,ASPIRIN dispersible tablet 75mg [NUCARE],res56: Antiplatelet agents,drug
CPRD_product_code,47937,ASPIRIN dispersible tablet 75mg [WOCKHARDT],res56: Antiplatelet agents,drug
