Coding System (Read),Codes,Description,Entity type,Category
Read,9SAA.00,Greek/Greek Cypriot (NMO),res56: ethnicity,diagnostic
Read,9SAA.11,Greek (NMO),res56: ethnicity,diagnostic
Read,9SA6.12,Indo-Caribbean (NMO),res56: ethnicity,diagnostic
Read,9iB..00,Caribbean - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9SH..00,Other Asian ethnic group,res56: ethnicity,diagnostic
Read,9S45.00,Black E Afric Asia/Indo-Caribb,res56: ethnicity,diagnostic
Read,9S45.12,Black Indo-Caribbean,res56: ethnicity,diagnostic
Read,9S45.11,Black East African Asian,res56: ethnicity,diagnostic
Read,9S43.12,Black Arab,res56: ethnicity,diagnostic
Read,9S43.13,Black Iranian,res56: ethnicity,diagnostic
Read,9S8..00,Bangladeshi,res56: ethnicity,diagnostic
Read,9i7..00,Indian or British Indian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9S7..00,Pakistani,res56: ethnicity,diagnostic
Read,9iA6.00,Sinhalese - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9iA..00,Other Asian background - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9iA5.00,Tamil - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9S6..00,Indian,res56: ethnicity,diagnostic
Read,9iA8.00,British Asian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9iA9.00,Mixed Asian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9iA7.00,Caribbean Asian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9S47.00,Black - other Asian,res56: ethnicity,diagnostic
Read,9iD1.00,Nigerian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9iC..00,African - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9iD..00,Other Black background - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9S43.11,Black North African,res56: ethnicity,diagnostic
Read,9S42.11,Black Caribbean,res56: ethnicity,diagnostic
Read,9S4..00,"Black, other, non-mixed origin",res56: ethnicity,diagnostic
Read,9S43.00,Black N African/Arab/Iranian,res56: ethnicity,diagnostic
Read,9S42.12,Black West Indian,res56: ethnicity,diagnostic
Read,9S42.13,Black Guyana,res56: ethnicity,diagnostic
Read,9i62.00,Black and White - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i61.00,Black and Chinese - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9SA3.13,Guyana (NMO),res56: ethnicity,diagnostic
Read,9S5..00,"Black - other, mixed",res56: ethnicity,diagnostic
Read,9S48.00,Black Black - other,res56: ethnicity,diagnostic
Read,9SA3.12,West Indian (NMO),res56: ethnicity,diagnostic
Read,9SA3.00,Caribbean I./W.I./Guyana (NMO),res56: ethnicity,diagnostic
Read,9SA3.11,Caribbean Island (NMO),res56: ethnicity,diagnostic
Read,9i60.00,Black and Asian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i3..00,White and Black Caribbean - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9SA5.00,Other African countries (NMO),res56: ethnicity,diagnostic
Read,9SG..00,Other black ethnic group,res56: ethnicity,diagnostic
Read,9i6..00,Other Mixed background - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i4..00,White and Black African - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i5..00,White and Asian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9SA6.11,East African Asian (NMO),res56: ethnicity,diagnostic
Read,9i64.00,Asian and Chinese - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9iA3.00,East African Asian - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i63.00,Chinese and White - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9SB..00,"Other ethnic, mixed origin",res56: ethnicity,diagnostic
Read,9S52.00,Other Black - Black/Asian orig,res56: ethnicity,diagnostic
Read,9S51.00,Other Black - Black/White orig,res56: ethnicity,diagnostic
Read,9SB6.00,Black African and White,res56: ethnicity,diagnostic
