Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,13041,SIMVADOR tablets 10mg [DISCOVERY],res56: Lipid lowering agents,drug
CPRD_product_code,11627,fluvastatin 24 hour modified release tablets 80mg ,res56: Lipid lowering agents,drug
CPRD_product_code,9930,CRESTOR tablets 40mg [ASTRAZENEC],res56: Lipid lowering agents,drug
CPRD_product_code,713,rosuvastatin tablets 10mg ,res56: Lipid lowering agents,drug
CPRD_product_code,490,pravastatin tablets 10mg ,res56: Lipid lowering agents,drug
CPRD_product_code,51,simvastatin tablets 40mg ,res56: Lipid lowering agents,drug
CPRD_product_code,42,simvastatin tablets 10mg ,res56: Lipid lowering agents,drug
CPRD_product_code,28,atorvastatin tablets 10mg ,res56: Lipid lowering agents,drug
CPRD_product_code,25,simvastatin tablets 20mg ,res56: Lipid lowering agents,drug
CPRD_product_code,420,cerivastatin tablets 100micrograms ,res56: Lipid lowering agents,drug
CPRD_product_code,379,fluvastatin capsules 20mg ,res56: Lipid lowering agents,drug
CPRD_product_code,75,atorvastatin tablets 20mg ,res56: Lipid lowering agents,drug
CPRD_product_code,9920,SIMVADOR tablets 20mg [DISCOVERY],res56: Lipid lowering agents,drug
CPRD_product_code,5148,simvastatin tablets 80mg ,res56: Lipid lowering agents,drug
CPRD_product_code,5009,cerivastatin tablets 200micrograms ,res56: Lipid lowering agents,drug
CPRD_product_code,1221,LIPOSTAT tablets 10mg [SQUIBB],res56: Lipid lowering agents,drug
CPRD_product_code,745,atorvastatin tablets 40mg ,res56: Lipid lowering agents,drug
CPRD_product_code,730,pravastatin tablets 20mg ,res56: Lipid lowering agents,drug
CPRD_product_code,1219,pravastatin tablets 40mg ,res56: Lipid lowering agents,drug
CPRD_product_code,818,simvastatin oral suspension sugar-free 20mg/5ml ,res56: Lipid lowering agents,drug
CPRD_product_code,802,SIMVADOR tablets 40mg [DISCOVERY],res56: Lipid lowering agents,drug
CPRD_product_code,4961,LIPOBAY tablets 300micrograms [BAYER],res56: Lipid lowering agents,drug
CPRD_product_code,2718,ZOCOR tablets 10mg [M S D],res56: Lipid lowering agents,drug
CPRD_product_code,1223,LIPOSTAT tablets 40mg [SQUIBB],res56: Lipid lowering agents,drug
CPRD_product_code,2137,fluvastatin capsules 40mg ,res56: Lipid lowering agents,drug
CPRD_product_code,3690,LIPOSTAT tablets 20mg [SQUIBB],res56: Lipid lowering agents,drug
CPRD_product_code,3411,LIPITOR tablets 10mg [PFIZER],res56: Lipid lowering agents,drug
CPRD_product_code,2955,LIPITOR tablets 40mg [PFIZER],res56: Lipid lowering agents,drug
CPRD_product_code,9897,rosuvastatin tablets 40mg ,res56: Lipid lowering agents,drug
CPRD_product_code,6168,ZOCOR tablets 40mg [M S D],res56: Lipid lowering agents,drug
CPRD_product_code,5985,LESCOL XL tablets 80mg [NOVARTIS],res56: Lipid lowering agents,drug
CPRD_product_code,5775,atorvastatin tablets 80mg ,res56: Lipid lowering agents,drug
CPRD_product_code,5278,cerivastatin tablets 400micrograms ,res56: Lipid lowering agents,drug
CPRD_product_code,5251,cerivastatin tablets 300micrograms ,res56: Lipid lowering agents,drug
CPRD_product_code,9316,LIPOBAY tablets 200micrograms [BAYER],res56: Lipid lowering agents,drug
CPRD_product_code,7347,CRESTOR tablets 10mg [ASTRAZENEC],res56: Lipid lowering agents,drug
CPRD_product_code,7196,ZOCOR tablets 20mg [M S D],res56: Lipid lowering agents,drug
CPRD_product_code,6213,rosuvastatin tablets 20mg ,res56: Lipid lowering agents,drug
CPRD_product_code,9315,LIPOBAY tablets 100micrograms [BAYER],res56: Lipid lowering agents,drug
CPRD_product_code,8380,LESCOL capsules 20mg [NOV/SANDOZ],res56: Lipid lowering agents,drug
CPRD_product_code,7554,rosuvastatin tablets 5mg ,res56: Lipid lowering agents,drug
CPRD_product_code,7374,LIPITOR tablets 20mg [PFIZER],res56: Lipid lowering agents,drug
CPRD_product_code,9153,LESCOL capsules 40mg [NOV/SANDOZ],res56: Lipid lowering agents,drug
CPRD_product_code,34376,SIMVASTATIN tablets 40mg [TEVA],res56: Lipid lowering agents,drug
CPRD_product_code,31930,ZOCOR HEART-PRO tablets 10mg [MCNEIL],res56: Lipid lowering agents,drug
CPRD_product_code,17688,CRESTOR tablets 5mg [ASTRAZENEC],res56: Lipid lowering agents,drug
CPRD_product_code,17683,LIPITOR tablets 80mg [PFIZER],res56: Lipid lowering agents,drug
CPRD_product_code,15252,CRESTOR tablets 20mg [ASTRAZENEC],res56: Lipid lowering agents,drug
CPRD_product_code,31658,cerivastatin tablets 800micrograms ,res56: Lipid lowering agents,drug
CPRD_product_code,22579,ZOCOR tablets 80mg [M S D],res56: Lipid lowering agents,drug
CPRD_product_code,18442,LIPOBAY tablets 400micrograms [BAYER],res56: Lipid lowering agents,drug
CPRD_product_code,34366,SIMVASTATIN tablets 20mg [IVAX],res56: Lipid lowering agents,drug
CPRD_product_code,32909,SIMVASTATIN tablets 80mg [HILLCROSS],res56: Lipid lowering agents,drug
CPRD_product_code,34353,SIMVASTATIN tablets 40mg [GEN (UK)],res56: Lipid lowering agents,drug
CPRD_product_code,32921,PRAVASTATIN tablets 10mg [DR REDDY`S],res56: Lipid lowering agents,drug
CPRD_product_code,34316,SIMVASTATIN tablets 20mg [TEVA],res56: Lipid lowering agents,drug
CPRD_product_code,33082,SIMVASTATIN tablets 20mg [HILLCROSS],res56: Lipid lowering agents,drug
CPRD_product_code,34312,SIMVASTATIN tablets 20mg [GEN (UK)],res56: Lipid lowering agents,drug
CPRD_product_code,61134,Pravastatin 20mg tablets (Sigma Pharmaceuticals Plc),res56: Lipid lowering agents,drug
CPRD_product_code,52460,Atorvastatin 40mg tablets (Aspire Pharma Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,48097,PRAVASTATIN tablets 40mg [TEVA],res56: Lipid lowering agents,drug
CPRD_product_code,40382,PRAVASTATIN tablets 20mg [HILLCROSS],res56: Lipid lowering agents,drug
CPRD_product_code,34891,SIMVASTATIN tablets 20mg [KENT],res56: Lipid lowering agents,drug
CPRD_product_code,34545,SIMVASTATIN tablets 40mg [RATIOPHARM],res56: Lipid lowering agents,drug
CPRD_product_code,34481,SIMVASTATIN tablets 10mg [IVAX],res56: Lipid lowering agents,drug
CPRD_product_code,34381,SIMVASTATIN tablets 40mg [IVAX],res56: Lipid lowering agents,drug
CPRD_product_code,34476,SIMVASTATIN tablets 20mg [RATIOPHARM],res56: Lipid lowering agents,drug
CPRD_product_code,34535,SIMVASTATIN tablets 10mg [GEN (UK)],res56: Lipid lowering agents,drug
CPRD_product_code,34502,SIMVASTATIN tablets 40mg [HILLCROSS],res56: Lipid lowering agents,drug
CPRD_product_code,34879,SIMVASTATIN tablets 40mg [NICHE],res56: Lipid lowering agents,drug
CPRD_product_code,34746,SIMVASTATIN tablets 20mg [NICHE],res56: Lipid lowering agents,drug
CPRD_product_code,34560,SIMVASTATIN tablets 10mg [RATIOPHARM],res56: Lipid lowering agents,drug
CPRD_product_code,34820,PRAVASTATIN tablets 40mg [HILLCROSS],res56: Lipid lowering agents,drug
CPRD_product_code,34814,SIMVASTATIN tablets 20mg [WOCKHARDT],res56: Lipid lowering agents,drug
CPRD_product_code,40340,SIMVASTATIN tablets 10mg [TEVA],res56: Lipid lowering agents,drug
CPRD_product_code,36377,PRAVASTATIN tablets 20mg [TEVA],res56: Lipid lowering agents,drug
CPRD_product_code,34907,SIMVASTATIN tablets 40mg [WOCKHARDT],res56: Lipid lowering agents,drug
CPRD_product_code,34969,SIMVASTATIN tablets 40mg [ACTAVIS],res56: Lipid lowering agents,drug
CPRD_product_code,34955,SIMVASTATIN tablets 10mg [HILLCROSS],res56: Lipid lowering agents,drug
CPRD_product_code,39870,SIMVADOR tablets 80mg [DISCOVERY],res56: Lipid lowering agents,drug
CPRD_product_code,39060,SIMVASTATIN tablets 20mg [DEXCEL],res56: Lipid lowering agents,drug
CPRD_product_code,39675,SIMVASTATIN oral suspension 20mg/5ml [MARTINDALE],res56: Lipid lowering agents,drug
CPRD_product_code,39652,simvastatin oral suspension sugar-free 40mg/5ml ,res56: Lipid lowering agents,drug
CPRD_product_code,48078,SIMVASTATIN tablets 10mg [ACTAVIS],res56: Lipid lowering agents,drug
CPRD_product_code,46956,SIMVASTATIN tablets 80mg [ARROW],res56: Lipid lowering agents,drug
CPRD_product_code,44650,SIMVASTATIN tablets 40mg [DEXCEL],res56: Lipid lowering agents,drug
CPRD_product_code,40601,SIMVASTATIN tablets 20mg [RANBAXY],res56: Lipid lowering agents,drug
CPRD_product_code,44528,SIMVASTATIN oral suspension sugar-free 20mg/5ml [ROSEMONT],res56: Lipid lowering agents,drug
CPRD_product_code,41657,SIMVASTATIN tablets 80mg [TEVA],res56: Lipid lowering agents,drug
CPRD_product_code,43218,PRAVASTATIN tablets 10mg [TEVA],res56: Lipid lowering agents,drug
CPRD_product_code,46878,SIMVASTATIN tablets 40mg [ALMUS],res56: Lipid lowering agents,drug
CPRD_product_code,45219,SIMVASTATIN tablets 40mg [KENT],res56: Lipid lowering agents,drug
CPRD_product_code,44878,RANZOLONT tablets 10mg [RANBAXY],res56: Lipid lowering agents,drug
CPRD_product_code,45346,SIMVASTATIN tablets 40mg [ARROW],res56: Lipid lowering agents,drug
CPRD_product_code,45235,SIMVASTATIN tablets 20mg [SANDOZ],res56: Lipid lowering agents,drug
CPRD_product_code,45245,SIMVASTATIN tablets 20mg [ACTAVIS],res56: Lipid lowering agents,drug
CPRD_product_code,48058,SIMVASTATIN tablets 10mg [RANBAXY],res56: Lipid lowering agents,drug
CPRD_product_code,47721,LIPITOR chewable tablet 10mg [PFIZER],res56: Lipid lowering agents,drug
CPRD_product_code,47065,atorvastatin chewable tablet 20mg ,res56: Lipid lowering agents,drug
CPRD_product_code,47630,LIPITOR chewable tablet 20mg [PFIZER],res56: Lipid lowering agents,drug
CPRD_product_code,47090,atorvastatin chewable tablet 10mg ,res56: Lipid lowering agents,drug
CPRD_product_code,48051,SIMVASTATIN tablets 10mg [KENT],res56: Lipid lowering agents,drug
CPRD_product_code,47774,SIMVASTATIN tablets 10mg [ARROW],res56: Lipid lowering agents,drug
CPRD_product_code,48018,SIMVASTATIN tablets 20mg [ARROW],res56: Lipid lowering agents,drug
CPRD_product_code,47948,SIMVASTATIN tablets 10mg [TILLOMED],res56: Lipid lowering agents,drug
CPRD_product_code,47988,PRAVASTATIN tablets 40mg [GEN (UK)],res56: Lipid lowering agents,drug
CPRD_product_code,52459,Atorvastatin 80mg tablets (Actavis UK Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,49062,Simvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,48431,Simvastatin 40mg/5ml oral suspension sugar free,res56: Lipid lowering agents,drug
CPRD_product_code,48221,Simvastatin 20mg/5ml oral suspension sugar free,res56: Lipid lowering agents,drug
CPRD_product_code,48346,Atorvastatin 60mg tablets,res56: Lipid lowering agents,drug
CPRD_product_code,49061,Simvastatin 40mg tablets (Bristol Laboratories Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,48518,Atorvastatin 10mg/5ml oral solution,res56: Lipid lowering agents,drug
CPRD_product_code,48973,Atorvastatin 30mg tablets,res56: Lipid lowering agents,drug
CPRD_product_code,48867,Simvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,50703,Simvastatin 40mg tablets (Accord Healthcare Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,50236,Atorvastatin 10mg tablets (Zentiva),res56: Lipid lowering agents,drug
CPRD_product_code,49558,Atorvastatin 20mg tablets (A A H Pharmaceuticals Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,49751,Atorvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,49587,Simvastatin 80mg tablets (Almus Pharmaceuticals Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,50670,Simvastatin 40mg tablets (Aurobindo Pharma Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,50272,Atorvastatin 40mg tablets (Pfizer Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,50564,Simvastatin 20mg tablets (Relonchem Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,50483,Simvastatin 40mg tablets (Relonchem Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,52398,Atorvastatin 40mg tablets (A A H Pharmaceuticals Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,51483,Simvastatin 20mg tablets (Aurobindo Pharma Ltd),res56: Lipid lowering agents,drug
CPRD_product_code,50963,Atorvastatin 40mg tablets (Teva UK Ltd),res56: Lipid lowering agents,drug
