Coding System (CPRD_product_code),Codes,Description,Entity type,Category
CPRD_product_code,34553,Doxazosin 4mg tablets (Generics (UK) Ltd),res50: alpha-blockers,drug
CPRD_product_code,1455,Prazosin 500microgram tablets,res50: alpha-blockers,drug
CPRD_product_code,1292,Hypovase 1mg tablets (Pfizer Ltd),res50: alpha-blockers,drug
CPRD_product_code,726,Prazosin 2mg tablets,res50: alpha-blockers,drug
CPRD_product_code,634,Tamsulosin 400microgram modified-release capsules,res50: alpha-blockers,drug
CPRD_product_code,582,Doxazosin 4mg modified-release tablets,res50: alpha-blockers,drug
CPRD_product_code,460,Flomax MR 400microgram capsules (Astellas Pharma Ltd),res50: alpha-blockers,drug
CPRD_product_code,119,Doxazosin 1mg tablets,res50: alpha-blockers,drug
CPRD_product_code,34342,Doxazosin 1mg tablets (Teva UK Ltd),res50: alpha-blockers,drug
CPRD_product_code,16201,Hytrin bph 2mg Tablet (Amdipharm Plc),res50: alpha-blockers,drug
CPRD_product_code,7547,Doxadura 2mg tablets (Discovery Pharmaceuticals Ltd),res50: alpha-blockers,drug
CPRD_product_code,5179,Xatral XL 10mg tablets (Sanofi),res50: alpha-blockers,drug
CPRD_product_code,3715,Prazosin 5mg tablets,res50: alpha-blockers,drug
CPRD_product_code,2345,Hytrin BPH tablets starter pack (AMCo),res50: alpha-blockers,drug
CPRD_product_code,2117,Doralese Tiltab 20mg tablets (Chemidex Pharma Ltd),res50: alpha-blockers,drug
CPRD_product_code,2816,Indoramin 20mg tablets,res50: alpha-blockers,drug
CPRD_product_code,2347,Hytrin 10mg Tablet (Abbott Laboratories Ltd),res50: alpha-blockers,drug
CPRD_product_code,2346,Hytrin 5mg Tablet (Abbott Laboratories Ltd),res50: alpha-blockers,drug
CPRD_product_code,4802,Cardura 2mg tablets (Pfizer Ltd),res50: alpha-blockers,drug
CPRD_product_code,4449,Cardura 1mg tablets (Pfizer Ltd),res50: alpha-blockers,drug
CPRD_product_code,3923,Terazosin BPH starter pack 7x1mg with 14x2mg with 7x5mg,res50: alpha-blockers,drug
CPRD_product_code,4111,Hypovase 500microgram tablets (Pfizer Ltd),res50: alpha-blockers,drug
CPRD_product_code,4694,Terazosin 2mg tablets and Terazosin 1mg tablets,res50: alpha-blockers,drug
CPRD_product_code,7056,Tamsulosin 400microgram modified-release tablets,res50: alpha-blockers,drug
CPRD_product_code,5337,Hytrin bph 5mg Tablet (Amdipharm Plc),res50: alpha-blockers,drug
CPRD_product_code,6008,Omnic 400microgram Modified-release capsule (Paines & Byrne Ltd),res50: alpha-blockers,drug
CPRD_product_code,5624,Xatral 2.5mg tablets (Sanofi),res50: alpha-blockers,drug
CPRD_product_code,5496,Doxazosin 8mg modified-release tablets,res50: alpha-blockers,drug
CPRD_product_code,16198,Baratol 50mg Tablet (Shire Pharmaceuticals Ltd),res50: alpha-blockers,drug
CPRD_product_code,8942,Dibenyline 10mg capsules (Mercury Pharma Group Ltd),res50: alpha-blockers,drug
CPRD_product_code,8077,Hytrin 2mg Tablet (Abbott Laboratories Ltd),res50: alpha-blockers,drug
CPRD_product_code,7759,Phenoxybenzamine 10mg capsules,res50: alpha-blockers,drug
CPRD_product_code,7549,Doxadura 1mg tablets (Discovery Pharmaceuticals Ltd),res50: alpha-blockers,drug
CPRD_product_code,8863,Hypovase benign prostatic hyperplasia 1mg Tablet (Pfizer Ltd),res50: alpha-blockers,drug
CPRD_product_code,8086,Cardura 4mg Tablet (Pfizer Ltd),res50: alpha-blockers,drug
CPRD_product_code,14932,Tabphyn MR 400microgram capsules (ProStrakan Ltd),res50: alpha-blockers,drug
CPRD_product_code,10088,Doxadura 4mg tablets (Discovery Pharmaceuticals Ltd),res50: alpha-blockers,drug
CPRD_product_code,9422,Xatral sr 5mg Tablet (Sanofi-Synthelabo Ltd),res50: alpha-blockers,drug
CPRD_product_code,9019,Indoramin 50mg Tablet,res50: alpha-blockers,drug
CPRD_product_code,13610,Alphavase 2 tablets (Ashbourne Pharmaceuticals Ltd),res50: alpha-blockers,drug
CPRD_product_code,11394,Baratol 25mg Tablet (Shire Pharmaceuticals Ltd),res50: alpha-blockers,drug
