Coding System (Read),Codes,Description,Entity type,Category
Read,F234.00,Infantile hemiplegia NOS,res50: hemiplegia and paraplegia,diagnostic
Read,F241100,Spastic paraplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F22..00,Hemiplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F038.00,Tropical spastic paraplegia,res50: hemiplegia and paraplegia,diagnostic
Read,2833,O/E - hemiplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F241.00,Paraplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F223.00,Right hemiplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F221.00,Spastic hemiplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F220.00,Flaccid hemiplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F231.00,Congenital hemiplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F230000,Congenital paraplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F22z.00,Hemiplegia NOS,res50: hemiplegia and paraplegia,diagnostic
Read,F230.11,Paraplegia - congenital,res50: hemiplegia and paraplegia,diagnostic
Read,N231011,Massive muscular calcification associated with paraplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F241000,Flaccid paraplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F222.00,Left hemiplegia,res50: hemiplegia and paraplegia,diagnostic
Read,2835,O/E - paraplegia,res50: hemiplegia and paraplegia,diagnostic
Read,F141.00,Hereditary spastic paraplegia,res50: hemiplegia and paraplegia,diagnostic
