Coding System (Read),Codes,Description,Entity type,Category
Read,B571.00,Secondary malignant neoplasm of mediastinum,res50: Metastatic tumour,diagnostic
Read,B56..00,Secondary and unspecified malignant neoplasm of lymph nodes,res50: Metastatic tumour,diagnostic
Read,142..00,H/O: malignant neoplasm (*),res50: Metastatic tumour,diagnostic
Read,B560000,Secondary and unspec malig neop of superficial parotid LN,res50: Metastatic tumour,diagnostic
Read,B560200,Secondary and unspec malig neop superficial cervical LN,res50: Metastatic tumour,diagnostic
Read,B560600,Secondary and unspec malig neop of facial lymph nodes,res50: Metastatic tumour,diagnostic
Read,B562z00,Secondary and unspec malig neop intra-abdominal LN NOS,res50: Metastatic tumour,diagnostic
Read,B561200,Secondary and unspec malig neop diaphragmatic lymph nodes,res50: Metastatic tumour,diagnostic
Read,B562200,Secondary and unspec malig neop inferior mesenteric LN,res50: Metastatic tumour,diagnostic
Read,B561600,Secondary and unspec malig neop superfic tracheobronchial LN,res50: Metastatic tumour,diagnostic
Read,B561z00,Secondary and unspec malig neop intrathoracic LN NOS,res50: Metastatic tumour,diagnostic
Read,B563000,Secondary and unspec malig neop axillary lymph nodes,res50: Metastatic tumour,diagnostic
Read,B563z00,Secondary and unspec malig neop axilla and upper limb LN NOS,res50: Metastatic tumour,diagnostic
Read,B564z00,Secondary and unspec malig neop of inguinal and leg LN NOS,res50: Metastatic tumour,diagnostic
Read,B565.00,Secondary and unspec malig neop intrapelvic lymph nodes,res50: Metastatic tumour,diagnostic
Read,B583000,Secondary malignant neoplasm of brain,res50: Metastatic tumour,diagnostic
Read,ByuC000,[X]Malignant neoplasm of other specified sites,res50: Metastatic tumour,diagnostic
Read,ByuC100,[X]Malignant neoplasm/overlap lesion/other+ill-defined sites,res50: Metastatic tumour,diagnostic
Read,ByuC400,[X]Secondary malignant neoplasm/oth+unspcfd digestive organs,res50: Metastatic tumour,diagnostic
Read,ByuC700,[X]Secondary malignant neoplasm of other specified sites,res50: Metastatic tumour,diagnostic
Read,ByuC500,[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs,res50: Metastatic tumour,diagnostic
Read,ByuC200,[X]2ndry+unspcf malignant neoplasm lymph nodes/multi regions,res50: Metastatic tumour,diagnostic
Read,ByuC300,[X]Secondary malignant neoplasm/oth+unspc respiratory organs,res50: Metastatic tumour,diagnostic
Read,B583100,Secondary malignant neoplasm of spinal cord,res50: Metastatic tumour,diagnostic
Read,B58y211,Secondary cancer of the cervix,res50: Metastatic tumour,diagnostic
Read,B593.00,Primary malignant neoplasm of unknown site,res50: Metastatic tumour,diagnostic
Read,B5z..00,Malignant neoplasm of other and unspecified site NOS,res50: Metastatic tumour,diagnostic
Read,B594.00,Secondary malignant neoplasm of unknown site,res50: Metastatic tumour,diagnostic
Read,B58y300,Secondary malignant neoplasm of vagina,res50: Metastatic tumour,diagnostic
Read,B58z.00,Secondary malignant neoplasm of other specified site NOS,res50: Metastatic tumour,diagnostic
Read,B58y400,Secondary malignant neoplasm of vulva,res50: Metastatic tumour,diagnostic
Read,B583200,Cerebral metastasis,res50: Metastatic tumour,diagnostic
Read,B585000,Pathological fracture due to metastatic bone disease,res50: Metastatic tumour,diagnostic
Read,B58y.00,Secondary malignant neoplasm of other specified sites,res50: Metastatic tumour,diagnostic
Read,B586.00,Secondary malignant neoplasm of ovary,res50: Metastatic tumour,diagnostic
Read,B583z00,Secondary malignant neoplasm of brain or spinal cord NOS,res50: Metastatic tumour,diagnostic
Read,B584.00,Secondary malignant neoplasm of other part of nervous system,res50: Metastatic tumour,diagnostic
Read,B565000,Secondary and unspec malig neop internal iliac lymph nodes,res50: Metastatic tumour,diagnostic
Read,B576.00,Secondary malig neop of retroperitoneum and peritoneum,res50: Metastatic tumour,diagnostic
Read,B582.00,Secondary malignant neoplasm of skin,res50: Metastatic tumour,diagnostic
Read,B582400,Secondary malignant neoplasm of skin of shoulder and arm,res50: Metastatic tumour,diagnostic
Read,B582600,Secondary malignant neoplasm of skin of breast,res50: Metastatic tumour,diagnostic
Read,B582500,Secondary malignant neoplasm of skin of hip and leg,res50: Metastatic tumour,diagnostic
Read,B582000,Secondary malignant neoplasm of skin of head,res50: Metastatic tumour,diagnostic
Read,B582200,Secondary malignant neoplasm of skin of neck,res50: Metastatic tumour,diagnostic
Read,B582100,Secondary malignant neoplasm of skin of face,res50: Metastatic tumour,diagnostic
Read,B576000,Secondary malignant neoplasm of retroperitoneum,res50: Metastatic tumour,diagnostic
Read,B57z.00,Secondary malig neop of respiratory or digestive system NOS,res50: Metastatic tumour,diagnostic
Read,B580.00,Secondary malignant neoplasm of kidney,res50: Metastatic tumour,diagnostic
Read,B58..00,Secondary malignant neoplasm of other specified sites,res50: Metastatic tumour,diagnostic
Read,B576100,Secondary malignant neoplasm of peritoneum,res50: Metastatic tumour,diagnostic
Read,B576200,Malignant ascites,res50: Metastatic tumour,diagnostic
Read,B565200,Secondary and unspec malig neop circumflex iliac LN,res50: Metastatic tumour,diagnostic
Read,B57..11,Metastases of respiratory and/or digestive systems,res50: Metastatic tumour,diagnostic
Read,B574.00,Secondary malignant neoplasm of small intestine and duodenum,res50: Metastatic tumour,diagnostic
Read,B575.00,Secondary malignant neoplasm of large intestine and rectum,res50: Metastatic tumour,diagnostic
Read,B574000,Secondary malignant neoplasm of duodenum,res50: Metastatic tumour,diagnostic
Read,B57..12,Secondary carcinoma of respiratory and/or digestive systems,res50: Metastatic tumour,diagnostic
Read,B570.00,Secondary malignant neoplasm of lung,res50: Metastatic tumour,diagnostic
Read,B565300,Secondary and unspec malig neop sacral lymph nodes,res50: Metastatic tumour,diagnostic
Read,B565z00,Secondary and unspec malig neop intrapelvic LN NOS,res50: Metastatic tumour,diagnostic
Read,B56z.00,Secondary and unspec malig neop lymph nodes NOS,res50: Metastatic tumour,diagnostic
Read,B56y.00,Secondary and unspec malig neop lymph nodes multiple sites,res50: Metastatic tumour,diagnostic
Read,B564.00,Secondary and unspec malig neop inguinal and lower limb LN,res50: Metastatic tumour,diagnostic
Read,B564100,Secondary and unspec malig neop deep inguinal lymph nodes,res50: Metastatic tumour,diagnostic
Read,B564000,Secondary and unspec malig neop superficial inguinal LN,res50: Metastatic tumour,diagnostic
Read,B563100,Secondary and unspec malig neop supratrochlear lymph nodes,res50: Metastatic tumour,diagnostic
Read,B563300,Secondary and unspec malig neop pectoral lymph nodes,res50: Metastatic tumour,diagnostic
Read,B563200,Secondary and unspec malig neop infraclavicular lymph nodes,res50: Metastatic tumour,diagnostic
Read,B562300,Secondary and unspec malig neop common iliac lymph nodes,res50: Metastatic tumour,diagnostic
Read,B563.00,Secondary and unspec malig neop axilla and upper limb LN,res50: Metastatic tumour,diagnostic
Read,B562400,Secondary and unspec malig neop external iliac lymph nodes,res50: Metastatic tumour,diagnostic
Read,B562.00,Secondary and unspec malig neop intra-abdominal lymph nodes,res50: Metastatic tumour,diagnostic
Read,B562100,Secondary and unspec malig neop superficial mesenteric LN,res50: Metastatic tumour,diagnostic
Read,B562000,Secondary and unspec malig neop coeliac lymph nodes,res50: Metastatic tumour,diagnostic
Read,B560700,Secondary and unspec malig neop submental lymph nodes,res50: Metastatic tumour,diagnostic
Read,B561300,Secondary and unspec malig neop ant mediastinal lymph nodes,res50: Metastatic tumour,diagnostic
Read,B561700,Secondary and unspec malig neop inferior tracheobronchial LN,res50: Metastatic tumour,diagnostic
